meta_trade_id,meta_signal_id,meta_symbol,meta_broker_symbol,meta_direction,meta_model,meta_signal_time_utc,meta_signal_epoch,meta_split,meta_point,meta_trigger,meta_structural_stop,meta_effective_stop,meta_destination_target,meta_context_complete,meta_forecast_window_ok,meta_bars_after_5m,meta_bars_before_5m,meta_bars_before_15m,meta_bars_before_4h,meta_context_ok_5m,meta_context_ok_15m,meta_context_ok_4h,f_campaign_age_hours,f_campaign_zone_count,f_dest_zone_age_hours,f_dest_zone_height_r,f_direction,f_entry_zone_age_hours,f_entry_zone_height_r,f_has_liquidity_pool,f_hour_cos,f_hour_sin,f_hour_utc,f_is_long,f_is_running_extreme,f_model_aggressive_liquidation,f_model_conservative_mss,f_reward_points,f_reward_risk,f_risk_points,f_risk_rel_price,f_spread_pct_of_risk,f_spread_points,f_stop_basis_15m_zone_distal_plus_buffer,f_stop_basis_liquidity_pool,f_stop_basis_signal_bar_extreme,f_stop_basis_swept_level,f_stop_pad_r,f_wait_minutes,f_weekday,label_r,label_win,label_exit_reason,label_mfe_r,label_mae_r,label_bars_held_5m
trade-aec81e7b3dd1aeb3,aec81e7b3dd1aeb3,GBPUSD,GBPUSDm,long,aggressive_liquidation,2025-08-20T12:20:00Z,1755692400,train,1e-05,1.3482874065,1.3470426445,1.3470426445,1.35202,1,1,74712,7444,54447,14040,1,1,1,12.333333333333334,1.0,12.333333333333334,0.8435347480081927,1,6.833333333333333,0.21690893520210158,0,-1.0,1.2246467991473532e-16,12,1,1,1,0,373.2593500000103,2.9986403023,124.47619999997882,0.0009232171078650421,0.0883703069,11.0,1,0,0,0,0.0,20.0,2,-1.0,0,stop_loss,1.085726002,-1.0773742635,19.0
trade-db8cd8f323afb888,db8cd8f323afb888,NZDUSD,NZDUSDm,long,aggressive_liquidation,2025-08-20T18:10:00Z,1755713400,train,1e-05,0.5828991435,0.5818009085,0.5818009085,0.58947,1,1,74702,7514,54473,14041,1,1,1,14.166666666666666,1.0,14.166666666666666,0.145688308968417,1,0.9166666666666666,0.7011249869108227,1,-1.8369701987210297e-16,-1.0,18,1,1,1,0,657.0856499999999,5.9831060747,109.82350000000584,0.0018840909482311812,0.1638993476,18.0,0,0,0,0,0.0,0.0,2,-1.0,0,stop_loss,0.0,-1.0647738777,36.0
trade-8cb4fae67468f910,8cb4fae67468f910,NZDUSD,NZDUSDm,long,conservative_mss,2025-08-20T23:30:00Z,1755732600,train,1e-05,0.582649123,0.5815959188,0.5815959188,0.58947,1,1,74638,7578,54495,14042,1,1,1,19.5,1.0,19.5,0.15191735847608898,1,0.5,0.38928823109514926,1,0.9659258262890681,-0.25881904510252157,23,1,1,0,1,682.0877000000003,6.4763097946,105.32042000001017,0.0018076131215597861,0.1709070202,18.0,0,0,0,0,0.0,15.0,2,-1.0,0,stop_loss,0.1367079028,-1.0253092711,16.0
trade-17696b04421c5443,17696b04421c5443,GBPUSD,GBPUSDm,long,aggressive_liquidation,2025-08-21T01:00:00Z,1755738000,train,1e-05,1.34574728,1.34493275,1.34493275,1.34718,1,1,74560,7596,54498,14043,1,1,1,9.0,1.0,9.0,4.579327955998043,1,1.5,0.6138509324393465,1,0.9659258262890683,0.25881904510252074,1,1,1,1,0,143.27199999999428,1.7589530159,81.4530000000202,0.0006052622302162126,0.1350472051,11.0,0,0,0,0,0.0,15.0,3,-1.0,0,stop_loss,0.9640145262,-1.1753053813,30.0
trade-3c3f4957ea2c334f,3c3f4957ea2c334f,USDCHF,USDCHFm,long,aggressive_liquidation,2025-08-21T01:05:00Z,1755738300,train,1e-05,0.804480218,0.803939801,0.803939801,0.80779,1,1,74596,7597,54491,14043,1,1,1,9.083333333333334,1.0,9.083333333333334,2.701617454668942,1,0.8333333333333334,0.20354652055734757,1,0.9659258262890683,0.25881904510252074,1,1,1,1,0,330.9781999999983,6.1244964537,54.04170000000707,0.0006717592153397993,0.2405549788,13.0,0,0,0,0,0.0,0.0,3,1.125,1,trailing_stop,1.7811737208,-0.363504841,53.0
trade-7859caf56dd6359f,7859caf56dd6359f,USDCHF,USDCHFm,long,aggressive_liquidation,2025-08-21T06:05:00Z,1755756300,train,1e-05,0.8049902475,0.804379779,0.804379779,0.80779,1,1,74536,7657,54511,14044,1,1,1,14.083333333333334,1.0,14.083333333333334,2.3916057912897672,1,1.0833333333333333,0.5733301554462892,1,6.123233995736766e-17,1.0,6,1,1,1,0,279.97524999999746,4.5862358172,61.04685000000165,0.0007583551501349294,0.2129512006,13.0,0,0,0,0,0.0,35.0,3,1.125,1,trailing_stop,1.7459354201,-0.3097627358,9.0
trade-b6b01df3925971a2,b6b01df3925971a2,USDCAD,USDCADm,short,aggressive_liquidation,2025-08-21T07:00:00Z,1755759600,train,1e-05,1.3877506085,1.3882594095,1.3882594095,1.38152,1,1,74553,7668,54521,14044,1,1,1,39.0,1.0,39.0,2.024367090473422,-1,1.5,0.6092755320842466,0,-0.25881904510252063,0.9659258262890683,7,0,1,1,0,623.0608499999901,12.2456687389,50.88010000000586,0.00036663720187448843,0.2948107413,15.0,1,0,0,0,0.0,30.0,3,-1.0,0,stop_loss,0.0,-1.784899964,1.0
trade-8c98e45acaeebdb6,8c98e45acaeebdb6,USDCAD,USDCADm,short,aggressive_liquidation,2025-08-21T10:25:00Z,1755771900,train,1e-05,1.38764061,1.3882344082,1.3882344082,1.38152,1,1,74512,7709,54534,14045,1,1,1,42.416666666666664,1.0,42.416666666666664,1.7345960294258065,-1,1.1666666666666667,0.4378591918937331,1,-0.8660254037844387,0.49999999999999994,10,0,1,1,0,612.0609999999971,10.3075581648,59.37981999999397,0.0004279193010933427,0.252611051,15.0,0,0,0,0,0.0,25.0,3,-1.0,0,stop_loss,0.0,-1.1545487158,4.0
trade-1fe1e5274e8fd5cf,1fe1e5274e8fd5cf,NZDUSD,NZDUSDm,long,aggressive_liquidation,2025-08-21T12:25:00Z,1755779100,train,1e-05,0.5825691245,0.581610918,0.581610918,0.58947,1,1,74483,7733,54546,14046,1,1,1,32.416666666666664,1.0,32.416666666666664,0.1669786209965571,1,3.4166666666666665,0.3026487505562742,1,-1.0,1.2246467991473532e-16,12,1,1,1,0,690.0875500000069,7.2018667166,95.82065000000027,0.0016447945139941979,0.1878509486,18.0,0,0,0,0,0.0,20.0,3,-1.0,0,stop_loss,0.3965698596,-1.066961765,17.0
trade-8462385b1f59a4ca,8462385b1f59a4ca,USDCHF,USDCHFm,long,aggressive_liquidation,2025-08-21T12:40:00Z,1755780000,train,1e-05,0.8056102735,0.804639766,0.804639766,0.80779,1,1,74457,7736,54537,14046,1,1,1,20.666666666666668,2.0,20.666666666666668,1.50436756027124,1,2.4166666666666665,0.35033217157001795,1,-1.0,1.2246467991473532e-16,12,1,1,1,0,217.97264999999786,2.2459656417,97.05075000000507,0.001204686101858718,0.1339505362,13.0,0,0,0,0,0.0,0.0,3,1.7484403247,1,destination_hit,2.2881078173,-0.4431920547,15.0
trade-06868ebaabf2a449,06868ebaabf2a449,GBPUSD,GBPUSDm,long,aggressive_liquidation,2025-08-21T12:50:00Z,1755780600,train,1e-05,1.345247251,1.343432825,1.343432825,1.35202,1,1,74418,7738,54545,14046,1,1,1,36.833333333333336,1.0,36.833333333333336,0.578695411110753,1,4.083333333333333,0.5676726413753601,1,-1.0,1.2246467991473532e-16,12,1,1,1,0,677.2749000000022,3.7327226351,181.44259999999244,0.0013487676697730897,0.0606252335,11.0,0,0,0,0,0.0,0.0,3,-1.0,0,stop_loss,0.4829549689,-1.4906017559,12.0
trade-4bb3ba07adc26d3b,4bb3ba07adc26d3b,AUDUSD,AUDUSDm,long,aggressive_liquidation,2025-08-22T02:00:00Z,1755828000,train,1e-05,0.6422821075,0.6417979085,0.6417979085,0.64327,1,1,74307,7896,54597,14049,1,1,1,22.0,1.0,22.0,0.70219062823334,1,3.75,0.2271793208989004,1,0.8660254037844387,0.49999999999999994,2,1,1,1,0,98.7892499999976,2.0402613388,48.419900000007395,0.0007538727832303409,0.1858739898,9.0,0,0,0,0,0.0,5.0,4,1.125,1,trailing_stop,1.6512418809,-0.4071555323,5.0
trade-b6a3113716083b69,b6a3113716083b69,GBPUSD,GBPUSDm,long,aggressive_liquidation,2025-08-22T02:00:00Z,1755828000,train,1e-05,1.341327053,1.340432975,1.340432975,1.34532,1,1,74260,7896,54598,14049,1,1,1,10.0,1.0,10.0,0.5816047369466033,1,3.5,0.6822670952644757,1,0.8660254037844387,0.49999999999999994,2,1,1,1,0,399.29469999999685,4.4659940184,89.40780000001868,0.0006665622660785824,0.1230317713,11.0,0,0,0,0,0.0,5.0,4,-1.0,0,stop_loss,0.6105627353,-1.4382144432,20.0
trade-cbf178fa99b022bf,cbf178fa99b022bf,EURUSD,EURUSDm,long,aggressive_liquidation,2025-08-22T02:05:00Z,1755828300,train,1e-05,1.161138051,1.159902002,1.159902002,1.16455,1,1,74317,7897,54598,14049,1,1,1,10.083333333333334,1.0,10.083333333333334,1.2378150057157458,1,3.8333333333333335,0.4045147077501909,1,0.8660254037844387,0.49999999999999994,2,1,1,1,0,341.19489999999695,2.7603671052,123.60490000000722,0.00106451510992647,0.0728126474,9.0,0,0,0,0,0.0,10.0,4,-1.0,0,stop_loss,0.2134650467,-1.6830897916,19.0
