timestamps,open,high,low,close,volume,amount
2025-07-15 15:35:00,0.58395,0.58396,0.58374,0.58377,101.0,58.969355
2025-07-15 15:40:00,0.58377,0.58382,0.58366,0.58375,126.0,73.5525
2025-07-15 15:45:00,0.58376,0.58396,0.58371,0.58372,134.0,78.227525
2025-07-15 15:50:00,0.58371,0.58388,0.58367,0.58372,136.0,79.38932
2025-07-15 15:55:00,0.58372,0.5838,0.58358,0.58366,150.0,87.5535
2025-07-15 16:00:00,0.58365,0.58385,0.58363,0.58384,124.0,72.38407
2025-07-15 16:05:00,0.58384,0.58416,0.58384,0.58416,123.0,71.832
2025-07-15 16:10:00,0.58416,0.5842,0.58403,0.58414,89.0,51.987793
2025-07-15 16:15:00,0.58414,0.58414,0.58394,0.58403,90.0,52.565625
2025-07-15 16:20:00,0.58402,0.58413,0.58395,0.58406,89.0,51.97956
2025-07-15 16:25:00,0.58407,0.58442,0.58407,0.58433,184.0,107.49694
2025-07-15 16:30:00,0.58434,0.58444,0.58414,0.58437,171.0,99.919147
2025-07-15 16:35:00,0.58436,0.58436,0.58403,0.58417,136.0,79.45528
2025-07-15 16:40:00,0.58417,0.58422,0.58403,0.58422,143.0,83.53488
2025-07-15 16:45:00,0.58422,0.58427,0.58416,0.58427,109.0,63.68107
2025-07-15 16:50:00,0.58427,0.58429,0.58419,0.58426,89.0,51.998472
2025-07-15 16:55:00,0.58427,0.58439,0.58418,0.58425,127.0,74.202607
2025-07-15 17:00:00,0.58425,0.58429,0.58412,0.58426,119.0,69.52337
2025-07-15 17:05:00,0.58427,0.58448,0.58427,0.58442,90.0,52.5924
2025-07-15 17:10:00,0.58442,0.58445,0.58433,0.58434,66.0,38.56941
2025-07-15 17:15:00,0.58435,0.58452,0.58433,0.58452,65.0,37.98795
2025-07-15 17:20:00,0.58452,0.58462,0.58446,0.58462,64.0,37.41152
2025-07-15 17:25:00,0.58462,0.58469,0.58458,0.58469,77.0,45.017665
2025-07-15 17:30:00,0.58467,0.58474,0.58465,0.5847,66.0,38.58954
2025-07-15 17:35:00,0.5847,0.58475,0.58465,0.58475,64.0,37.4216
2025-07-15 17:40:00,0.58475,0.58475,0.58462,0.58462,72.0,42.09732
2025-07-15 17:45:00,0.58462,0.58484,0.58462,0.58484,60.0,35.0838
2025-07-15 17:50:00,0.58484,0.58492,0.58482,0.58491,81.0,47.374673
2025-07-15 17:55:00,0.58491,0.58499,0.58488,0.58488,65.0,38.019475
2025-07-15 18:00:00,0.5849,0.58493,0.58481,0.58487,105.0,61.412137
2025-07-15 18:05:00,0.58488,0.58491,0.58476,0.58476,55.0,32.165512
2025-07-15 18:10:00,0.58477,0.58482,0.58467,0.58477,83.0,48.534873
2025-07-15 18:15:00,0.58477,0.5848,0.58465,0.5848,83.0,48.534665
2025-07-15 18:20:00,0.58479,0.58481,0.58467,0.58475,49.0,28.652995
2025-07-15 18:25:00,0.58475,0.58479,0.58474,0.58478,58.0,33.91637
2025-07-15 18:30:00,0.58478,0.58491,0.58478,0.58489,47.0,27.48748
2025-07-15 18:35:00,0.5849,0.5849,0.58483,0.58484,56.0,32.75258
2025-07-15 18:40:00,0.58484,0.58486,0.58467,0.58469,83.0,48.535495
2025-07-15 18:45:00,0.58469,0.58472,0.58461,0.58463,74.0,43.265025
2025-07-15 18:50:00,0.58463,0.58465,0.58455,0.58458,68.0,39.75297
2025-07-15 18:55:00,0.58458,0.5846,0.58435,0.58455,105.0,61.3746
2025-07-15 19:00:00,0.58456,0.58459,0.58446,0.58454,89.0,52.023838
2025-07-15 19:05:00,0.58453,0.58472,0.58453,0.5847,41.0,23.96942
2025-07-15 19:10:00,0.5847,0.58472,0.58455,0.58457,61.0,35.662735
2025-07-15 19:15:00,0.58456,0.58461,0.58452,0.58458,47.0,27.474672
2025-07-15 19:20:00,0.58459,0.58468,0.58459,0.58468,35.0,20.462225
2025-07-15 19:25:00,0.58468,0.58469,0.58462,0.58465,35.0,20.4631
2025-07-15 19:30:00,0.58465,0.58466,0.5845,0.5845,42.0,24.552255
2025-07-15 19:35:00,0.5845,0.58457,0.58447,0.5845,49.0,28.64099
2025-07-15 19:40:00,0.58451,0.58455,0.58447,0.58454,43.0,25.134253
2025-07-15 19:45:00,0.58454,0.58469,0.58451,0.58468,43.0,25.138015
2025-07-15 19:50:00,0.58468,0.58469,0.58445,0.58445,93.0,54.364778
2025-07-15 19:55:00,0.58446,0.58454,0.58439,0.58442,128.0,74.80992
2025-07-15 20:00:00,0.58442,0.58446,0.58435,0.58441,70.0,40.9087
2025-07-15 20:05:00,0.58441,0.58443,0.58431,0.58436,48.0,28.05012
2025-07-15 20:10:00,0.58436,0.58442,0.58435,0.58436,26.0,15.193685
2025-07-15 20:15:00,0.58436,0.5844,0.58427,0.58437,33.0,19.28355
2025-07-15 20:20:00,0.58436,0.58444,0.58436,0.58441,36.0,21.03813
2025-07-15 20:25:00,0.58441,0.58442,0.58436,0.5844,28.0,16.36313
2025-07-15 20:30:00,0.5844,0.58447,0.58437,0.58438,44.0,25.71382
2025-07-15 20:35:00,0.58438,0.58439,0.58418,0.58418,43.0,25.124147
2025-07-15 20:40:00,0.58419,0.58427,0.58418,0.58425,41.0,23.953122
2025-07-15 20:45:00,0.58425,0.58429,0.58421,0.58429,42.0,24.53892
2025-07-15 20:50:00,0.58429,0.58437,0.58426,0.58437,46.0,26.878835
2025-07-15 20:55:00,0.58436,0.58437,0.58401,0.58402,123.0,71.85537
2025-07-15 21:00:00,0.58401,0.58408,0.58399,0.58403,40.0,23.3611
2025-07-15 21:05:00,0.58401,0.58409,0.58395,0.58395,88.0,51.392
2025-07-15 21:10:00,0.58397,0.58402,0.58391,0.58399,97.0,56.645333
2025-07-15 21:15:00,0.58398,0.58402,0.58392,0.58399,105.0,61.317638
2025-07-15 21:20:00,0.58401,0.58405,0.58395,0.58399,132.0,77.088
2025-07-15 21:25:00,0.58401,0.58415,0.58397,0.58412,80.0,46.725
2025-07-15 21:30:00,0.5841,0.58417,0.58408,0.58417,36.0,21.02868
2025-07-15 21:35:00,0.58417,0.58419,0.58398,0.58406,88.0,51.4008
2025-07-15 21:40:00,0.58407,0.58413,0.58404,0.5841,105.0,61.328925
2025-07-15 21:45:00,0.58411,0.58426,0.5841,0.58425,79.0,46.15022
2025-07-15 21:50:00,0.58424,0.58426,0.58393,0.58397,109.0,63.6669
2025-07-15 21:55:00,0.58397,0.58425,0.58397,0.58413,39.0,22.77912
2025-07-15 22:00:00,0.58413,0.58419,0.58392,0.58412,80.0,46.7272
2025-07-15 22:05:00,0.58411,0.58415,0.58396,0.5841,56.0,32.70848
2025-07-15 22:10:00,0.5841,0.5841,0.584,0.58405,28.0,16.35375
2025-07-15 22:15:00,0.58404,0.58407,0.58402,0.58404,42.0,24.529785
2025-07-15 22:20:00,0.58404,0.58408,0.58402,0.58405,34.0,19.857615
2025-07-15 22:25:00,0.58405,0.58409,0.58402,0.58409,13.0,7.592812
2025-07-15 22:30:00,0.58409,0.5841,0.58392,0.58397,26.0,15.18452
2025-07-15 22:35:00,0.58398,0.58404,0.58396,0.58404,18.0,10.51209
