timestamps,open,high,low,close,volume,amount
2025-07-15 15:35:00,0.92999,0.92999,0.92974,0.9299,111.0,103.219455
2025-07-15 15:40:00,0.92992,0.92993,0.92973,0.92986,124.0,115.30264
2025-07-15 15:45:00,0.92986,0.93014,0.92982,0.92997,124.0,115.31349
2025-07-15 15:50:00,0.92997,0.93004,0.92988,0.9299,116.0,107.87391
2025-07-15 15:55:00,0.92991,0.93002,0.9298,0.92984,102.0,94.849035
2025-07-15 16:00:00,0.92983,0.92997,0.92981,0.92994,106.0,98.568075
2025-07-15 16:05:00,0.92993,0.9302,0.92993,0.93019,107.0,99.516688
2025-07-15 16:10:00,0.93017,0.93027,0.93013,0.93018,101.0,93.948937
2025-07-15 16:15:00,0.93018,0.93026,0.93008,0.93011,92.0,85.57449
2025-07-15 16:20:00,0.9301,0.93013,0.93001,0.93003,82.0,76.265535
2025-07-15 16:25:00,0.93003,0.93049,0.93003,0.93043,122.0,113.48989
2025-07-15 16:30:00,0.93044,0.93055,0.93013,0.93042,116.0,107.92466
2025-07-15 16:35:00,0.93039,0.9304,0.92992,0.93006,130.0,120.925025
2025-07-15 16:40:00,0.93005,0.93006,0.92978,0.92981,103.0,95.782275
2025-07-15 16:45:00,0.92983,0.92997,0.9298,0.92988,115.0,106.93505
2025-07-15 16:50:00,0.92988,0.92994,0.92983,0.92988,81.0,75.320482
2025-07-15 16:55:00,0.92987,0.92997,0.92973,0.92976,98.0,91.123585
2025-07-15 17:00:00,0.92976,0.92985,0.92968,0.92985,83.0,77.172155
2025-07-15 17:05:00,0.92985,0.93006,0.92984,0.92991,83.0,77.182945
2025-07-15 17:10:00,0.9299,0.93005,0.9299,0.92998,64.0,59.51728
2025-07-15 17:15:00,0.92997,0.93024,0.92993,0.93024,69.0,64.176555
2025-07-15 17:20:00,0.93024,0.9303,0.9302,0.93029,72.0,66.97854
2025-07-15 17:25:00,0.93029,0.93029,0.93007,0.93014,71.0,66.044022
2025-07-15 17:30:00,0.93015,0.93024,0.93014,0.93019,57.0,53.02026
2025-07-15 17:35:00,0.93019,0.9302,0.93006,0.93013,64.0,59.52928
2025-07-15 17:40:00,0.93009,0.93022,0.93002,0.93002,60.0,55.80525
2025-07-15 17:45:00,0.93002,0.93017,0.93002,0.93016,54.0,50.224995
2025-07-15 17:50:00,0.93016,0.93023,0.93013,0.93022,61.0,56.741285
2025-07-15 17:55:00,0.93022,0.93033,0.93022,0.93029,58.0,53.95537
2025-07-15 18:00:00,0.9303,0.93035,0.93029,0.93033,63.0,58.610003
2025-07-15 18:05:00,0.93033,0.93035,0.93018,0.93018,58.0,53.95508
2025-07-15 18:10:00,0.93018,0.93028,0.93005,0.93025,81.0,75.34539
2025-07-15 18:15:00,0.93026,0.93026,0.93011,0.93017,76.0,70.6952
2025-07-15 18:20:00,0.93017,0.93017,0.93004,0.93006,53.0,49.29583
2025-07-15 18:25:00,0.93006,0.93009,0.93005,0.93009,31.0,28.832247
2025-07-15 18:30:00,0.93009,0.93025,0.93009,0.93017,52.0,48.3678
2025-07-15 18:35:00,0.93017,0.93037,0.93014,0.93032,68.0,63.257
2025-07-15 18:40:00,0.93032,0.93034,0.93025,0.93028,64.0,59.53904
2025-07-15 18:45:00,0.93028,0.93041,0.93028,0.93041,50.0,46.51725
2025-07-15 18:50:00,0.9304,0.93044,0.93031,0.93032,54.0,50.239845
2025-07-15 18:55:00,0.93032,0.93034,0.93002,0.9302,83.0,77.20826
2025-07-15 19:00:00,0.9302,0.93023,0.93008,0.93022,54.0,50.229855
2025-07-15 19:05:00,0.93024,0.93035,0.93024,0.93034,53.0,49.305502
2025-07-15 19:10:00,0.93034,0.93035,0.93012,0.93012,51.0,47.441857
2025-07-15 19:15:00,0.93012,0.93013,0.93007,0.93008,39.0,36.2739
2025-07-15 19:20:00,0.93008,0.93016,0.93006,0.93008,26.0,24.18247
2025-07-15 19:25:00,0.93008,0.9301,0.93004,0.93008,30.0,27.90225
2025-07-15 19:30:00,0.93008,0.93016,0.93005,0.93005,37.0,34.413145
2025-07-15 19:35:00,0.93005,0.93009,0.93004,0.93007,31.0,28.831938
2025-07-15 19:40:00,0.93007,0.93011,0.93001,0.93002,44.0,40.92231
2025-07-15 19:45:00,0.93002,0.93011,0.92998,0.93011,35.0,32.551925
2025-07-15 19:50:00,0.93011,0.93011,0.92995,0.93005,69.0,64.173795
