timestamps,open,high,low,close,volume,amount
2025-07-15 15:35:00,0.59392,0.59402,0.59382,0.5939,126.0,74.83329
2025-07-15 15:40:00,0.59391,0.59435,0.59385,0.59426,133.0,79.014302
2025-07-15 15:45:00,0.59425,0.59459,0.59406,0.59455,131.0,77.861487
2025-07-15 15:50:00,0.59455,0.59455,0.59427,0.5945,135.0,80.253113
2025-07-15 15:55:00,0.59448,0.59486,0.59427,0.59483,143.0,85.02923
2025-07-15 16:00:00,0.59482,0.59502,0.59476,0.59478,141.0,83.873145
2025-07-15 16:05:00,0.59479,0.5948,0.59436,0.59441,120.0,71.3508
2025-07-15 16:10:00,0.59441,0.59445,0.59424,0.59429,113.0,67.161268
2025-07-15 16:15:00,0.59431,0.59462,0.59427,0.59439,136.0,80.83806
2025-07-15 16:20:00,0.59442,0.59447,0.59429,0.59431,111.0,65.975347
2025-07-15 16:25:00,0.5943,0.59434,0.5941,0.59416,90.0,53.48025
2025-07-15 16:30:00,0.59414,0.59421,0.59389,0.59389,122.0,72.471965
2025-07-15 16:35:00,0.59389,0.59404,0.59378,0.59387,104.0,61.76508
2025-07-15 16:40:00,0.59387,0.59413,0.59383,0.59412,113.0,67.120588
2025-07-15 16:45:00,0.59412,0.59417,0.594,0.59408,107.0,63.567897
2025-07-15 16:50:00,0.59408,0.59415,0.59399,0.59401,88.0,52.27706
2025-07-15 16:55:00,0.59399,0.59412,0.59394,0.5941,139.0,82.571213
2025-07-15 17:00:00,0.59414,0.59426,0.59408,0.59408,105.0,62.3847
2025-07-15 17:05:00,0.59408,0.59421,0.59403,0.59406,94.0,55.84493
2025-07-15 17:10:00,0.59407,0.59434,0.59407,0.59422,97.0,57.634975
2025-07-15 17:15:00,0.59423,0.59428,0.59402,0.59427,85.0,50.507
2025-07-15 17:20:00,0.59428,0.59439,0.59426,0.5943,85.0,50.516137
2025-07-15 17:25:00,0.5943,0.59433,0.59416,0.59417,83.0,49.32192
2025-07-15 17:30:00,0.59416,0.59437,0.59412,0.59434,97.0,57.642008
2025-07-15 17:35:00,0.59433,0.59442,0.59425,0.59432,59.0,35.06547
2025-07-15 17:40:00,0.59432,0.59435,0.59421,0.59427,74.0,43.977275
2025-07-15 17:45:00,0.59427,0.59438,0.59422,0.59422,69.0,41.004802
2025-07-15 17:50:00,0.59422,0.59436,0.59416,0.59436,65.0,38.627875
2025-07-15 17:55:00,0.59436,0.59437,0.59405,0.59416,92.0,54.66962
2025-07-15 18:00:00,0.59416,0.59442,0.59401,0.59437,103.0,61.20672
2025-07-15 18:05:00,0.59437,0.59471,0.59435,0.5947,64.0,38.05008
2025-07-15 18:10:00,0.59471,0.5948,0.59466,0.59473,62.0,36.87295
2025-07-15 18:15:00,0.59473,0.59481,0.59457,0.59457,51.0,30.32817
2025-07-15 18:20:00,0.59457,0.59467,0.59456,0.59465,51.0,30.325238
2025-07-15 18:25:00,0.59464,0.59467,0.59453,0.59467,51.0,30.326002
2025-07-15 18:30:00,0.59467,0.59471,0.59465,0.59466,46.0,27.354935
2025-07-15 18:35:00,0.59466,0.59482,0.59462,0.59482,60.0,35.6838
2025-07-15 18:40:00,0.59482,0.59492,0.59479,0.59491,68.0,40.45048
2025-07-15 18:45:00,0.5949,0.59503,0.59487,0.59487,49.0,29.150958
2025-07-15 18:50:00,0.59488,0.59497,0.59468,0.59468,64.0,38.06736
2025-07-15 18:55:00,0.59467,0.59474,0.59462,0.59462,56.0,33.3011
2025-07-15 19:00:00,0.59462,0.5947,0.59455,0.59458,53.0,31.514463
2025-07-15 19:05:00,0.59456,0.59468,0.59448,0.59454,73.0,43.403245
2025-07-15 19:10:00,0.59454,0.59466,0.59449,0.59455,52.0,30.91712
2025-07-15 19:15:00,0.59455,0.59466,0.59445,0.59465,40.0,23.7831
2025-07-15 19:20:00,0.59465,0.59465,0.59455,0.59461,33.0,19.622295
2025-07-15 19:25:00,0.59461,0.59461,0.59446,0.59448,42.0,24.97068
2025-07-15 19:30:00,0.59448,0.59454,0.59445,0.5945,31.0,18.429267
2025-07-15 19:35:00,0.5945,0.59464,0.59448,0.59456,32.0,19.02544
2025-07-15 19:40:00,0.59456,0.59466,0.59455,0.59457,36.0,21.40506
2025-07-15 19:45:00,0.59457,0.5946,0.59454,0.59458,27.0,16.053458
2025-07-15 19:50:00,0.59459,0.5946,0.59448,0.59454,61.0,36.267702
2025-07-15 19:55:00,0.59454,0.59458,0.59419,0.59427,66.0,39.23007
2025-07-15 20:00:00,0.59428,0.59433,0.59422,0.59422,42.0,24.959025
2025-07-15 20:05:00,0.59422,0.59431,0.59419,0.59419,34.0,20.203735
2025-07-15 20:10:00,0.59419,0.59423,0.59413,0.59413,34.0,20.20178
2025-07-15 20:15:00,0.59412,0.5942,0.59412,0.59418,23.0,13.665565
2025-07-15 20:20:00,0.59418,0.59425,0.59408,0.5941,30.0,17.824575
2025-07-15 20:25:00,0.5941,0.59414,0.5941,0.5941,19.0,11.28809
2025-07-15 20:30:00,0.5941,0.59415,0.59407,0.59413,23.0,13.664588
2025-07-15 20:35:00,0.59413,0.59413,0.59405,0.59411,34.0,20.19957
2025-07-15 20:40:00,0.59411,0.59414,0.59405,0.5941,27.0,16.0407
2025-07-15 20:45:00,0.5941,0.59415,0.59405,0.59415,19.0,11.288138
2025-07-15 20:50:00,0.59415,0.59427,0.59415,0.59423,35.0,20.797
2025-07-15 20:55:00,0.59423,0.59445,0.59423,0.59428,83.0,49.326693
2025-07-15 21:00:00,0.59431,0.59432,0.59423,0.59429,22.0,13.074325
2025-07-15 21:05:00,0.59426,0.59427,0.59407,0.59415,78.0,46.346625
2025-07-15 21:10:00,0.59416,0.59426,0.59393,0.59397,118.0,70.10144
2025-07-15 21:15:00,0.59396,0.59414,0.59389,0.59405,134.0,79.59734
2025-07-15 21:20:00,0.59402,0.5942,0.59398,0.59419,108.0,64.16253
2025-07-15 21:25:00,0.5942,0.5942,0.59398,0.59412,80.0,47.53
2025-07-15 21:30:00,0.59412,0.59439,0.59411,0.59426,64.0,38.03008
2025-07-15 21:35:00,0.59427,0.59433,0.5941,0.59433,68.0,40.40951
2025-07-15 21:40:00,0.59433,0.59433,0.59407,0.59423,139.0,82.59936
2025-07-15 21:45:00,0.59424,0.59434,0.59417,0.59432,90.0,53.484075
2025-07-15 21:50:00,0.59432,0.59438,0.59416,0.59426,75.0,44.571
2025-07-15 21:55:00,0.59428,0.5944,0.59428,0.59428,24.0,14.26344
2025-07-15 22:00:00,0.59448,0.59455,0.59431,0.59454,67.0,39.82949
2025-07-15 22:05:00,0.59454,0.59454,0.59441,0.59442,20.0,11.88955
2025-07-15 22:10:00,0.59442,0.59447,0.59442,0.59445,16.0,9.51104
2025-07-15 22:15:00,0.59445,0.59445,0.59434,0.59435,41.0,24.370297
2025-07-15 22:20:00,0.59435,0.59442,0.59432,0.59438,32.0,19.01976
2025-07-15 22:25:00,0.59438,0.59438,0.59433,0.59436,18.0,10.698525
2025-07-15 22:30:00,0.59436,0.59441,0.5943,0.59431,23.0,13.669935
2025-07-15 22:35:00,0.59431,0.59441,0.59431,0.5944,26.0,15.453295
2025-07-15 22:40:00,0.5944,0.59441,0.59432,0.59436,31.0,18.425548
2025-07-15 22:45:00,0.59437,0.5944,0.59434,0.59439,35.0,20.803125
2025-07-15 22:50:00,0.59439,0.59451,0.59433,0.59451,25.0,14.860875
2025-07-15 22:55:00,0.59451,0.59459,0.59451,0.59457,48.0,28.53816
2025-07-15 23:00:00,0.59457,0.5946,0.59443,0.59456,33.0,19.61982
2025-07-15 23:05:00,0.59455,0.59474,0.59455,0.5947,37.0,22.001495
2025-07-15 23:10:00,0.59469,0.59472,0.59453,0.59456,23.0,13.676375
2025-07-15 23:15:00,0.59456,0.59465,0.59456,0.59465,26.0,15.45973
2025-07-15 23:20:00,0.59465,0.59492,0.59464,0.5949,61.0,36.281427
2025-07-15 23:25:00,0.59491,0.59496,0.59487,0.59494,38.0,22.60696
2025-07-15 23:30:00,0.59494,0.59507,0.5949,0.59503,34.0,20.22949
2025-07-15 23:35:00,0.59503,0.59515,0.59498,0.59515,45.0,26.778487
2025-07-15 23:40:00,0.59515,0.59532,0.59515,0.59528,46.0,27.38035
2025-07-15 23:45:00,0.59526,0.59547,0.59522,0.59545,49.0,29.17215
2025-07-15 23:50:00,0.59544,0.59545,0.59518,0.59523,54.0,32.14755
2025-07-15 23:55:00,0.59525,0.59536,0.59516,0.59534,56.0,33.33554
2025-07-16 00:00:00,0.59534,0.5956,0.59531,0.59541,111.0,66.091065
2025-07-16 00:05:00,0.59541,0.59561,0.59541,0.59551,63.0,37.515555
2025-07-16 00:10:00,0.59551,0.59552,0.59529,0.59535,83.0,49.419652
2025-07-16 00:15:00,0.59532,0.59541,0.59521,0.59537,76.0,45.24489
2025-07-16 00:20:00,0.59535,0.59546,0.59529,0.59544,62.0,36.91387
2025-07-16 00:25:00,0.59544,0.59569,0.59544,0.59563,61.0,36.32855
2025-07-16 00:30:00,0.59563,0.59566,0.59548,0.59557,60.0,35.7351
2025-07-16 00:35:00,0.59557,0.59619,0.59556,0.59619,115.0,68.525912
2025-07-16 00:40:00,0.59616,0.59636,0.5961,0.59626,88.0,52.46736
2025-07-16 00:45:00,0.59627,0.59652,0.59626,0.59636,93.0,55.460783
2025-07-16 00:50:00,0.59639,0.59654,0.59614,0.59617,98.0,58.43838
2025-07-16 00:55:00,0.59616,0.59617,0.59604,0.59608,98.0,58.419025
2025-07-16 01:00:00,0.59606,0.59616,0.59587,0.59607,88.0,52.45152
2025-07-16 01:05:00,0.59607,0.59615,0.59598,0.59609,84.0,50.07009
2025-07-16 01:10:00,0.59606,0.59622,0.59597,0.5962,90.0,53.650125
2025-07-16 01:15:00,0.59619,0.59628,0.59604,0.59605,91.0,54.24874
2025-07-16 01:20:00,0.59605,0.59629,0.596,0.59608,81.0,48.284505
2025-07-16 01:25:00,0.59608,0.59614,0.5958,0.59582,76.0,45.29296
2025-07-16 01:30:00,0.59582,0.59604,0.59574,0.59579,113.0,67.330768
2025-07-16 01:35:00,0.59579,0.59587,0.59569,0.59569,66.0,39.32016
2025-07-16 01:40:00,0.59567,0.59577,0.59542,0.59548,69.0,41.095365
2025-07-16 01:45:00,0.59548,0.59549,0.59524,0.59534,55.0,32.746312
2025-07-16 01:50:00,0.59534,0.59548,0.59524,0.59528,62.0,36.91077
2025-07-16 01:55:00,0.59528,0.59549,0.59523,0.59531,71.0,42.268253
2025-07-16 02:00:00,0.59531,0.59531,0.59499,0.59504,79.0,47.017838
2025-07-16 02:05:00,0.59504,0.59511,0.59486,0.59493,87.0,51.763695
2025-07-16 02:10:00,0.59495,0.59496,0.59469,0.59481,75.0,44.613937
2025-07-16 02:15:00,0.5948,0.59494,0.59473,0.59493,66.0,39.2601
2025-07-16 02:20:00,0.59493,0.59502,0.59484,0.59493,67.0,39.86031
2025-07-16 02:25:00,0.59493,0.59498,0.59483,0.59484,45.0,26.770275
2025-07-16 02:30:00,0.59484,0.59494,0.59477,0.59487,57.0,33.906735
2025-07-16 02:35:00,0.59487,0.59491,0.59469,0.59478,47.0,27.956188
2025-07-16 02:40:00,0.59478,0.59478,0.59452,0.59459,75.0,44.600062
2025-07-16 02:45:00,0.59459,0.59459,0.59439,0.59453,39.0,23.186475
2025-07-16 02:50:00,0.59452,0.59457,0.59442,0.59451,42.0,24.96921
2025-07-16 02:55:00,0.59451,0.59456,0.59445,0.59454,59.0,35.076385
2025-07-16 03:00:00,0.59454,0.59491,0.59454,0.59486,71.0,42.224587
2025-07-16 03:05:00,0.59486,0.59492,0.59479,0.59492,47.0,27.959008
2025-07-16 03:10:00,0.59492,0.59495,0.59483,0.59489,38.0,22.606105
2025-07-16 03:15:00,0.59489,0.59513,0.59487,0.59513,55.0,32.725275
2025-07-16 03:20:00,0.59513,0.59513,0.59494,0.59496,46.0,27.37184
2025-07-16 03:25:00,0.59496,0.59499,0.59487,0.59487,50.0,29.746125
2025-07-16 03:30:00,0.59487,0.59498,0.59484,0.59485,50.0,29.74425
