timestamps,open,high,low,close,volume,amount
2025-07-15 15:35:00,3326.198,3329.992,3325.341,3329.818,1859.0,6186449.44775
2025-07-15 15:40:00,3329.859,3333.491,3329.848,3331.322,1461.0,4866780.93
2025-07-15 15:45:00,3331.33,3331.679,3329.304,3329.829,1100.0,3663589.05
2025-07-15 15:50:00,3329.756,3329.835,3327.511,3328.294,882.0,2936044.818
2025-07-15 15:55:00,3328.264,3330.298,3327.93,3328.992,953.0,3172414.063
2025-07-15 16:00:00,3328.957,3329.044,3326.124,3326.929,1209.0,4023266.0715
2025-07-15 16:05:00,3326.9,3327.521,3323.916,3326.153,1151.0,3828366.9975
2025-07-15 16:10:00,3326.192,3326.621,3321.435,3322.651,1309.0,4351410.19775
2025-07-15 16:15:00,3322.695,3323.626,3320.207,3322.548,1261.0,4189381.209
2025-07-15 16:20:00,3322.475,3324.052,3321.888,3323.754,945.0,3140274.92625
2025-07-15 16:25:00,3323.643,3325.725,3323.078,3325.709,924.0,3071873.805
2025-07-15 16:30:00,3325.679,3326.709,3324.949,3325.054,705.0,2344546.41375
2025-07-15 16:35:00,3325.013,3325.723,3323.952,3325.617,755.0,2510432.56875
2025-07-15 16:40:00,3325.574,3326.391,3325.207,3326.165,715.0,2377971.48875
2025-07-15 16:45:00,3326.121,3328.39,3325.922,3328.39,672.0,2235882.264
2025-07-15 16:50:00,3328.341,3328.975,3327.536,3328.975,613.0,2040343.98775
2025-07-15 16:55:00,3328.93,3330.302,3327.954,3329.274,823.0,2739861.645
2025-07-15 17:00:00,3329.298,3329.509,3327.597,3328.379,638.0,2123707.8885
2025-07-15 17:05:00,3328.361,3329.778,3328.149,3329.717,486.0,1617894.6075
2025-07-15 17:10:00,3329.75,3331.212,3329.194,3331.069,524.0,1745080.475
2025-07-15 17:15:00,3331.028,3331.382,3330.558,3331.155,456.0,1518950.022
2025-07-15 17:20:00,3331.241,3331.281,3329.558,3330.346,631.0,2101612.7015
2025-07-15 17:25:00,3330.351,3331.083,3328.722,3329.216,696.0,2317570.728
2025-07-15 17:30:00,3329.338,3330.34,3327.992,3328.05,576.0,1917463.68
2025-07-15 17:35:00,3328.162,3329.254,3327.634,3327.872,539.0,1793916.2395
2025-07-15 17:40:00,3327.794,3328.464,3327.198,3328.165,465.0,1547475.94125
2025-07-15 17:45:00,3328.134,3328.398,3327.289,3327.48,406.0,1351097.0515
2025-07-15 17:50:00,3327.458,3327.977,3325.852,3327.812,558.0,1856619.3105
2025-07-15 17:55:00,3327.844,3328.721,3327.412,3328.179,510.0,1697299.89
2025-07-15 18:00:00,3328.186,3329.383,3327.753,3329.383,480.0,1597764.6
2025-07-15 18:05:00,3329.367,3329.421,3327.846,3329.316,530.0,1764363.375
2025-07-15 18:10:00,3329.276,3329.284,3328.395,3328.672,401.0,1334891.60675
2025-07-15 18:15:00,3328.741,3328.916,3326.745,3326.982,459.0,1527481.314
2025-07-15 18:20:00,3326.973,3327.213,3325.786,3325.91,469.0,1560114.6645
2025-07-15 18:25:00,3325.921,3326.836,3325.82,3326.447,454.0,1510120.224
2025-07-15 18:30:00,3326.417,3327.952,3326.3,3327.904,460.0,1530485.895
2025-07-15 18:35:00,3327.911,3329.716,3327.874,3329.14,494.0,1644358.1635
2025-07-15 18:40:00,3329.112,3330.202,3328.787,3329.985,399.0,1328479.0785
2025-07-15 18:45:00,3329.949,3331.957,3329.785,3330.503,541.0,1801826.7385
2025-07-15 18:50:00,3330.516,3331.174,3329.744,3329.798,475.0,1581896.3
2025-07-15 18:55:00,3329.814,3329.982,3328.71,3328.877,440.0,1464912.13
2025-07-15 19:00:00,3328.842,3330.092,3328.807,3329.235,446.0,1484842.824
2025-07-15 19:05:00,3329.201,3329.201,3327.532,3328.077,455.0,1514468.75125
2025-07-15 19:10:00,3328.045,3328.228,3327.128,3327.387,351.0,1168021.647
2025-07-15 19:15:00,3327.345,3328.271,3327.279,3328.068,327.0,1088171.22525
2025-07-15 19:20:00,3328.025,3328.025,3327.335,3327.528,347.0,1154721.70275
2025-07-15 19:25:00,3327.541,3327.818,3326.421,3326.879,409.0,1360810.38275
2025-07-15 19:30:00,3326.914,3328.039,3326.753,3327.439,393.0,1307623.49625
2025-07-15 19:35:00,3327.444,3328.315,3327.444,3328.032,347.0,1154749.63625
2025-07-15 19:40:00,3328.067,3329.64,3327.777,3329.494,393.0,1308196.5885
2025-07-15 19:45:00,3329.404,3329.803,3328.872,3329.037,365.0,1215186.835
2025-07-15 19:50:00,3328.982,3330.506,3328.747,3330.356,428.0,1425089.237
2025-07-15 19:55:00,3330.44,3331.221,3329.384,3330.455,566.0,1884992.25
2025-07-15 20:00:00,3330.408,3331.019,3330.049,3330.188,363.0,1208941.008
2025-07-15 20:05:00,3330.158,3330.818,3329.557,3330.377,277.0,922473.0175
2025-07-15 20:10:00,3330.306,3330.736,3330.012,3330.401,163.0,542849.29125
2025-07-15 20:15:00,3330.396,3330.612,3328.694,3328.766,290.0,965588.93
