meta_trade_id,meta_symbol,meta_signal_time_utc,k_paths,k_p_target_first,k_p_stop_first,k_p_timeout,k_expected_r,k_median_r,k_expected_r_p25,k_mean_mfe_r,k_mean_mae_r,k_mean_terminal_r,k_p_terminal_favorable,k_dispersion_r,k_mean_bars_to_exit,k_reward_r,k_target_stop_ratio,k_error
trade-aec81e7b3dd1aeb3,GBPUSD,2025-08-20T12:20:00Z,30.0,0.06666667,0.43333333,0.5,0.71433583,1.57366961,-1.0,1.47562796,-0.90946381,1.82705454,1.0,0.31852347,53.0,2.9986403,0.15384811,
trade-db8cd8f323afb888,NZDUSD,2025-08-20T18:10:00Z,30.0,0.03333333,0.96666667,0.0,-0.7672298,-1.0,-1.0,1.45655479,-2.07211189,7.88023858,1.0,0.82731691,33.93333333,5.98310607,0.03448376,
trade-8cb4fae67468f910,NZDUSD,2025-08-20T23:30:00Z,30.0,0.0,0.9,0.1,-0.35965079,-1.0,-1.0,1.13030363,-1.61101805,6.2379048,1.0,1.03667595,31.46666667,6.4763101,1.11e-06,
trade-17696b04421c5443,GBPUSD,2025-08-21T01:00:00Z,30.0,0.33333333,0.66666667,0.0,-0.08034899,-1.0,-1.0,0.84349372,-1.26831363,6.4559199,1.0,0.82413864,11.0,1.75895302,0.50000075,
trade-3c3f4957ea2c334f,USDCHF,2025-08-21T01:05:00Z,30.0,0.0,0.9,0.1,-0.77837224,-1.0,-1.0,0.87798073,-1.63642012,2.12158745,1.0,0.89789052,30.43333333,6.12449645,1.11e-06,
trade-7859caf56dd6359f,USDCHF,2025-08-21T06:05:00Z,30.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.25826821,-1.45087048,2.2891584,0.96666667,0.89549176,6.3,4.58623582,1e-06,
trade-b6b01df3925971a2,USDCAD,2025-08-21T07:00:00Z,30.0,0.0,0.66666667,0.33333333,0.84963725,-1.0,-1.0,2.24218061,-0.98311003,4.97673356,1.0,1.46955238,40.1,12.24566874,1.5e-06,
trade-8c98e45acaeebdb6,USDCAD,2025-08-21T10:25:00Z,30.0,0.0,0.26666667,0.73333333,1.37594039,2.14551718,-0.39972267,2.94689325,-0.75672321,2.24554783,1.0,0.31214081,78.16666667,10.30755903,3.75e-06,
trade-1fe1e5274e8fd5cf,NZDUSD,2025-08-21T12:25:00Z,30.0,0.0,0.93333333,0.06666667,-0.85366004,-1.0,-1.0,0.55327461,-1.7878081,1.05198167,0.96666667,1.30341691,12.66666667,7.20186672,1.07e-06,
trade-8462385b1f59a4ca,USDCHF,2025-08-21T12:40:00Z,30.0,0.0,0.96666667,0.03333333,-0.96348649,-1.0,-1.0,0.16002928,-1.40215718,0.28022235,0.86666667,0.35447466,11.03333333,2.24596564,1.03e-06,
