meta_trade_id,meta_symbol,meta_signal_time_utc,k_paths,k_p_target_first,k_p_stop_first,k_p_timeout,k_expected_r,k_median_r,k_expected_r_p25,k_mean_mfe_r,k_mean_mae_r,k_mean_terminal_r,k_p_terminal_favorable,k_dispersion_r,k_mean_bars_to_exit,k_reward_r,k_target_stop_ratio,k_error
trade-aec81e7b3dd1aeb3,GBPUSD,2025-08-20T12:20:00Z,30.0,0.26666667,0.23333333,0.5,1.59487674,2.16877657,1.47483627,2.23303101,-0.84237142,1.8907216,1.0,0.34750711,65.16666667,2.9986403,1.14285653,
trade-db8cd8f323afb888,NZDUSD,2025-08-20T18:10:00Z,30.0,0.13333333,0.86666667,0.0,-0.06891919,-1.0,-1.0,1.65915998,-1.54141662,9.51349599,1.0,1.24947513,19.86666667,5.98310607,0.15384713,
trade-8cb4fae67468f910,NZDUSD,2025-08-20T23:30:00Z,30.0,0.06666667,0.93333333,0.0,-0.50157933,-1.0,-1.0,1.04925024,-2.30885142,10.07333408,0.96666667,2.93638828,24.0,6.4763101,0.07142957,
trade-17696b04421c5443,GBPUSD,2025-08-21T01:00:00Z,30.0,0.6,0.4,0.0,0.65537181,1.75895302,-1.0,1.52237379,-0.9211437,8.52855331,1.0,1.68937104,21.26666667,1.75895302,1.49999875,
trade-3c3f4957ea2c334f,USDCHF,2025-08-21T01:05:00Z,30.0,0.16666667,0.83333333,0.0,0.18741608,-1.0,-1.0,1.56734272,-1.54217039,4.07636124,1.0,1.21840932,17.6,6.12449645,0.20000096,
trade-7859caf56dd6359f,USDCHF,2025-08-21T06:05:00Z,30.0,0.03333333,0.93333333,0.03333333,-0.69884443,-1.0,-1.0,0.70774264,-1.45588254,4.17441895,1.0,0.73724082,13.96666667,4.58623582,0.03571532,
trade-b6b01df3925971a2,USDCAD,2025-08-21T07:00:00Z,30.0,0.63333333,0.33333333,0.03333333,7.53256161,12.24566874,-1.0,8.26808746,-0.82834288,4.00708223,1.0,2.08333277,35.23333333,12.24566874,1.8999973,
trade-8c98e45acaeebdb6,USDCAD,2025-08-21T10:25:00Z,30.0,0.0,0.16666667,0.83333333,1.07082142,1.14052642,0.57112869,4.64620963,-0.68345351,1.57748795,1.0,0.81754351,83.86666667,10.30755903,6e-06,
trade-1fe1e5274e8fd5cf,NZDUSD,2025-08-21T12:25:00Z,30.0,0.0,0.93333333,0.06666667,-0.60933988,-1.0,-1.0,0.96388367,-1.71340337,6.69855142,0.93333333,4.58337348,16.53333333,7.20186672,1.07e-06,
trade-8462385b1f59a4ca,USDCHF,2025-08-21T12:40:00Z,30.0,0.16666667,0.83333333,0.0,-0.45900573,-1.0,-1.0,0.53061929,-1.36149368,3.60905923,1.0,0.82456206,15.3,2.24596564,0.20000096,
trade-06868ebaabf2a449,GBPUSD,2025-08-21T12:50:00Z,30.0,0.0,0.13333333,0.86666667,1.82191202,2.17579119,2.07338003,2.38669961,-0.72528359,2.25242902,1.0,0.45714597,84.0,3.73272264,7.5e-06,
trade-b6a3113716083b69,GBPUSD,2025-08-22T02:00:00Z,30.0,0.26666667,0.73333333,0.0,0.4575984,-1.0,-1.0,1.8956338,-1.11626259,8.52331428,0.96666667,2.71875965,41.2,4.46599402,0.36363723,
trade-4bb3ba07adc26d3b,AUDUSD,2025-08-22T02:00:00Z,30.0,0.36666667,0.63333333,0.0,0.11476249,-1.0,-1.0,0.96117504,-1.08194805,2.6020952,1.0,1.31788462,11.76666667,2.04026134,0.57894803,
trade-cbf178fa99b022bf,EURUSD,2025-08-22T02:05:00Z,30.0,0.8,0.2,0.0,2.00829368,2.76036711,2.76036711,2.56603154,-0.66603561,3.95281976,1.0,0.38553797,42.16666667,2.76036711,3.999985,
trade-786d10761da3b156,AUDUSD,2025-08-22T04:05:00Z,30.0,0.8,0.2,0.0,1.36537208,1.95671511,1.95671511,1.79628818,-0.80785503,0.76510031,0.93333333,0.57677809,20.73333333,1.95671511,3.999985,
trade-fc3992ead6761fea,USDJPY,2025-08-22T07:55:00Z,30.0,0.86666667,0.13333333,0.0,5.62302168,6.64194809,6.64194809,6.35617511,-0.57091839,8.19862856,1.0,0.46678763,35.66666667,6.64194809,6.49995875,
trade-154c89bae84dfb24,USDCAD,2025-08-22T08:15:00Z,30.0,0.9,0.1,0.0,3.14841321,3.60934801,3.60934801,3.87163625,-0.5270692,4.87475293,1.0,0.67858834,26.6,3.60934801,8.99992,
trade-a62c335d28bf12be,USDCAD,2025-08-25T00:05:00Z,30.0,0.76666667,0.1,0.13333333,3.5537383,4.13794695,4.13794695,3.95208207,-0.39873898,4.50610656,1.0,0.59522403,75.4,4.13794695,7.6666,
trade-4c28fa225bf5b274,EURUSD,2025-08-25T06:50:00Z,30.0,0.86666667,0.13333333,0.0,9.33791963,10.9283688,10.9283688,11.31518351,-0.6497187,12.71738564,1.0,0.73525556,53.23333333,10.9283688,6.49995875,
trade-917355432255e3ba,USDCAD,2025-08-26T03:15:00Z,30.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.28309208,-1.25902339,-18.24520509,0.03333333,6.65571074,12.1,3.22178788,1e-06,
trade-2b4912f1559e14f5,NZDUSD,2025-08-26T16:35:00Z,30.0,0.0,0.76666667,0.23333333,-0.70030627,-1.0,-1.0,1.3202315,-0.9878708,0.04875102,0.56666667,0.92868671,58.2,8.06404905,1.3e-06,
trade-5257b635932207d0,USDCAD,2025-08-26T17:35:00Z,30.0,0.0,0.56666667,0.43333333,-0.52532038,-1.0,-1.0,0.41680484,-1.0285918,-0.09104933,0.43333333,0.56488605,57.9,4.16228124,1.76e-06,
trade-03cde30405d60bae,USDCHF,2025-08-27T08:00:00Z,30.0,0.6,0.36666667,0.03333333,1.88201982,3.5927669,-1.0,2.53643455,-0.76340729,1.55037733,0.9,1.10524003,41.53333333,3.5927669,1.6363619,
trade-4128dd96d05a3670,NZDUSD,2025-08-28T02:15:00Z,30.0,0.0,0.73333333,0.26666667,-0.46360732,-1.0,-1.0,0.96545458,-0.98028139,1.62144082,0.9,0.95158422,41.86666667,6.88460877,1.36e-06,
trade-2743bde3e02e6a40,USDJPY,2025-08-28T08:05:00Z,30.0,0.23333333,0.6,0.16666667,0.99691406,-1.0,-1.0,2.52692805,-1.15618529,1.9663965,0.93333333,1.51654477,35.66666667,4.90300982,0.38888991,
trade-6ae9f1f11f5ec1b9,GBPUSD,2025-08-28T09:15:00Z,30.0,0.36666667,0.6,0.03333333,1.67453724,-1.0,-1.0,2.51867871,-0.92580347,5.33350983,1.0,0.68278874,35.96666667,5.82291751,0.61111176,
trade-29d2ea8f7b08cbd5,USDCHF,2025-08-28T14:30:00Z,30.0,0.16666667,0.8,0.03333333,0.19202856,-1.0,-1.0,1.19563552,-1.45468116,4.32517722,1.0,0.80784269,22.03333333,4.97451717,0.20833432,
trade-a013c5a28ce69f3e,USDJPY,2025-08-28T14:30:00Z,30.0,0.73333333,0.26666667,0.0,1.06463691,1.81541397,-0.29614651,1.68789199,-0.72130604,8.59862932,1.0,3.38207597,9.96666667,1.81541397,2.74999344,
trade-36530a2b393e305c,AUDUSD,2025-08-28T14:30:00Z,30.0,0.53333333,0.46666667,0.0,3.4405345,7.32600218,-1.0,4.20313452,-0.81943825,7.84763359,1.0,0.64070838,35.83333333,7.32600218,1.14285684,
trade-3c01de8b374dcfe8,USDJPY,2025-08-28T21:30:00Z,30.0,0.73333333,0.26666667,0.0,3.9103809,5.69597395,0.67399349,4.35747183,-0.81830254,7.16384306,1.0,0.6942008,44.83333333,5.69597395,2.74999344,
trade-d9f7a7e480d53e4e,USDJPY,2025-08-29T02:15:00Z,30.0,0.63333333,0.36666667,0.0,1.48133339,2.91789482,-1.0,1.9961843,-0.86880727,5.41989478,1.0,1.08277417,30.76666667,2.91789482,1.72727074,
trade-23487bed234d873f,AUDUSD,2025-08-29T08:05:00Z,30.0,0.56666667,0.4,0.03333333,7.57876354,13.40712214,-1.0,8.56574424,-0.81719114,11.00529777,1.0,3.41528525,41.96666667,13.40712214,1.41666563,
trade-3a743a2c7b552576,EURUSD,2025-08-29T08:55:00Z,30.0,0.83333333,0.16666667,0.0,1.17401039,1.60881247,1.60881247,1.60018049,-0.53234926,3.63745711,1.0,0.87560215,28.0,1.60881247,4.999976,
trade-1635a2b43cb06bac,USDJPY,2025-08-29T20:10:00Z,30.0,0.03333333,0.86666667,0.1,-0.52909124,-1.0,-1.0,1.75381435,-1.25804828,1.76900285,0.96666667,1.50437668,28.1,7.78043405,0.03846265,
trade-94956dd568adf794,USDCAD,2025-09-01T01:00:00Z,30.0,0.0,0.16666667,0.83333333,1.21648604,1.43581495,1.11716246,5.39821138,-0.54070425,1.91921965,1.0,1.10525292,84.3,10.29149187,6e-06,
trade-0077c6df7e13054f,EURUSD,2025-09-01T01:10:00Z,30.0,0.86666667,0.13333333,0.0,1.73831765,2.15959729,2.15959729,3.09813429,-0.69725612,3.60738269,1.0,2.08883483,25.4,2.15959729,6.49995875,
trade-0fa5bb2b7c1fef93,USDJPY,2025-09-01T05:45:00Z,30.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.5893683,-1.26888003,-0.92260118,0.16666667,0.85248146,15.06666667,7.43344944,1e-06,
trade-1f19b9c8042216c1,AUDUSD,2025-09-01T08:05:00Z,30.0,0.0,0.16666667,0.83333333,2.06465595,2.43520715,1.56656772,5.46984584,-0.71661431,2.75582184,1.0,0.75964137,80.86666667,15.26461325,6e-06,
trade-e6d392c90757203c,USDCHF,2025-09-01T08:05:00Z,30.0,0.0,0.33333333,0.66666667,1.88417143,3.05141348,-1.0,3.66964223,-0.76956677,3.2815703,1.0,0.57661282,69.9,8.44716329,3e-06,
trade-399cd00e0dcd2fc5,AUDUSD,2025-09-01T12:05:00Z,30.0,0.0,0.0,1.0,4.36855534,4.5270771,3.94981015,5.09564162,-0.43567547,4.36855534,1.0,0.50179505,96.0,12.21960293,1.0,
trade-c42e86a0540ff826,USDCAD,2025-09-02T15:20:00Z,30.0,0.83333333,0.16666667,0.0,1.98374221,2.58049066,2.58049066,2.26115864,-0.57183977,3.61497287,1.0,0.17811968,28.76666667,2.58049066,4.999976,
trade-c4f6714a4519fa8b,USDCHF,2025-09-02T16:50:00Z,30.0,0.96666667,0.03333333,0.0,4.19795085,4.37719054,4.37719054,4.49286036,-0.44081292,6.19383499,1.0,0.33334098,37.6,4.37719054,28.99916003,
trade-79836a2dcbca50b9,USDJPY,2025-09-03T02:05:00Z,30.0,0.53333333,0.46666667,0.0,6.21631347,12.53058777,-1.0,7.34248255,-0.92796519,15.33760218,1.0,1.00652396,30.76666667,12.53058777,1.14285684,
trade-b3676328a7a637bd,NZDUSD,2025-09-03T07:35:00Z,30.0,0.7,0.23333333,0.06666667,2.75624341,4.05842321,1.35208385,3.24436329,-0.59852995,4.31259038,1.0,0.89549235,62.06666667,4.05842321,2.99999143,
trade-324dc6e9f549094d,USDJPY,2025-09-03T10:55:00Z,30.0,0.5,0.46666667,0.03333333,6.28589613,12.13145069,-1.0,7.5251247,-0.72566666,19.14221139,1.0,3.26433511,43.2,12.73671304,1.07142842,
trade-706c29f0ae813af8,USDCHF,2025-09-03T13:30:00Z,30.0,0.93333333,0.0,0.06666667,2.14043996,2.17082974,2.17082974,2.22489575,-0.38915742,3.2252781,1.0,0.8094956,70.8,2.17082974,933334.33333333,
trade-8f3aaf9c46f9e2b5,USDCAD,2025-09-03T19:45:00Z,30.0,0.9,0.1,0.0,4.4802659,5.08918433,5.08918433,5.01785552,-0.43346362,5.69912436,1.0,2.55728843,37.6,5.08918433,8.99992,
trade-bf55df81bdb6e181,NZDUSD,2025-09-04T13:00:00Z,30.0,0.0,0.03333333,0.96666667,0.01871123,-0.01588408,-0.08513644,0.77484422,-0.60527494,0.08043385,0.5,0.35223761,92.93333333,3.08793588,3e-05,
trade-cbb68910c209b3de,AUDUSD,2025-09-08T06:10:00Z,30.0,0.63333333,0.36666667,0.0,2.00653693,3.74716357,-1.0,2.71679314,-0.84963946,10.18767446,1.0,0.87301134,18.93333333,3.74716357,1.72727074,
trade-092ffc351943ed6a,USDCHF,2025-09-08T06:10:00Z,30.0,0.4,0.6,0.0,2.66846119,-1.0,-1.0,4.25346338,-1.18983209,9.90592012,1.0,0.5748246,45.03333333,8.17115296,0.66666722,
trade-4048dd01ea1444f8,EURUSD,2025-09-08T07:50:00Z,30.0,0.93333333,0.06666667,0.0,8.07611187,8.72440557,8.72440557,8.56488692,-0.49579759,11.30771633,1.0,0.85955772,43.63333333,8.72440557,13.999805,
trade-4d63177affb4c3bc,USDCHF,2025-09-08T09:30:00Z,30.0,0.33333333,0.66666667,0.0,4.13010119,-1.0,-1.0,6.65277668,-2.14095176,17.12846513,1.0,1.00110325,47.33333333,14.39030358,0.50000075,
trade-9bca221d0a116ce0,AUDUSD,2025-09-08T20:00:00Z,30.0,0.8,0.2,0.0,7.60992166,9.76240208,9.76240208,9.83624604,-0.56419045,12.68190356,1.0,1.07054353,29.36666667,9.76240208,3.999985,
trade-1ea4a14d7c49e2af,AUDUSD,2025-09-09T01:45:00Z,30.0,0.83333333,0.16666667,0.0,5.26465796,6.51758956,6.51758956,6.37342094,-0.5581986,6.01458357,1.0,1.47581631,30.96666667,6.51758956,4.999976,
trade-55dc208527fa83be,GBPUSD,2025-09-09T07:40:00Z,30.0,0.93333333,0.03333333,0.03333333,3.9877296,4.24573509,4.24573509,4.42016169,-0.27856448,3.24018914,1.0,0.6664879,44.83333333,4.24573509,27.99919002,
trade-ac23cd1ca3229288,NZDUSD,2025-09-09T08:35:00Z,30.0,0.16666667,0.43333333,0.4,4.81126767,8.25147253,-1.0,6.13385561,-0.85634722,8.69606361,1.0,0.7007003,52.83333333,10.30688353,0.3846168,
trade-0305af25bc229ce9,USDCHF,2025-09-09T18:15:00Z,30.0,0.0,0.66666667,0.33333333,0.03806724,-1.0,-1.0,2.65624835,-1.03780677,-0.80501567,0.5,4.0511503,59.16666667,12.80328768,1.5e-06,
trade-4b321982df535399,EURUSD,2025-09-10T04:15:00Z,30.0,0.43333333,0.5,0.06666667,2.64827227,1.93959127,-1.0,3.77983061,-1.33015084,5.85193416,1.0,0.71981692,48.6,6.46888261,0.86666693,
trade-aa9ffc14a4d73b9f,AUDUSD,2025-09-10T06:15:00Z,30.0,0.0,0.0,1.0,2.10773499,2.10196014,1.75199907,3.65018902,-0.46875482,2.10773499,1.0,0.46717349,96.0,7.0682266,1.0,
trade-37d0aa4ed4ba90e7,USDCAD,2025-09-10T06:45:00Z,30.0,0.56666667,0.43333333,0.0,3.24565374,6.49233012,-1.0,4.38744756,-0.93321187,6.29697253,1.0,1.27843481,22.63333333,6.49233012,1.3076916,
trade-e68ab81c62602797,NZDUSD,2025-09-10T08:05:00Z,30.0,0.0,0.06666667,0.93333333,-0.30672699,-0.34063352,-0.46716067,1.18908935,-0.69590622,-0.25463295,0.13333333,0.26113472,94.66666667,4.47303536,1.5e-05,
trade-9c00e466c47f584a,EURUSD,2025-09-10T11:10:00Z,30.0,0.63333333,0.36666667,0.0,3.56663111,6.21047017,-1.0,4.57471095,-0.99148979,7.58870752,1.0,0.24759237,50.33333333,6.21047017,1.72727074,
trade-6dd02195e8a9918e,USDCAD,2025-09-10T13:00:00Z,30.0,0.3,0.7,0.0,0.54976359,-1.0,-1.0,1.50393598,-1.18783059,6.12604898,1.0,0.5810623,14.5,4.16587864,0.42857224,
trade-f542e8889cd5a33b,USDCAD,2025-09-10T15:30:00Z,30.0,0.8,0.2,0.0,2.96603369,3.95754211,3.95754211,3.5666311,-0.61145821,6.56239209,1.0,0.85692303,33.23333333,3.95754211,3.999985,
trade-187e0c3580eee1e6,EURUSD,2025-09-11T01:05:00Z,30.0,0.06666667,0.93333333,0.0,-0.28827878,-1.0,-1.0,1.04408448,-1.08929469,6.42934854,0.86666667,6.26345344,13.9,9.67581825,0.07142957,
trade-e7162422edb6aa9b,GBPUSD,2025-09-11T19:00:00Z,30.0,0.7,0.23333333,0.06666667,8.42315385,11.41821606,9.74592822,9.04397164,-0.66899526,9.46909299,1.0,0.73207931,36.43333333,11.41821606,2.99999143,
trade-5b9ed441e9f7104d,GBPUSD,2025-09-11T22:10:00Z,30.0,0.83333333,0.16666667,0.0,9.78859761,11.94631713,11.94631713,10.24706064,-0.54939082,8.29994569,1.0,1.13034746,36.96666667,11.94631713,4.999976,
trade-7f94f12582868d40,AUDUSD,2025-09-12T03:05:00Z,30.0,0.93333333,0.06666667,0.0,3.83701545,4.18251656,4.18251656,4.4284084,-0.45129095,4.72840529,1.0,0.65666205,29.63333333,4.18251656,13.999805,
trade-45c635cf105c6f0b,GBPUSD,2025-09-12T07:35:00Z,30.0,0.7,0.16666667,0.13333333,1.87743179,2.55217998,2.09702709,2.23978871,-0.59791734,2.13300626,1.0,0.32976741,69.8,2.55217998,4.1999808,
trade-e1254bed1703bc61,GBPUSD,2025-09-12T11:10:00Z,30.0,0.63333333,0.23333333,0.13333333,1.96810867,2.98127647,1.81813741,2.40278032,-0.73902708,2.85183302,1.0,0.49012981,53.63333333,2.98127647,2.71427837,
trade-fefa2b3f03ccc751,USDCHF,2025-09-12T17:30:00Z,30.0,0.36666667,0.63333333,0.0,0.80042299,-1.0,-1.0,1.65428679,-0.935756,4.29721791,0.96666667,1.66587716,42.7,3.91024452,0.57894803,
