trade_id,signal_id,strategy,symbol,broker_symbol,direction,model,signal_time_utc,entry_time_utc,exit_time_utc,signal_price,entry_price,fill_price,structural_stop,effective_stop,stop_price,initial_risk,destination_target,active_target,destination_reward_risk_at_fill,exit_price,exit_reason,status,outcome,r,realized_r,peak_r,mfe_r,mae_r,partial_banked,partial_fraction,remaining_fraction,final_stop_price,final_stop_r,bars_held_5m,spread_at_fill_points,spread_at_fill_price,spread_pct_of_initial_risk,entry_zone_id,destination_zone_id,campaign_zone_count,stop_basis
trade-aec81e7b3dd1aeb3,aec81e7b3dd1aeb3,s146,GBPUSD,GBPUSDm,long,aggressive_liquidation,2025-08-20T12:20:00Z,2025-08-20T12:20:00Z,2025-08-20T13:55:00Z,1.3482874065,1.34824,1.34824,1.3470426445,1.3470426445,1.3470426445,0.0011973555,1.35202,1.35202,3.1569571443,1.3470426445,stop_loss,loss,loss,-1.0,-1.0,1.085726002,1.085726002,-1.0773742635,False,0.0,1.0,1.3470426445,-1.0,19,11.0,0.00011,0.0918691232,15m-1755666000-1-a04799,4h-1755590400--1-c8d965,1,15m_zone_distal_plus_buffer
trade-db8cd8f323afb888,db8cd8f323afb888,s146,NZDUSD,NZDUSDm,long,aggressive_liquidation,2025-08-20T18:10:00Z,2025-08-20T18:10:00Z,2025-08-20T21:10:00Z,0.5828991435,0.58305,0.58305,0.5818009085,0.5818009085,0.5818009085,0.0012490915,0.58947,0.58947,5.1397355598,0.5818009085,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.0647738777,False,0.0,1.0,0.5818009085,-1.0,36,18.0,0.00018,0.1441047353,15m-1755704700-1-13135c,4h-1755633600--1-a3202a,1,liquidity_pool_plus_buffer
trade-f78ce1ebfa20daa6,f78ce1ebfa20daa6,s146,USDCAD,USDCADm,short,aggressive_liquidation,2025-08-20T19:05:00Z,2025-08-20T19:05:00Z,2025-08-20T19:20:00Z,1.386850647,1.38706,1.38706,1.38726936,1.38726936,1.38726936,0.00020936,1.38152,1.38152,26.4615972488,1.38664128,trailing_stop,win,win,1.625,1.625,2.6270538785,2.6270538785,-0.7642338556,True,0.5,0.5,1.38664128,2.0,3,15.0,0.00015,0.7164692396,15m-1755711000--1-0b1013,4h-1755590400-1-509224,1,15m_zone_distal_plus_buffer
trade-357bfb4de3f486f1,357bfb4de3f486f1,s146,USDCHF,USDCHFm,long,aggressive_liquidation,2025-08-20T21:20:00Z,2025-08-20T21:20:00Z,2025-08-20T21:30:00Z,0.803880186,0.80437,0.80437,0.803439826,0.803439826,0.803439826,0.000930174,0.80779,0.80779,3.6767314502,0.803439826,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.1610730896,False,0.0,1.0,0.803439826,-1.0,2,66.0,0.00066,0.7095446658,15m-1755716400-1-cfbaad,4h-1755648000--1-f8584b,1,liquidity_pool_plus_buffer
trade-8cb4fae67468f910,8cb4fae67468f910,s146,NZDUSD,NZDUSDm,long,conservative_mss,2025-08-20T23:30:00Z,2025-08-20T23:30:00Z,2025-08-21T00:50:00Z,0.582649123,0.58262,0.58262,0.5815959188,0.5815959188,0.5815959188,0.0010240812,0.58947,0.58947,6.6889223878,0.5815959188,stop_loss,loss,loss,-1.0,-1.0,0.1367079028,0.1367079028,-1.0253092711,False,0.0,1.0,0.5815959188,-1.0,16,18.0,0.00018,0.1757673036,15m-1755726300-1-a16397,4h-1755633600--1-a3202a,1,liquidity_pool_plus_buffer
trade-17696b04421c5443,17696b04421c5443,s146,GBPUSD,GBPUSDm,long,aggressive_liquidation,2025-08-21T01:00:00Z,2025-08-21T01:00:00Z,2025-08-21T03:30:00Z,1.34574728,1.34569,1.34569,1.34493275,1.34493275,1.34493275,0.00075725,1.34718,1.34718,1.9676460878,1.34493275,stop_loss,loss,loss,-1.0,-1.0,0.9640145262,0.9640145262,-1.1753053813,False,0.0,1.0,1.34493275,-1.0,30,11.0,0.00011,0.1452624629,15m-1755730800-1-dac84c,4h-1755662400--1-bfb5ba,1,liquidity_pool_plus_buffer
trade-3c3f4957ea2c334f,3c3f4957ea2c334f,s146,USDCHF,USDCHFm,long,aggressive_liquidation,2025-08-21T01:05:00Z,2025-08-21T01:05:00Z,2025-08-21T05:30:00Z,0.804480218,0.80449,0.80449,0.803939801,0.803939801,0.803939801,0.000550199,0.80779,0.80779,5.9978298761,0.805040199,trailing_stop,win,win,1.125,1.125,1.7811737208,1.7811737208,-0.363504841,True,0.5,0.5,0.805040199,1.0,53,13.0,0.00013,0.2362781466,15m-1755733500-1-f137d2,4h-1755648000--1-f8584b,1,liquidity_pool_plus_buffer
trade-a72135134f1b6dce,a72135134f1b6dce,s146,NZDUSD,NZDUSDm,long,aggressive_liquidation,2025-08-21T02:45:00Z,2025-08-21T02:45:00Z,2025-08-21T03:25:00Z,0.5821291045,0.58227,0.58227,0.581750911,0.581750911,0.581750911,0.000519089,0.58947,0.58947,13.8704538143,0.581750911,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.0210195169,False,0.0,1.0,0.581750911,-1.0,8,18.0,0.00018,0.3467613454,15m-1755738000-1-cf1e96,4h-1755633600--1-a3202a,1,liquidity_pool_plus_buffer
trade-6e207d1cd84086c4,6e207d1cd84086c4,s146,USDCHF,USDCHFm,long,conservative_mss,2025-08-21T03:30:00Z,2025-08-21T03:30:00Z,2025-08-21T07:10:00Z,0.805210258,0.80529,0.80529,0.8045897685,0.8045897685,0.8045897685,0.0007002315,0.80779,0.80779,3.5702478395,0.8059902315,trailing_stop,win,win,1.125,1.125,1.6137520234,1.6137520234,-0.9853884037,True,0.5,0.5,0.8059902315,1.0,44,13.0,0.00013,0.1856528877,15m-1755741600-1-7703cc,4h-1755648000--1-f8584b,1,liquidity_pool_plus_buffer
trade-7859caf56dd6359f,7859caf56dd6359f,s146,USDCHF,USDCHFm,long,aggressive_liquidation,2025-08-21T06:05:00Z,2025-08-21T06:05:00Z,2025-08-21T06:50:00Z,0.8049902475,0.80509,0.80509,0.804379779,0.804379779,0.804379779,0.000710221,0.80779,0.80779,3.801633576,0.805800221,trailing_stop,win,win,1.125,1.125,1.7459354201,1.7459354201,-0.3097627358,True,0.5,0.5,0.805800221,1.0,9,13.0,0.00013,0.1830416166,15m-1755750600-1-a1ecd7,4h-1755648000--1-f8584b,1,liquidity_pool_plus_buffer
