time_utc,time,open,high,low,close,tick_volume,spread,real_volume
2015-08-23T00:00:00Z,1440288000,138.782,138.801,138.09,138.474,7414,0,0
2015-08-24T00:00:00Z,1440374400,138.474,138.942,135.984,137.665,114339,0,0
2015-08-25T00:00:00Z,1440460800,137.664,138.591,136.476,136.966,99322,0,0
2015-08-26T00:00:00Z,1440547200,136.967,137.58,135.445,136.117,93680,0,0
2015-08-27T00:00:00Z,1440633600,136.114,136.349,135.249,136.053,73611,0,0
2015-08-28T00:00:00Z,1440720000,136.054,136.598,135.295,135.944,59242,0,0
2015-08-30T00:00:00Z,1440892800,135.931,136.007,135.718,135.987,5128,0,0
2015-08-31T00:00:00Z,1440979200,135.986,136.337,135.671,135.921,45802,0,0
2015-09-01T00:00:00Z,1441065600,135.922,136.22,134.667,135.211,77421,0,0
2015-09-02T00:00:00Z,1441152000,135.213,135.783,134.717,135.233,65718,0,0
2015-09-03T00:00:00Z,1441238400,135.232,135.351,133.122,133.608,71159,0,0
2015-09-04T00:00:00Z,1441324800,133.609,133.609,132.22,132.553,73777,0,0
2015-09-06T00:00:00Z,1441497600,132.737,132.89,132.64,132.888,3236,0,0
2015-09-07T00:00:00Z,1441584000,132.887,133.34,132.737,133.264,45639,0,0
2015-09-08T00:00:00Z,1441670400,133.268,134.582,132.964,134.579,57482,0,0
2015-09-09T00:00:00Z,1441756800,134.58,135.178,134.237,134.875,70672,0,0
2015-09-10T00:00:00Z,1441843200,134.876,136.362,134.743,136.121,77228,0,0
2015-09-11T00:00:00Z,1441929600,136.121,136.91,135.719,136.638,49905,0,0
2015-09-13T00:00:00Z,1442102400,136.619,137.031,136.482,137.021,3564,0,0
2015-09-14T00:00:00Z,1442188800,137.017,137.017,135.493,136.099,47808,0,0
2015-09-15T00:00:00Z,1442275200,136.098,136.395,134.991,135.704,52966,0,0
2015-09-16T00:00:00Z,1442361600,135.703,136.605,135.145,136.097,56187,0,0
2015-09-17T00:00:00Z,1442448000,136.097,137.425,136.097,136.925,75455,0,0
2015-09-18T00:00:00Z,1442534400,136.924,137.208,135.235,135.504,68824,0,0
2015-09-20T00:00:00Z,1442707200,135.451,135.591,135.358,135.493,5559,0,0
2015-09-21T00:00:00Z,1442793600,135.492,136.124,134.762,134.81,53834,0,0
2015-09-22T00:00:00Z,1442880000,134.81,134.906,133.308,133.523,57038,0,0
2015-09-23T00:00:00Z,1442966400,133.524,134.671,133.146,134.487,64260,0,0
2015-09-24T00:00:00Z,1443052800,134.489,134.884,134.005,134.448,77914,0,0
2015-09-25T00:00:00Z,1443139200,134.448,135.372,134.104,134.946,65598,0,0
2015-09-27T00:00:00Z,1443312000,134.743,134.961,134.743,134.828,3840,0,0
2015-09-28T00:00:00Z,1443398400,134.827,134.881,133.93,134.549,58451,0,0
2015-09-29T00:00:00Z,1443484800,134.547,134.944,134.23,134.889,62410,0,0
2015-09-30T00:00:00Z,1443571200,134.889,135.1,133.573,133.888,62698,0,0
2015-10-01T00:00:00Z,1443657600,133.889,134.228,133.432,134.096,58515,0,0
2015-10-02T00:00:00Z,1443744000,134.096,134.86,133.978,134.395,60476,0,0
2015-10-04T00:00:00Z,1443916800,134.541,134.702,134.401,134.662,5965,0,0
2015-10-05T00:00:00Z,1444003200,134.661,135.698,134.561,134.861,53949,0,0
2015-10-06T00:00:00Z,1444089600,134.86,135.591,134.396,135.483,56812,0,0
2015-10-07T00:00:00Z,1444176000,135.484,135.612,134.605,134.765,63089,0,0
2015-10-08T00:00:00Z,1444262400,134.766,135.567,134.71,135.329,58427,0,0
2015-10-09T00:00:00Z,1444348800,135.33,136.942,135.047,136.533,55533,0,0
2015-10-11T00:00:00Z,1444521600,136.527,136.701,136.489,136.621,5059,0,0
2015-10-12T00:00:00Z,1444608000,136.62,136.921,136.23,136.267,31952,0,0
2015-10-13T00:00:00Z,1444694400,136.266,136.582,136.004,136.294,50247,0,0
2015-10-14T00:00:00Z,1444780800,136.293,136.602,136.138,136.363,53779,0,0
2015-10-15T00:00:00Z,1444867200,136.362,136.725,134.792,135.338,64014,0,0
2015-10-16T00:00:00Z,1444953600,135.339,135.972,134.947,135.514,46502,0,0
2015-10-18T00:00:00Z,1445126400,135.575,135.64,135.475,135.488,7534,0,0
2015-10-19T00:00:00Z,1445212800,135.487,135.921,135.063,135.374,49941,0,0
2015-10-20T00:00:00Z,1445299200,135.371,136.208,135.255,136.002,42503,0,0
2015-10-21T00:00:00Z,1445385600,136.004,136.37,135.876,135.981,47705,0,0
2015-10-22T00:00:00Z,1445472000,135.982,136.052,133.753,133.95,63741,0,0
2015-10-23T00:00:00Z,1445558400,133.951,134.247,133.363,133.762,54862,0,0
2015-10-25T00:00:00Z,1445731200,133.707,133.809,133.543,133.658,7809,0,0
2015-10-26T00:00:00Z,1445817600,133.659,133.89,133.138,133.767,42650,0,0
2015-10-27T00:00:00Z,1445904000,133.768,133.78,132.724,132.908,46635,0,0
2015-10-28T00:00:00Z,1445990400,132.908,133.533,131.963,132.029,61290,0,0
2015-10-29T00:00:00Z,1446076800,132.031,133.052,131.577,132.995,52688,0,0
