time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
1999-01-04T08:00:00+00:00,1999-01-04,13:30:00,915436800,1.1801,1.1819,1.1769,1.1782,1520,50,0
1999-01-04T12:00:00+00:00,1999-01-04,17:30:00,915451200,1.178,1.1829,1.1775,1.1811,1826,50,0
1999-01-04T16:00:00+00:00,1999-01-04,21:30:00,915465600,1.1809,1.1862,1.18,1.1829,670,50,0
1999-01-04T20:00:00+00:00,1999-01-05,01:30:00,915480000,1.1826,1.1836,1.1807,1.181,288,50,0
1999-01-05T00:00:00+00:00,1999-01-05,05:30:00,915494400,1.1808,1.1835,1.1799,1.1811,211,50,0
1999-01-05T04:00:00+00:00,1999-01-05,09:30:00,915508800,1.1806,1.1833,1.1795,1.1822,974,50,0
1999-01-05T08:00:00+00:00,1999-01-05,13:30:00,915523200,1.1814,1.1826,1.1792,1.1793,1415,50,0
1999-01-05T12:00:00+00:00,1999-01-05,17:30:00,915537600,1.179,1.1799,1.1752,1.176,1571,50,0
1999-01-05T16:00:00+00:00,1999-01-05,21:30:00,915552000,1.1759,1.1785,1.175,1.1775,818,50,0
1999-01-05T20:00:00+00:00,1999-01-06,01:30:00,915566400,1.1776,1.1779,1.1742,1.1752,326,50,0
1999-01-06T00:00:00+00:00,1999-01-06,05:30:00,915580800,1.1754,1.1755,1.1718,1.1745,257,50,0
1999-01-06T04:00:00+00:00,1999-01-06,09:30:00,915595200,1.1743000000000001,1.1773,1.1733,1.1752,865,50,0
1999-01-06T08:00:00+00:00,1999-01-06,13:30:00,915609600,1.1753,1.177,1.174,1.1747,1438,50,0
1999-01-06T12:00:00+00:00,1999-01-06,17:30:00,915624000,1.1743000000000001,1.1759,1.1633,1.1636,1598,50,0
1999-01-06T16:00:00+00:00,1999-01-06,21:30:00,915638400,1.1635,1.1643,1.1553,1.1627,853,50,0
1999-01-06T20:00:00+00:00,1999-01-07,01:30:00,915652800,1.1626,1.1636,1.1614,1.162,358,50,0
1999-01-07T00:00:00+00:00,1999-01-07,05:30:00,915667200,1.1617,1.1648,1.1612,1.1641,264,50,0
