time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
2021-03-11T20:00:00+00:00,2021-03-12,01:30:00,1615492800,0.72273,0.72318,0.72136,0.72243,797,80,0
2021-03-12T00:00:00+00:00,2021-03-12,05:30:00,1615507200,0.72253,0.72326,0.72106,0.72144,3174,80,0
2021-03-12T04:00:00+00:00,2021-03-12,09:30:00,1615521600,0.72147,0.72202,0.7183,0.71907,3944,80,0
2021-03-12T08:00:00+00:00,2021-03-12,13:30:00,1615536000,0.71903,0.71957,0.71609,0.71618,6124,80,0
2021-03-12T12:00:00+00:00,2021-03-12,17:30:00,1615550400,0.7162,0.71835,0.71508,0.7172,8063,80,0
2021-03-12T16:00:00+00:00,2021-03-12,21:30:00,1615564800,0.71721,0.71906,0.71674,0.71744,4218,80,0
2021-03-12T20:00:00+00:00,2021-03-13,01:30:00,1615579200,0.71741,0.71798,0.71707,0.71763,895,80,0
2021-03-14T20:00:00+00:00,2021-03-15,01:30:00,1615752000,0.71748,0.71884,0.717,0.71866,1611,80,0
2021-03-15T00:00:00+00:00,2021-03-15,05:30:00,1615766400,0.71868,0.72164,0.71868,0.71995,3559,80,0
2021-03-15T04:00:00+00:00,2021-03-15,09:30:00,1615780800,0.71998,0.72015,0.71817,0.71885,3262,80,0
2021-03-15T08:00:00+00:00,2021-03-15,13:30:00,1615795200,0.71888,0.72112,0.71823,0.71844,4544,80,0
2021-03-15T12:00:00+00:00,2021-03-15,17:30:00,1615809600,0.71841,0.71951,0.71679,0.71807,6540,80,0
2021-03-15T16:00:00+00:00,2021-03-15,21:30:00,1615824000,0.71804,0.72024,0.71794,0.71995,2590,80,0
2021-03-15T20:00:00+00:00,2021-03-16,01:30:00,1615838400,0.71999,0.72052,0.7193,0.72017,1480,80,0
2021-03-16T00:00:00+00:00,2021-03-16,05:30:00,1615852800,0.72018,0.72055,0.71945,0.71969,2501,80,0
2021-03-16T04:00:00+00:00,2021-03-16,09:30:00,1615867200,0.71966,0.72034,0.71776,0.71817,2848,80,0
2021-03-16T08:00:00+00:00,2021-03-16,13:30:00,1615881600,0.71821,0.71952,0.71677,0.71924,4026,80,0
2021-03-16T12:00:00+00:00,2021-03-16,17:30:00,1615896000,0.71921,0.72047,0.71798,0.71902,5983,80,0
2021-03-16T16:00:00+00:00,2021-03-16,21:30:00,1615910400,0.71899,0.72008,0.71863,0.71924,3868,80,0
2021-03-16T20:00:00+00:00,2021-03-17,01:30:00,1615924800,0.71925,0.71948,0.7181,0.71929,1349,80,0
2021-03-17T00:00:00+00:00,2021-03-17,05:30:00,1615939200,0.71926,0.71929,0.71767,0.71849,2165,80,0
2021-03-17T04:00:00+00:00,2021-03-17,09:30:00,1615953600,0.71845,0.71874,0.71736,0.71802,2031,80,0
2021-03-17T08:00:00+00:00,2021-03-17,13:30:00,1615968000,0.71803,0.71877,0.71659,0.71659,3119,80,0
2021-03-17T12:00:00+00:00,2021-03-17,17:30:00,1615982400,0.7166,0.71787,0.71556,0.71606,5374,80,0
2021-03-17T16:00:00+00:00,2021-03-17,21:30:00,1615996800,0.71604,0.72643,0.71536,0.72383,9453,80,0
2021-03-17T20:00:00+00:00,2021-03-18,01:30:00,1616011200,0.72386,0.72528,0.72275,0.72522,2523,80,0
2021-03-18T00:00:00+00:00,2021-03-18,05:30:00,1616025600,0.72519,0.726,0.72399,0.72416,4471,80,0
2021-03-18T04:00:00+00:00,2021-03-18,09:30:00,1616040000,0.72413,0.72695,0.72214,0.72303,4344,80,0
2021-03-18T08:00:00+00:00,2021-03-18,13:30:00,1616054400,0.72304,0.7245,0.72168,0.72246,6481,80,0
2021-03-18T12:00:00+00:00,2021-03-18,17:30:00,1616068800,0.72243,0.72289,0.71734,0.71926,8832,80,0
