time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
2021-03-11T20:00:00+00:00,2021-03-12,01:30:00,1615492800,1.25322,1.25356,1.25257,1.25356,562,50,0
2021-03-12T00:00:00+00:00,2021-03-12,05:30:00,1615507200,1.25365,1.25506,1.25243,1.2545600000000001,2549,50,0
2021-03-12T04:00:00+00:00,2021-03-12,09:30:00,1615521600,1.25455,1.25689,1.2539500000000001,1.25595,3135,50,0
2021-03-12T08:00:00+00:00,2021-03-12,13:30:00,1615536000,1.25598,1.25733,1.25403,1.25616,6014,50,0
2021-03-12T12:00:00+00:00,2021-03-12,17:30:00,1615550400,1.25613,1.25613,1.24938,1.24962,8794,50,0
2021-03-12T16:00:00+00:00,2021-03-12,21:30:00,1615564800,1.24965,1.25038,1.24622,1.24675,5010,50,0
2021-03-12T20:00:00+00:00,2021-03-13,01:30:00,1615579200,1.24677,1.24859,1.24651,1.24762,1468,50,0
2021-03-14T20:00:00+00:00,2021-03-15,01:30:00,1615752000,1.24758,1.24823,1.24691,1.24696,1372,50,0
2021-03-15T00:00:00+00:00,2021-03-15,05:30:00,1615766400,1.24695,1.2481200000000001,1.2454399999999999,1.24741,3374,50,0
2021-03-15T04:00:00+00:00,2021-03-15,09:30:00,1615780800,1.24742,1.2493400000000001,1.24729,1.24823,3162,50,0
2021-03-15T08:00:00+00:00,2021-03-15,13:30:00,1615795200,1.24819,1.24819,1.2441,1.24684,4862,50,0
2021-03-15T12:00:00+00:00,2021-03-15,17:30:00,1615809600,1.24682,1.25132,1.24651,1.24914,7373,50,0
2021-03-15T16:00:00+00:00,2021-03-15,21:30:00,1615824000,1.24918,1.24918,1.24682,1.2472,3306,50,0
2021-03-15T20:00:00+00:00,2021-03-16,01:30:00,1615838400,1.24718,1.24809,1.24688,1.2478,1904,50,0
2021-03-16T00:00:00+00:00,2021-03-16,05:30:00,1615852800,1.24779,1.24878,1.24724,1.24795,2359,50,0
2021-03-16T04:00:00+00:00,2021-03-16,09:30:00,1615867200,1.24798,1.24999,1.24754,1.24972,2690,50,0
2021-03-16T08:00:00+00:00,2021-03-16,13:30:00,1615881600,1.2497099999999999,1.25006,1.24632,1.24638,4004,50,0
2021-03-16T12:00:00+00:00,2021-03-16,17:30:00,1615896000,1.24641,1.24754,1.24489,1.24504,6354,50,0
2021-03-16T16:00:00+00:00,2021-03-16,21:30:00,1615910400,1.24508,1.24615,1.2436,1.24419,4631,50,0
2021-03-16T20:00:00+00:00,2021-03-17,01:30:00,1615924800,1.2442,1.24471,1.24373,1.24435,1717,50,0
2021-03-17T00:00:00+00:00,2021-03-17,05:30:00,1615939200,1.24434,1.2459,1.24426,1.24553,2275,50,0
2021-03-17T04:00:00+00:00,2021-03-17,09:30:00,1615953600,1.24553,1.24586,1.24475,1.24583,1926,50,0
2021-03-17T08:00:00+00:00,2021-03-17,13:30:00,1615968000,1.24582,1.24767,1.24563,1.24695,3533,50,0
2021-03-17T12:00:00+00:00,2021-03-17,17:30:00,1615982400,1.24698,1.24902,1.24626,1.2476,6059,50,0
2021-03-17T16:00:00+00:00,2021-03-17,21:30:00,1615996800,1.24763,1.24933,1.2407,1.24104,9203,50,0
2021-03-17T20:00:00+00:00,2021-03-18,01:30:00,1616011200,1.24108,1.24118,1.23877,1.2388,2133,50,0
2021-03-18T00:00:00+00:00,2021-03-18,05:30:00,1616025600,1.23876,1.24061,1.2377799999999999,1.24054,4101,50,0
2021-03-18T04:00:00+00:00,2021-03-18,09:30:00,1616040000,1.24053,1.24147,1.23654,1.2408299999999999,3976,50,0
2021-03-18T08:00:00+00:00,2021-03-18,13:30:00,1616054400,1.2408,1.24249,1.23944,1.24165,6258,50,0
2021-03-18T12:00:00+00:00,2021-03-18,17:30:00,1616068800,1.24166,1.24601,1.24125,1.24353,8857,50,0
2021-03-18T16:00:00+00:00,2021-03-18,21:30:00,1616083200,1.2435,1.25268,1.24221,1.2518500000000001,6966,50,0
2021-03-18T20:00:00+00:00,2021-03-19,01:30:00,1616097600,1.25184,1.2518500000000001,1.24799,1.24941,2701,50,0
2021-03-19T00:00:00+00:00,2021-03-19,05:30:00,1616112000,1.24937,1.25118,1.24889,1.25012,3430,50,0
2021-03-19T04:00:00+00:00,2021-03-19,09:30:00,1616126400,1.25013,1.25051,1.24621,1.24711,4168,50,0
2021-03-19T08:00:00+00:00,2021-03-19,13:30:00,1616140800,1.24714,1.24949,1.24645,1.24926,5006,50,0
2021-03-19T12:00:00+00:00,2021-03-19,17:30:00,1616155200,1.24927,1.25477,1.24891,1.25113,10349,50,0
2021-03-19T16:00:00+00:00,2021-03-19,21:30:00,1616169600,1.25116,1.25133,1.24843,1.2507,4112,50,0
2021-03-19T20:00:00+00:00,2021-03-20,01:30:00,1616184000,1.25073,1.25084,1.25001,1.25023,558,50,0
2021-03-21T20:00:00+00:00,2021-03-22,01:30:00,1616356800,1.25198,1.2530000000000001,1.25174,1.2524,1119,50,0
2021-03-22T00:00:00+00:00,2021-03-22,05:30:00,1616371200,1.25241,1.25339,1.25026,1.25058,2470,50,0
2021-03-22T04:00:00+00:00,2021-03-22,09:30:00,1616385600,1.2505600000000001,1.25208,1.2493,1.25119,2757,50,0
2021-03-22T08:00:00+00:00,2021-03-22,13:30:00,1616400000,1.25115,1.2514,1.24735,1.24766,4173,50,0
2021-03-22T12:00:00+00:00,2021-03-22,17:30:00,1616414400,1.24769,1.2541,1.24745,1.25281,5707,50,0
2021-03-22T16:00:00+00:00,2021-03-22,21:30:00,1616428800,1.25277,1.25284,1.25069,1.25253,2662,50,0
2021-03-22T20:00:00+00:00,2021-03-23,01:30:00,1616443200,1.25254,1.25279,1.2515399999999999,1.25213,1390,50,0
2021-03-23T00:00:00+00:00,2021-03-23,05:30:00,1616457600,1.25211,1.2544,1.25189,1.25353,2575,50,0
2021-03-23T04:00:00+00:00,2021-03-23,09:30:00,1616472000,1.25357,1.2557,1.25351,1.25469,2782,50,0
2021-03-23T08:00:00+00:00,2021-03-23,13:30:00,1616486400,1.25465,1.2594699999999999,1.25464,1.25794,5657,50,0
2021-03-23T12:00:00+00:00,2021-03-23,17:30:00,1616500800,1.25797,1.25827,1.25457,1.2549000000000001,6572,50,0
2021-03-23T16:00:00+00:00,2021-03-23,21:30:00,1616515200,1.25492,1.2588,1.2521200000000001,1.25838,6587,50,0
2021-03-23T20:00:00+00:00,2021-03-24,01:30:00,1616529600,1.25837,1.2598099999999999,1.25705,1.25891,1952,50,0
2021-03-24T00:00:00+00:00,2021-03-24,05:30:00,1616544000,1.25889,1.26027,1.25772,1.2593,3147,50,0
2021-03-24T04:00:00+00:00,2021-03-24,09:30:00,1616558400,1.25933,1.26025,1.25814,1.2601499999999999,3329,50,0
2021-03-24T08:00:00+00:00,2021-03-24,13:30:00,1616572800,1.26011,1.26088,1.25651,1.25735,5063,50,0
2021-03-24T12:00:00+00:00,2021-03-24,17:30:00,1616587200,1.25736,1.25959,1.25462,1.25526,6746,50,0
2021-03-24T16:00:00+00:00,2021-03-24,21:30:00,1616601600,1.25523,1.25803,1.2542900000000001,1.25777,4999,50,0
2021-03-24T20:00:00+00:00,2021-03-25,01:30:00,1616616000,1.25774,1.25846,1.25731,1.2579099999999999,1478,50,0
2021-03-25T00:00:00+00:00,2021-03-25,05:30:00,1616630400,1.25789,1.25896,1.25641,1.25705,3202,50,0
2021-03-25T04:00:00+00:00,2021-03-25,09:30:00,1616644800,1.25704,1.25782,1.25632,1.25726,2683,50,0
2021-03-25T08:00:00+00:00,2021-03-25,13:30:00,1616659200,1.25729,1.25824,1.25467,1.25812,5006,50,0
2021-03-25T12:00:00+00:00,2021-03-25,17:30:00,1616673600,1.25808,1.2629000000000001,1.25796,1.26135,9628,50,0
2021-03-25T16:00:00+00:00,2021-03-25,21:30:00,1616688000,1.26139,1.26241,1.26024,1.26197,7004,50,0
2021-03-25T20:00:00+00:00,2021-03-26,01:30:00,1616702400,1.26196,1.2621,1.2598500000000001,1.2605,1405,50,0
2021-03-26T00:00:00+00:00,2021-03-26,05:30:00,1616716800,1.2604899999999999,1.26055,1.25853,1.2586300000000001,2763,50,0
2021-03-26T04:00:00+00:00,2021-03-26,09:30:00,1616731200,1.25865,1.25874,1.2570999999999999,1.25782,2482,50,0
2021-03-26T08:00:00+00:00,2021-03-26,13:30:00,1616745600,1.25784,1.25896,1.25694,1.25852,4218,50,0
