time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-17T00:00:00+00:00,2026-08-17,05:30:00,1786924800,0.70845,0.70893,0.70845,0.70886,168,9,0
2026-08-17T00:05:00+00:00,2026-08-17,05:35:00,1786925100,0.70886,0.70906,0.70886,0.709,83,9,0
2026-08-17T00:10:00+00:00,2026-08-17,05:40:00,1786925400,0.709,0.70915,0.70895,0.70915,70,9,0
2026-08-17T00:15:00+00:00,2026-08-17,05:45:00,1786925700,0.70915,0.70931,0.70905,0.70914,96,9,0
2026-08-17T00:20:00+00:00,2026-08-17,05:50:00,1786926000,0.70914,0.70933,0.70906,0.70932,86,9,0
2026-08-17T00:25:00+00:00,2026-08-17,05:55:00,1786926300,0.70932,0.70937,0.70925,0.70932,85,9,0
2026-08-17T00:30:00+00:00,2026-08-17,06:00:00,1786926600,0.70932,0.7095,0.70932,0.70945,88,9,0
2026-08-17T00:35:00+00:00,2026-08-17,06:05:00,1786926900,0.70945,0.70949,0.7093,0.70937,68,9,0
2026-08-17T00:40:00+00:00,2026-08-17,06:10:00,1786927200,0.70937,0.70942,0.70922,0.70926,79,9,0
2026-08-17T00:45:00+00:00,2026-08-17,06:15:00,1786927500,0.70927,0.70927,0.70911,0.70911,58,9,0
2026-08-17T00:50:00+00:00,2026-08-17,06:20:00,1786927800,0.70911,0.70921,0.70901,0.70903,98,9,0
2026-08-17T00:55:00+00:00,2026-08-17,06:25:00,1786928100,0.70905,0.70922,0.70901,0.70919,130,9,0
2026-08-17T01:00:00+00:00,2026-08-17,06:30:00,1786928400,0.70918,0.70926,0.70895,0.70905,128,9,0
2026-08-17T01:05:00+00:00,2026-08-17,06:35:00,1786928700,0.70905,0.70916,0.70895,0.70895,88,9,0
2026-08-17T01:10:00+00:00,2026-08-17,06:40:00,1786929000,0.70894,0.70898,0.70884,0.70893,88,9,0
2026-08-17T01:15:00+00:00,2026-08-17,06:45:00,1786929300,0.70894,0.7091,0.70892,0.70903,93,9,0
2026-08-17T01:20:00+00:00,2026-08-17,06:50:00,1786929600,0.70903,0.70944,0.70902,0.70925,106,9,0
2026-08-17T01:25:00+00:00,2026-08-17,06:55:00,1786929900,0.70925,0.70941,0.70922,0.70931,115,9,0
2026-08-17T01:30:00+00:00,2026-08-17,07:00:00,1786930200,0.70932,0.70936,0.70906,0.70909,93,9,0
2026-08-17T01:35:00+00:00,2026-08-17,07:05:00,1786930500,0.70909,0.70919,0.70905,0.70918,83,9,0
2026-08-17T01:40:00+00:00,2026-08-17,07:10:00,1786930800,0.70918,0.70953,0.70916,0.70952,88,9,0
2026-08-17T01:45:00+00:00,2026-08-17,07:15:00,1786931100,0.70952,0.70969,0.70951,0.70962,97,9,0
2026-08-17T01:50:00+00:00,2026-08-17,07:20:00,1786931400,0.70962,0.70974,0.70954,0.70972,102,9,0
2026-08-17T01:55:00+00:00,2026-08-17,07:25:00,1786931700,0.70972,0.70972,0.70954,0.70961,64,9,0
2026-08-17T02:00:00+00:00,2026-08-17,07:30:00,1786932000,0.70961,0.70967,0.70951,0.7096,75,9,0
2026-08-17T02:05:00+00:00,2026-08-17,07:35:00,1786932300,0.7096,0.70963,0.70943,0.70944,79,9,0
2026-08-17T02:10:00+00:00,2026-08-17,07:40:00,1786932600,0.70944,0.70947,0.70933,0.70945,94,9,0
2026-08-17T02:15:00+00:00,2026-08-17,07:45:00,1786932900,0.70945,0.70946,0.70934,0.70941,57,9,0
2026-08-17T02:20:00+00:00,2026-08-17,07:50:00,1786933200,0.7094,0.70941,0.70933,0.70938,32,9,0
2026-08-17T02:25:00+00:00,2026-08-17,07:55:00,1786933500,0.70938,0.70954,0.70935,0.70951,55,9,0
2026-08-17T02:30:00+00:00,2026-08-17,08:00:00,1786933800,0.70951,0.70955,0.7093,0.70936,86,9,0
2026-08-17T02:35:00+00:00,2026-08-17,08:05:00,1786934100,0.70936,0.70947,0.70932,0.70943,68,9,0
2026-08-17T02:40:00+00:00,2026-08-17,08:10:00,1786934400,0.70943,0.70952,0.70924,0.70924,76,9,0
2026-08-17T02:45:00+00:00,2026-08-17,08:15:00,1786934700,0.70924,0.7093,0.70922,0.70926,43,9,0
2026-08-17T02:50:00+00:00,2026-08-17,08:20:00,1786935000,0.70926,0.70929,0.70914,0.70922,62,9,0
2026-08-17T02:55:00+00:00,2026-08-17,08:25:00,1786935300,0.70921,0.70922,0.7091,0.70916,60,9,0
2026-08-17T03:00:00+00:00,2026-08-17,08:30:00,1786935600,0.70916,0.70928,0.70912,0.70923,97,9,0
2026-08-17T03:05:00+00:00,2026-08-17,08:35:00,1786935900,0.70924,0.7093,0.70915,0.70922,79,9,0
2026-08-17T03:10:00+00:00,2026-08-17,08:40:00,1786936200,0.70922,0.70925,0.70919,0.70922,42,9,0
2026-08-17T03:15:00+00:00,2026-08-17,08:45:00,1786936500,0.70922,0.70938,0.7092,0.70932,59,9,0
2026-08-17T03:20:00+00:00,2026-08-17,08:50:00,1786936800,0.70932,0.70942,0.70925,0.70941,52,9,0
2026-08-17T03:25:00+00:00,2026-08-17,08:55:00,1786937100,0.70941,0.7095,0.70936,0.70948,53,9,0
2026-08-17T03:30:00+00:00,2026-08-17,09:00:00,1786937400,0.70948,0.7096,0.70948,0.70953,60,9,0
2026-08-17T03:35:00+00:00,2026-08-17,09:05:00,1786937700,0.70953,0.70953,0.7093,0.70943,74,9,0
2026-08-17T03:40:00+00:00,2026-08-17,09:10:00,1786938000,0.70943,0.7096,0.70943,0.70956,60,9,0
2026-08-17T03:45:00+00:00,2026-08-17,09:15:00,1786938300,0.70956,0.70965,0.70954,0.70963,40,9,0
2026-08-17T03:50:00+00:00,2026-08-17,09:20:00,1786938600,0.70963,0.70972,0.70957,0.7097,64,9,0
2026-08-17T03:55:00+00:00,2026-08-17,09:25:00,1786938900,0.7097,0.71001,0.70967,0.70998,112,9,0
2026-08-17T04:00:00+00:00,2026-08-17,09:30:00,1786939200,0.70999,0.71001,0.70992,0.71001,61,9,0
2026-08-17T04:05:00+00:00,2026-08-17,09:35:00,1786939500,0.71,0.7103,0.71,0.71022,96,9,0
2026-08-17T04:10:00+00:00,2026-08-17,09:40:00,1786939800,0.71022,0.71041,0.71019,0.71029,80,9,0
2026-08-17T04:15:00+00:00,2026-08-17,09:45:00,1786940100,0.71029,0.71036,0.71028,0.7103,49,9,0
2026-08-17T04:20:00+00:00,2026-08-17,09:50:00,1786940400,0.7103,0.71053,0.71025,0.71048,56,9,0
2026-08-17T04:25:00+00:00,2026-08-17,09:55:00,1786940700,0.71048,0.7105,0.71031,0.71031,84,9,0
2026-08-17T04:30:00+00:00,2026-08-17,10:00:00,1786941000,0.71031,0.71033,0.71016,0.71019,63,9,0
2026-08-17T04:35:00+00:00,2026-08-17,10:05:00,1786941300,0.71019,0.71022,0.71016,0.71019,46,9,0
2026-08-17T04:40:00+00:00,2026-08-17,10:10:00,1786941600,0.71019,0.71035,0.71019,0.71034,51,9,0
2026-08-17T04:45:00+00:00,2026-08-17,10:15:00,1786941900,0.71035,0.71037,0.7102,0.7102,46,9,0
2026-08-17T04:50:00+00:00,2026-08-17,10:20:00,1786942200,0.7102,0.71024,0.71018,0.71019,50,9,0
2026-08-17T04:55:00+00:00,2026-08-17,10:25:00,1786942500,0.71019,0.7102,0.71011,0.71011,41,9,0
2026-08-17T05:00:00+00:00,2026-08-17,10:30:00,1786942800,0.7101,0.7102,0.71009,0.71015,56,9,0
2026-08-17T05:05:00+00:00,2026-08-17,10:35:00,1786943100,0.71015,0.71026,0.71014,0.71025,46,9,0
2026-08-17T05:10:00+00:00,2026-08-17,10:40:00,1786943400,0.71025,0.71025,0.71004,0.7101,70,9,0
