time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-17T00:00:00+00:00,2026-08-17,05:30:00,1786924800,114.779,114.801,114.753,114.773,482,11,0
2026-08-17T00:15:00+00:00,2026-08-17,05:45:00,1786925700,114.773,114.773,114.705,114.744,352,11,0
2026-08-17T00:30:00+00:00,2026-08-17,06:00:00,1786926600,114.744,114.746,114.703,114.718,309,11,0
2026-08-17T00:45:00+00:00,2026-08-17,06:15:00,1786927500,114.718,114.728,114.664,114.674,563,11,0
2026-08-17T01:00:00+00:00,2026-08-17,06:30:00,1786928400,114.675,114.698,114.656,114.669,455,11,0
2026-08-17T01:15:00+00:00,2026-08-17,06:45:00,1786929300,114.669,114.679,114.656,114.67,310,11,0
2026-08-17T01:30:00+00:00,2026-08-17,07:00:00,1786930200,114.669,114.724,114.664,114.719,263,11,0
2026-08-17T01:45:00+00:00,2026-08-17,07:15:00,1786931100,114.719,114.726,114.7,114.706,224,11,0
2026-08-17T02:00:00+00:00,2026-08-17,07:30:00,1786932000,114.705,114.718,114.688,114.691,193,11,0
2026-08-17T02:15:00+00:00,2026-08-17,07:45:00,1786932900,114.691,114.694,114.634,114.675,378,11,0
2026-08-17T02:30:00+00:00,2026-08-17,08:00:00,1786933800,114.676,114.693,114.675,114.687,217,11,0
2026-08-17T02:45:00+00:00,2026-08-17,08:15:00,1786934700,114.685,114.687,114.669,114.679,187,11,0
2026-08-17T03:00:00+00:00,2026-08-17,08:30:00,1786935600,114.678,114.711,114.678,114.704,226,11,0
2026-08-17T03:15:00+00:00,2026-08-17,08:45:00,1786936500,114.704,114.722,114.694,114.72,152,11,0
2026-08-17T03:30:00+00:00,2026-08-17,09:00:00,1786937400,114.72,114.752,114.719,114.75,167,11,0
2026-08-17T03:45:00+00:00,2026-08-17,09:15:00,1786938300,114.751,114.763,114.733,114.742,147,11,0
2026-08-17T04:00:00+00:00,2026-08-17,09:30:00,1786939200,114.742,114.752,114.731,114.744,203,11,0
2026-08-17T04:15:00+00:00,2026-08-17,09:45:00,1786940100,114.744,114.764,114.738,114.761,172,11,0
2026-08-17T04:30:00+00:00,2026-08-17,10:00:00,1786941000,114.763,114.77,114.728,114.739,165,11,0
2026-08-17T04:45:00+00:00,2026-08-17,10:15:00,1786941900,114.738,114.775,114.732,114.772,160,11,0
2026-08-17T05:00:00+00:00,2026-08-17,10:30:00,1786942800,114.77,114.773,114.757,114.767,185,11,0
2026-08-17T05:15:00+00:00,2026-08-17,10:45:00,1786943700,114.767,114.77,114.729,114.745,245,11,0
2026-08-17T05:30:00+00:00,2026-08-17,11:00:00,1786944600,114.745,114.762,114.685,114.723,356,11,0
2026-08-17T05:45:00+00:00,2026-08-17,11:15:00,1786945500,114.723,114.761,114.723,114.757,326,11,0
2026-08-17T06:00:00+00:00,2026-08-17,11:30:00,1786946400,114.758,114.759,114.714,114.744,362,11,0
2026-08-17T06:15:00+00:00,2026-08-17,11:45:00,1786947300,114.744,114.756,114.725,114.731,367,11,0
