time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-17T00:00:00+00:00,2026-08-17,05:30:00,1786924800,195.913,196.015,195.891,195.99,526,21,0
2026-08-17T00:15:00+00:00,2026-08-17,05:45:00,1786925700,195.99,195.991,195.914,195.945,424,21,0
2026-08-17T00:30:00+00:00,2026-08-17,06:00:00,1786926600,195.948,195.959,195.865,195.892,401,21,0
2026-08-17T00:45:00+00:00,2026-08-17,06:15:00,1786927500,195.892,195.906,195.831,195.87,533,21,0
2026-08-17T01:00:00+00:00,2026-08-17,06:30:00,1786928400,195.869,195.932,195.856,195.902,517,21,0
2026-08-17T01:15:00+00:00,2026-08-17,06:45:00,1786929300,195.901,195.931,195.882,195.898,387,21,0
2026-08-17T01:30:00+00:00,2026-08-17,07:00:00,1786930200,195.898,195.927,195.84,195.92,394,21,0
2026-08-17T01:45:00+00:00,2026-08-17,07:15:00,1786931100,195.92,195.938,195.896,195.923,353,21,0
2026-08-17T02:00:00+00:00,2026-08-17,07:30:00,1786932000,195.923,195.949,195.884,195.923,310,21,0
2026-08-17T02:15:00+00:00,2026-08-17,07:45:00,1786932900,195.922,195.922,195.835,195.909,400,21,0
2026-08-17T02:30:00+00:00,2026-08-17,08:00:00,1786933800,195.91,195.932,195.882,195.906,306,21,0
2026-08-17T02:45:00+00:00,2026-08-17,08:15:00,1786934700,195.903,195.903,195.862,195.888,251,21,0
2026-08-17T03:00:00+00:00,2026-08-17,08:30:00,1786935600,195.888,195.944,195.888,195.943,269,21,0
2026-08-17T03:15:00+00:00,2026-08-17,08:45:00,1786936500,195.943,195.957,195.928,195.951,183,21,0
2026-08-17T03:30:00+00:00,2026-08-17,09:00:00,1786937400,195.951,195.992,195.946,195.987,239,21,0
2026-08-17T03:45:00+00:00,2026-08-17,09:15:00,1786938300,195.986,196.025,195.986,196.023,243,21,0
2026-08-17T04:00:00+00:00,2026-08-17,09:30:00,1786939200,196.023,196.037,196.008,196.022,284,21,0
2026-08-17T04:15:00+00:00,2026-08-17,09:45:00,1786940100,196.022,196.072,196.015,196.069,252,21,0
2026-08-17T04:30:00+00:00,2026-08-17,10:00:00,1786941000,196.072,196.077,196.023,196.037,247,21,0
2026-08-17T04:45:00+00:00,2026-08-17,10:15:00,1786941900,196.037,196.057,196.028,196.051,234,21,0
2026-08-17T05:00:00+00:00,2026-08-17,10:30:00,1786942800,196.051,196.075,196.04,196.043,228,21,0
2026-08-17T05:15:00+00:00,2026-08-17,10:45:00,1786943700,196.043,196.06,196.019,196.04,294,21,0
2026-08-17T05:30:00+00:00,2026-08-17,11:00:00,1786944600,196.04,196.062,195.951,195.977,412,21,0
2026-08-17T05:45:00+00:00,2026-08-17,11:15:00,1786945500,195.98,196.081,195.98,196.072,457,21,0
2026-08-17T06:00:00+00:00,2026-08-17,11:30:00,1786946400,196.075,196.097,196.003,196.036,526,21,0
2026-08-17T06:15:00+00:00,2026-08-17,11:45:00,1786947300,196.036,196.112,196.031,196.107,543,21,0
2026-08-17T06:30:00+00:00,2026-08-17,12:00:00,1786948200,196.104,196.126,196.071,196.099,508,21,0
2026-08-17T06:45:00+00:00,2026-08-17,12:15:00,1786949100,196.099,196.128,196.015,196.059,598,21,0
2026-08-17T07:00:00+00:00,2026-08-17,12:30:00,1786950000,196.056,196.164,196.015,196.141,689,21,0
2026-08-17T07:15:00+00:00,2026-08-17,12:45:00,1786950900,196.141,196.538,196.115,196.478,771,21,0
2026-08-17T07:30:00+00:00,2026-08-17,13:00:00,1786951800,196.479,196.659,196.479,196.621,957,21,0
2026-08-17T07:45:00+00:00,2026-08-17,13:15:00,1786952700,196.62,196.681,196.589,196.634,762,21,0
2026-08-17T08:00:00+00:00,2026-08-17,13:30:00,1786953600,196.637,196.739,196.594,196.705,759,21,0
2026-08-17T08:15:00+00:00,2026-08-17,13:45:00,1786954500,196.705,196.895,196.689,196.873,670,21,0
2026-08-17T08:30:00+00:00,2026-08-17,14:00:00,1786955400,196.872,196.89,196.773,196.851,760,21,0
2026-08-17T08:45:00+00:00,2026-08-17,14:15:00,1786956300,196.85,196.864,196.612,196.679,866,21,0
2026-08-17T09:00:00+00:00,2026-08-17,14:30:00,1786957200,196.679,196.767,196.61,196.61,711,21,0
2026-08-17T09:15:00+00:00,2026-08-17,14:45:00,1786958100,196.61,196.705,196.574,196.685,552,21,0
2026-08-17T09:30:00+00:00,2026-08-17,15:00:00,1786959000,196.686,196.716,196.587,196.612,517,21,0
2026-08-17T09:45:00+00:00,2026-08-17,15:15:00,1786959900,196.609,196.625,196.561,196.58,553,21,0
2026-08-17T10:00:00+00:00,2026-08-17,15:30:00,1786960800,196.58,196.592,196.527,196.566,535,21,0
2026-08-17T10:15:00+00:00,2026-08-17,15:45:00,1786961700,196.562,196.565,196.461,196.477,535,21,0
2026-08-17T10:30:00+00:00,2026-08-17,16:00:00,1786962600,196.474,196.496,196.389,196.409,672,21,0
2026-08-17T10:45:00+00:00,2026-08-17,16:15:00,1786963500,196.407,196.51,196.39,196.414,484,21,0
2026-08-17T11:00:00+00:00,2026-08-17,16:30:00,1786964400,196.413,196.523,196.376,196.427,511,21,0
2026-08-17T11:15:00+00:00,2026-08-17,16:45:00,1786965300,196.427,196.548,196.426,196.543,496,21,0
2026-08-17T11:30:00+00:00,2026-08-17,17:00:00,1786966200,196.546,196.559,196.49,196.507,452,21,0
2026-08-17T11:45:00+00:00,2026-08-17,17:15:00,1786967100,196.504,196.634,196.503,196.612,508,21,0
2026-08-17T12:00:00+00:00,2026-08-17,17:30:00,1786968000,196.609,196.653,196.581,196.588,559,21,0
2026-08-17T12:15:00+00:00,2026-08-17,17:45:00,1786968900,196.589,196.618,196.48,196.578,765,21,0
2026-08-17T12:30:00+00:00,2026-08-17,18:00:00,1786969800,196.583,196.648,196.511,196.645,550,21,0
2026-08-17T12:45:00+00:00,2026-08-17,18:15:00,1786970700,196.644,196.737,196.6,196.734,565,21,0
2026-08-17T13:00:00+00:00,2026-08-17,18:30:00,1786971600,196.737,196.801,196.68,196.757,723,21,0
2026-08-17T13:15:00+00:00,2026-08-17,18:45:00,1786972500,196.757,196.869,196.754,196.858,522,21,0
2026-08-17T13:30:00+00:00,2026-08-17,19:00:00,1786973400,196.858,197.013,196.833,196.854,719,21,0
2026-08-17T13:45:00+00:00,2026-08-17,19:15:00,1786974300,196.857,196.993,196.83,196.882,712,21,0
2026-08-17T14:00:00+00:00,2026-08-17,19:30:00,1786975200,196.881,196.916,196.777,196.812,648,21,0
2026-08-17T14:15:00+00:00,2026-08-17,19:45:00,1786976100,196.815,196.901,196.802,196.826,770,21,0
2026-08-17T14:30:00+00:00,2026-08-17,20:00:00,1786977000,196.823,196.871,196.777,196.853,651,21,0
2026-08-17T14:45:00+00:00,2026-08-17,20:15:00,1786977900,196.853,196.854,196.728,196.76,688,21,0
2026-08-17T15:00:00+00:00,2026-08-17,20:30:00,1786978800,196.758,196.821,196.733,196.811,659,21,0
2026-08-17T15:15:00+00:00,2026-08-17,20:45:00,1786979700,196.811,196.819,196.7,196.732,515,21,0
2026-08-17T15:30:00+00:00,2026-08-17,21:00:00,1786980600,196.735,196.776,196.701,196.71,548,21,0
2026-08-17T15:45:00+00:00,2026-08-17,21:15:00,1786981500,196.711,196.819,196.698,196.809,483,21,0
2026-08-17T16:00:00+00:00,2026-08-17,21:30:00,1786982400,196.809,196.819,196.755,196.767,443,21,0
2026-08-17T16:15:00+00:00,2026-08-17,21:45:00,1786983300,196.767,196.808,196.758,196.772,359,21,0
2026-08-17T16:30:00+00:00,2026-08-17,22:00:00,1786984200,196.775,196.814,196.763,196.782,278,21,0
2026-08-17T16:45:00+00:00,2026-08-17,22:15:00,1786985100,196.779,196.779,196.712,196.715,330,21,0
2026-08-17T17:00:00+00:00,2026-08-17,22:30:00,1786986000,196.714,196.727,196.666,196.675,351,21,0
