time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-17T00:00:00+00:00,2026-08-17,05:30:00,1786924800,1.15732,1.1578,1.15732,1.1578,177,8,0
2026-08-17T00:05:00+00:00,2026-08-17,05:35:00,1786925100,1.15778,1.15795,1.15772,1.15782,109,8,0
2026-08-17T00:10:00+00:00,2026-08-17,05:40:00,1786925400,1.15782,1.15794,1.15781,1.15792,66,8,0
2026-08-17T00:15:00+00:00,2026-08-17,05:45:00,1786925700,1.15791,1.15797,1.15781,1.15786,101,8,0
2026-08-17T00:20:00+00:00,2026-08-17,05:50:00,1786926000,1.15785,1.15793,1.1577600000000001,1.15789,88,8,0
2026-08-17T00:25:00+00:00,2026-08-17,05:55:00,1786926300,1.15789,1.158,1.15787,1.1579,81,8,0
2026-08-17T00:30:00+00:00,2026-08-17,06:00:00,1786926600,1.1579,1.15805,1.1579,1.15802,93,8,0
2026-08-17T00:35:00+00:00,2026-08-17,06:05:00,1786926900,1.15802,1.1580300000000001,1.15779,1.15788,58,8,0
2026-08-17T00:40:00+00:00,2026-08-17,06:10:00,1786927200,1.15787,1.15794,1.15783,1.15789,68,8,0
2026-08-17T00:45:00+00:00,2026-08-17,06:15:00,1786927500,1.15789,1.15796,1.15784,1.15786,71,8,0
2026-08-17T00:50:00+00:00,2026-08-17,06:20:00,1786927800,1.15786,1.1580300000000001,1.15778,1.15784,111,8,0
2026-08-17T00:55:00+00:00,2026-08-17,06:25:00,1786928100,1.15783,1.15802,1.15783,1.15798,111,8,0
2026-08-17T01:00:00+00:00,2026-08-17,06:30:00,1786928400,1.15798,1.15807,1.15778,1.15797,161,8,0
2026-08-17T01:05:00+00:00,2026-08-17,06:35:00,1786928700,1.15797,1.15802,1.15783,1.15784,104,8,0
2026-08-17T01:10:00+00:00,2026-08-17,06:40:00,1786929000,1.15783,1.15794,1.15779,1.1579,89,8,0
2026-08-17T01:15:00+00:00,2026-08-17,06:45:00,1786929300,1.1579,1.15795,1.15781,1.15785,106,8,0
2026-08-17T01:20:00+00:00,2026-08-17,06:50:00,1786929600,1.15785,1.15827,1.15782,1.15811,125,8,0
2026-08-17T01:25:00+00:00,2026-08-17,06:55:00,1786929900,1.1581,1.15824,1.1581,1.15814,96,8,0
2026-08-17T01:30:00+00:00,2026-08-17,07:00:00,1786930200,1.15814,1.15817,1.1578,1.15783,111,8,0
2026-08-17T01:35:00+00:00,2026-08-17,07:05:00,1786930500,1.15783,1.15797,1.15777,1.15796,81,8,0
2026-08-17T01:40:00+00:00,2026-08-17,07:10:00,1786930800,1.15796,1.15819,1.1579,1.15818,95,8,0
2026-08-17T01:45:00+00:00,2026-08-17,07:15:00,1786931100,1.15818,1.15827,1.1581299999999999,1.15818,89,8,0
2026-08-17T01:50:00+00:00,2026-08-17,07:20:00,1786931400,1.15818,1.15832,1.15812,1.15826,87,8,0
2026-08-17T01:55:00+00:00,2026-08-17,07:25:00,1786931700,1.15826,1.15831,1.15818,1.1583,67,8,0
2026-08-17T02:00:00+00:00,2026-08-17,07:30:00,1786932000,1.1583,1.1583700000000001,1.15827,1.15834,80,8,0
2026-08-17T02:05:00+00:00,2026-08-17,07:35:00,1786932300,1.15834,1.15836,1.15822,1.15824,63,8,0
2026-08-17T02:10:00+00:00,2026-08-17,07:40:00,1786932600,1.15824,1.15831,1.1581299999999999,1.15831,88,8,0
2026-08-17T02:15:00+00:00,2026-08-17,07:45:00,1786932900,1.1583,1.1583700000000001,1.15817,1.15833,69,8,0
2026-08-17T02:20:00+00:00,2026-08-17,07:50:00,1786933200,1.15834,1.15834,1.15826,1.15826,35,8,0
2026-08-17T02:25:00+00:00,2026-08-17,07:55:00,1786933500,1.15826,1.15838,1.15826,1.15838,55,8,0
2026-08-17T02:30:00+00:00,2026-08-17,08:00:00,1786933800,1.15838,1.1584,1.15802,1.15804,94,8,0
2026-08-17T02:35:00+00:00,2026-08-17,08:05:00,1786934100,1.1580300000000001,1.15819,1.15801,1.15814,46,8,0
2026-08-17T02:40:00+00:00,2026-08-17,08:10:00,1786934400,1.15814,1.15823,1.15807,1.15807,65,8,0
2026-08-17T02:45:00+00:00,2026-08-17,08:15:00,1786934700,1.15805,1.15814,1.15802,1.15806,66,8,0
2026-08-17T02:50:00+00:00,2026-08-17,08:20:00,1786935000,1.15806,1.15807,1.15795,1.15797,67,8,0
2026-08-17T02:55:00+00:00,2026-08-17,08:25:00,1786935300,1.15797,1.15799,1.15788,1.15795,70,8,0
2026-08-17T03:00:00+00:00,2026-08-17,08:30:00,1786935600,1.15795,1.15801,1.15783,1.15783,92,8,0
2026-08-17T03:05:00+00:00,2026-08-17,08:35:00,1786935900,1.15785,1.15798,1.15781,1.15789,78,8,0
2026-08-17T03:10:00+00:00,2026-08-17,08:40:00,1786936200,1.15789,1.1579,1.15783,1.15788,53,8,0
2026-08-17T03:15:00+00:00,2026-08-17,08:45:00,1786936500,1.1579,1.1580300000000001,1.15787,1.15797,57,8,0
2026-08-17T03:20:00+00:00,2026-08-17,08:50:00,1786936800,1.15797,1.15801,1.15794,1.158,36,8,0
2026-08-17T03:25:00+00:00,2026-08-17,08:55:00,1786937100,1.158,1.15801,1.15793,1.15794,55,8,0
2026-08-17T03:30:00+00:00,2026-08-17,09:00:00,1786937400,1.15794,1.158,1.15792,1.15793,53,8,0
2026-08-17T03:35:00+00:00,2026-08-17,09:05:00,1786937700,1.15793,1.15793,1.15781,1.15788,76,8,0
2026-08-17T03:40:00+00:00,2026-08-17,09:10:00,1786938000,1.15788,1.15796,1.15788,1.15793,46,8,0
2026-08-17T03:45:00+00:00,2026-08-17,09:15:00,1786938300,1.15793,1.15801,1.15792,1.15798,40,8,0
2026-08-17T03:50:00+00:00,2026-08-17,09:20:00,1786938600,1.15798,1.15808,1.15791,1.15808,70,8,0
2026-08-17T03:55:00+00:00,2026-08-17,09:25:00,1786938900,1.15808,1.15834,1.15804,1.1583,95,8,0
2026-08-17T04:00:00+00:00,2026-08-17,09:30:00,1786939200,1.15832,1.1583700000000001,1.15821,1.15834,90,8,0
2026-08-17T04:05:00+00:00,2026-08-17,09:35:00,1786939500,1.15834,1.15866,1.15834,1.15862,114,8,0
2026-08-17T04:10:00+00:00,2026-08-17,09:40:00,1786939800,1.15862,1.15875,1.15858,1.15866,87,8,0
2026-08-17T04:15:00+00:00,2026-08-17,09:45:00,1786940100,1.15866,1.15869,1.1586,1.15862,65,8,0
2026-08-17T04:20:00+00:00,2026-08-17,09:50:00,1786940400,1.15862,1.1586400000000001,1.15849,1.15861,71,8,0
2026-08-17T04:25:00+00:00,2026-08-17,09:55:00,1786940700,1.15861,1.15869,1.15861,1.15863,60,8,0
2026-08-17T04:30:00+00:00,2026-08-17,10:00:00,1786941000,1.15862,1.15866,1.15849,1.15852,59,8,0
2026-08-17T04:35:00+00:00,2026-08-17,10:05:00,1786941300,1.15852,1.15869,1.15851,1.15859,85,8,0
2026-08-17T04:40:00+00:00,2026-08-17,10:10:00,1786941600,1.1586,1.15868,1.15858,1.15863,63,8,0
2026-08-17T04:45:00+00:00,2026-08-17,10:15:00,1786941900,1.15862,1.15867,1.15856,1.15856,55,8,0
2026-08-17T04:50:00+00:00,2026-08-17,10:20:00,1786942200,1.15856,1.15859,1.15846,1.1584699999999999,58,8,0
2026-08-17T04:55:00+00:00,2026-08-17,10:25:00,1786942500,1.1584699999999999,1.15852,1.15838,1.15843,54,8,0
2026-08-17T05:00:00+00:00,2026-08-17,10:30:00,1786942800,1.15844,1.15855,1.15843,1.1585,63,8,0
2026-08-17T05:05:00+00:00,2026-08-17,10:35:00,1786943100,1.1585,1.15851,1.15841,1.15843,70,8,0
2026-08-17T05:10:00+00:00,2026-08-17,10:40:00,1786943400,1.15843,1.15844,1.15823,1.15827,89,8,0
2026-08-17T05:15:00+00:00,2026-08-17,10:45:00,1786943700,1.15828,1.15853,1.15826,1.1585,88,8,0
2026-08-17T05:20:00+00:00,2026-08-17,10:50:00,1786944000,1.15851,1.15871,1.15848,1.15866,83,8,0
2026-08-17T05:25:00+00:00,2026-08-17,10:55:00,1786944300,1.15866,1.1587,1.1586,1.15867,88,8,0
2026-08-17T05:30:00+00:00,2026-08-17,11:00:00,1786944600,1.15867,1.15875,1.15852,1.15857,92,8,0
2026-08-17T05:35:00+00:00,2026-08-17,11:05:00,1786944900,1.15857,1.1587,1.1584699999999999,1.1587,100,8,0
2026-08-17T05:40:00+00:00,2026-08-17,11:10:00,1786945200,1.1587,1.15873,1.15858,1.15868,131,8,0
2026-08-17T05:45:00+00:00,2026-08-17,11:15:00,1786945500,1.15869,1.1588,1.15862,1.15878,107,8,0
2026-08-17T05:50:00+00:00,2026-08-17,11:20:00,1786945800,1.15878,1.15888,1.1586,1.15862,107,8,0
2026-08-17T05:55:00+00:00,2026-08-17,11:25:00,1786946100,1.1586400000000001,1.1588,1.15861,1.15869,178,8,0
2026-08-17T06:00:00+00:00,2026-08-17,11:30:00,1786946400,1.15871,1.1589,1.1587,1.15872,142,8,0
2026-08-17T06:05:00+00:00,2026-08-17,11:35:00,1786946700,1.15871,1.15889,1.15852,1.15853,136,8,0
2026-08-17T06:10:00+00:00,2026-08-17,11:40:00,1786947000,1.15854,1.15858,1.15833,1.15846,141,8,0
2026-08-17T06:15:00+00:00,2026-08-17,11:45:00,1786947300,1.15846,1.15863,1.15844,1.15861,155,8,0
2026-08-17T06:20:00+00:00,2026-08-17,11:50:00,1786947600,1.15861,1.15867,1.1584699999999999,1.1585,118,8,0
2026-08-17T06:25:00+00:00,2026-08-17,11:55:00,1786947900,1.1585,1.15919,1.15848,1.15918,200,8,0
2026-08-17T06:30:00+00:00,2026-08-17,12:00:00,1786948200,1.15916,1.15917,1.15886,1.15892,144,8,0
2026-08-17T06:35:00+00:00,2026-08-17,12:05:00,1786948500,1.15892,1.15907,1.15878,1.15906,144,8,0
2026-08-17T06:40:00+00:00,2026-08-17,12:10:00,1786948800,1.15905,1.15907,1.15888,1.15903,97,8,0
2026-08-17T06:45:00+00:00,2026-08-17,12:15:00,1786949100,1.15903,1.15939,1.15903,1.15929,166,8,0
2026-08-17T06:50:00+00:00,2026-08-17,12:20:00,1786949400,1.15931,1.15951,1.15931,1.15944,131,8,0
2026-08-17T06:55:00+00:00,2026-08-17,12:25:00,1786949700,1.15943,1.15963,1.15937,1.15951,186,8,0
2026-08-17T07:00:00+00:00,2026-08-17,12:30:00,1786950000,1.15952,1.15963,1.15924,1.15941,241,8,0
2026-08-17T07:05:00+00:00,2026-08-17,12:35:00,1786950300,1.15941,1.15967,1.15931,1.15961,146,8,0
2026-08-17T07:10:00+00:00,2026-08-17,12:40:00,1786950600,1.15961,1.15973,1.1595900000000001,1.15966,138,8,0
2026-08-17T07:15:00+00:00,2026-08-17,12:45:00,1786950900,1.15966,1.16028,1.15963,1.16005,186,8,0
2026-08-17T07:20:00+00:00,2026-08-17,12:50:00,1786951200,1.16006,1.16036,1.15991,1.16017,216,8,0
2026-08-17T07:25:00+00:00,2026-08-17,12:55:00,1786951500,1.16018,1.16061,1.16012,1.16058,215,8,0
