time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-17T00:00:00+00:00,2026-08-17,05:30:00,1786924800,215.681,215.743,215.633,215.669,708,21,0
2026-08-17T00:15:00+00:00,2026-08-17,05:45:00,1786925700,215.669,215.669,215.538,215.611,562,21,0
2026-08-17T00:30:00+00:00,2026-08-17,06:00:00,1786926600,215.609,215.616,215.565,215.596,497,21,0
2026-08-17T00:45:00+00:00,2026-08-17,06:15:00,1786927500,215.599,215.625,215.522,215.549,743,21,0
2026-08-17T01:00:00+00:00,2026-08-17,06:30:00,1786928400,215.552,215.595,215.513,215.544,662,21,0
2026-08-17T01:15:00+00:00,2026-08-17,06:45:00,1786929300,215.544,215.586,215.522,215.547,478,21,0
2026-08-17T01:30:00+00:00,2026-08-17,07:00:00,1786930200,215.546,215.63,215.532,215.627,481,21,0
2026-08-17T01:45:00+00:00,2026-08-17,07:15:00,1786931100,215.626,215.641,215.593,215.601,417,21,0
2026-08-17T02:00:00+00:00,2026-08-17,07:30:00,1786932000,215.596,215.606,215.533,215.538,387,21,0
2026-08-17T02:15:00+00:00,2026-08-17,07:45:00,1786932900,215.539,215.545,215.456,215.515,507,21,0
2026-08-17T02:30:00+00:00,2026-08-17,08:00:00,1786933800,215.515,215.552,215.471,215.514,422,21,0
2026-08-17T02:45:00+00:00,2026-08-17,08:15:00,1786934700,215.508,215.521,215.478,215.485,320,21,0
2026-08-17T03:00:00+00:00,2026-08-17,08:30:00,1786935600,215.484,215.545,215.484,215.535,356,21,0
2026-08-17T03:15:00+00:00,2026-08-17,08:45:00,1786936500,215.529,215.557,215.525,215.551,259,21,0
2026-08-17T03:30:00+00:00,2026-08-17,09:00:00,1786937400,215.551,215.588,215.546,215.581,293,21,0
2026-08-17T03:45:00+00:00,2026-08-17,09:15:00,1786938300,215.583,215.618,215.575,215.597,333,21,0
2026-08-17T04:00:00+00:00,2026-08-17,09:30:00,1786939200,215.597,215.624,215.573,215.621,363,21,0
2026-08-17T04:15:00+00:00,2026-08-17,09:45:00,1786940100,215.621,215.658,215.604,215.644,296,21,0
2026-08-17T04:30:00+00:00,2026-08-17,10:00:00,1786941000,215.648,215.654,215.575,215.593,297,21,0
2026-08-17T04:45:00+00:00,2026-08-17,10:15:00,1786941900,215.592,215.624,215.574,215.614,292,21,0
2026-08-17T05:00:00+00:00,2026-08-17,10:30:00,1786942800,215.614,215.624,215.588,215.597,313,21,0
2026-08-17T05:15:00+00:00,2026-08-17,10:45:00,1786943700,215.598,215.599,215.536,215.569,399,21,0
2026-08-17T05:30:00+00:00,2026-08-17,11:00:00,1786944600,215.571,215.597,215.473,215.53,522,21,0
2026-08-17T05:45:00+00:00,2026-08-17,11:15:00,1786945500,215.532,215.634,215.529,215.613,582,21,0
2026-08-17T06:00:00+00:00,2026-08-17,11:30:00,1786946400,215.618,215.627,215.564,215.602,601,21,0
2026-08-17T06:15:00+00:00,2026-08-17,11:45:00,1786947300,215.601,215.612,215.535,215.562,564,21,0
2026-08-17T06:30:00+00:00,2026-08-17,12:00:00,1786948200,215.562,215.573,215.504,215.543,518,21,0
2026-08-17T06:45:00+00:00,2026-08-17,12:15:00,1786949100,215.542,215.562,215.498,215.518,657,21,0
2026-08-17T07:00:00+00:00,2026-08-17,12:30:00,1786950000,215.524,215.547,215.397,215.464,728,21,0
2026-08-17T07:15:00+00:00,2026-08-17,12:45:00,1786950900,215.464,215.582,215.431,215.538,661,21,0
2026-08-17T07:30:00+00:00,2026-08-17,13:00:00,1786951800,215.539,215.6,215.53,215.55,717,21,0
2026-08-17T07:45:00+00:00,2026-08-17,13:15:00,1786952700,215.551,215.631,215.507,215.579,707,21,0
2026-08-17T08:00:00+00:00,2026-08-17,13:30:00,1786953600,215.575,215.661,215.549,215.621,674,21,0
2026-08-17T08:15:00+00:00,2026-08-17,13:45:00,1786954500,215.621,215.714,215.621,215.69,595,21,0
2026-08-17T08:30:00+00:00,2026-08-17,14:00:00,1786955400,215.689,215.754,215.637,215.707,635,21,0
2026-08-17T08:45:00+00:00,2026-08-17,14:15:00,1786956300,215.706,215.723,215.566,215.666,755,21,0
2026-08-17T09:00:00+00:00,2026-08-17,14:30:00,1786957200,215.667,215.743,215.659,215.662,641,21,0
2026-08-17T09:15:00+00:00,2026-08-17,14:45:00,1786958100,215.664,215.746,215.644,215.728,554,21,0
2026-08-17T09:30:00+00:00,2026-08-17,15:00:00,1786959000,215.733,215.796,215.724,215.779,502,21,0
2026-08-17T09:45:00+00:00,2026-08-17,15:15:00,1786959900,215.774,215.844,215.746,215.799,575,21,0
2026-08-17T10:00:00+00:00,2026-08-17,15:30:00,1786960800,215.803,215.846,215.782,215.818,613,21,0
2026-08-17T10:15:00+00:00,2026-08-17,15:45:00,1786961700,215.818,215.849,215.789,215.805,527,21,0
2026-08-17T10:30:00+00:00,2026-08-17,16:00:00,1786962600,215.809,215.84,215.771,215.787,547,21,0
2026-08-17T10:45:00+00:00,2026-08-17,16:15:00,1786963500,215.79,215.811,215.762,215.789,463,21,0
2026-08-17T11:00:00+00:00,2026-08-17,16:30:00,1786964400,215.794,215.842,215.769,215.794,513,21,0
2026-08-17T11:15:00+00:00,2026-08-17,16:45:00,1786965300,215.795,215.904,215.779,215.9,546,21,0
2026-08-17T11:30:00+00:00,2026-08-17,17:00:00,1786966200,215.903,215.903,215.824,215.853,508,21,0
2026-08-17T11:45:00+00:00,2026-08-17,17:15:00,1786967100,215.854,215.879,215.828,215.862,522,21,0
2026-08-17T12:00:00+00:00,2026-08-17,17:30:00,1786968000,215.857,215.911,215.831,215.905,601,21,0
2026-08-17T12:15:00+00:00,2026-08-17,17:45:00,1786968900,215.905,215.932,215.863,215.891,647,21,0
2026-08-17T12:30:00+00:00,2026-08-17,18:00:00,1786969800,215.895,215.928,215.861,215.927,542,21,0
2026-08-17T12:45:00+00:00,2026-08-17,18:15:00,1786970700,215.923,215.939,215.867,215.932,573,21,0
2026-08-17T13:00:00+00:00,2026-08-17,18:30:00,1786971600,215.934,216.034,215.914,215.98,646,21,0
2026-08-17T13:15:00+00:00,2026-08-17,18:45:00,1786972500,215.98,216.036,215.96,215.995,513,21,0
2026-08-17T13:30:00+00:00,2026-08-17,19:00:00,1786973400,215.995,216.076,215.99,215.996,637,21,0
2026-08-17T13:45:00+00:00,2026-08-17,19:15:00,1786974300,216.002,216.014,215.915,215.955,664,21,0
2026-08-17T14:00:00+00:00,2026-08-17,19:30:00,1786975200,215.951,216.014,215.949,216.01,674,21,0
2026-08-17T14:15:00+00:00,2026-08-17,19:45:00,1786976100,216.011,216.038,215.926,215.943,680,21,0
2026-08-17T14:30:00+00:00,2026-08-17,20:00:00,1786977000,215.941,215.948,215.853,215.859,590,21,0
2026-08-17T14:45:00+00:00,2026-08-17,20:15:00,1786977900,215.858,215.899,215.806,215.876,720,21,0
2026-08-17T15:00:00+00:00,2026-08-17,20:30:00,1786978800,215.873,215.945,215.85,215.917,654,21,0
2026-08-17T15:15:00+00:00,2026-08-17,20:45:00,1786979700,215.917,216.001,215.915,215.998,494,21,0
2026-08-17T15:30:00+00:00,2026-08-17,21:00:00,1786980600,216.003,216.049,215.984,216.007,494,21,0
2026-08-17T15:45:00+00:00,2026-08-17,21:15:00,1786981500,216.004,216.111,215.997,216.093,484,21,0
2026-08-17T16:00:00+00:00,2026-08-17,21:30:00,1786982400,216.092,216.112,216.061,216.072,430,21,0
2026-08-17T16:15:00+00:00,2026-08-17,21:45:00,1786983300,216.072,216.124,216.072,216.103,371,21,0
2026-08-17T16:30:00+00:00,2026-08-17,22:00:00,1786984200,216.103,216.148,216.1,216.108,321,21,0
2026-08-17T16:45:00+00:00,2026-08-17,22:15:00,1786985100,216.108,216.11,216.053,216.065,373,21,0
2026-08-17T17:00:00+00:00,2026-08-17,22:30:00,1786986000,216.065,216.089,216.037,216.055,351,21,0
2026-08-17T17:15:00+00:00,2026-08-17,22:45:00,1786986900,216.055,216.103,216.052,216.085,389,21,0
2026-08-17T17:30:00+00:00,2026-08-17,23:00:00,1786987800,216.085,216.13,216.01,216.029,512,21,0
2026-08-17T17:45:00+00:00,2026-08-17,23:15:00,1786988700,216.028,216.05,215.996,216.017,374,21,0
2026-08-17T18:00:00+00:00,2026-08-17,23:30:00,1786989600,216.015,216.043,215.995,216.01,409,21,0
2026-08-17T18:15:00+00:00,2026-08-17,23:45:00,1786990500,216.01,216.071,216.01,216.049,436,21,0
2026-08-17T18:30:00+00:00,2026-08-18,00:00:00,1786991400,216.052,216.059,215.985,216.002,429,21,0
2026-08-17T18:45:00+00:00,2026-08-18,00:15:00,1786992300,216.002,216.05,215.995,216.042,414,21,0
2026-08-17T19:00:00+00:00,2026-08-18,00:30:00,1786993200,216.036,216.051,215.952,215.971,439,21,0
2026-08-17T19:15:00+00:00,2026-08-18,00:45:00,1786994100,215.966,215.984,215.907,215.918,368,21,0
2026-08-17T19:30:00+00:00,2026-08-18,01:00:00,1786995000,215.918,215.936,215.887,215.935,357,21,0
2026-08-17T19:45:00+00:00,2026-08-18,01:15:00,1786995900,215.935,215.951,215.897,215.938,331,21,0
2026-08-17T20:00:00+00:00,2026-08-18,01:30:00,1786996800,215.935,215.975,215.933,215.966,197,66,0
2026-08-17T20:15:00+00:00,2026-08-18,01:45:00,1786997700,215.96,215.984,215.937,215.976,147,67,0
2026-08-17T20:30:00+00:00,2026-08-18,02:00:00,1786998600,215.984,215.988,215.935,215.941,166,67,0
