time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-17T00:00:00+00:00,2026-08-17,05:30:00,1786924800,0.47862,0.4789,0.47862,0.47889,225,14,0
2026-08-17T00:15:00+00:00,2026-08-17,05:45:00,1786925700,0.47889,0.4794,0.47887,0.4794,226,14,0
2026-08-17T00:30:00+00:00,2026-08-17,06:00:00,1786926600,0.4794,0.47963,0.47939,0.47947,212,14,0
2026-08-17T00:45:00+00:00,2026-08-17,06:15:00,1786927500,0.47947,0.47967,0.47944,0.47963,220,14,0
2026-08-17T01:00:00+00:00,2026-08-17,06:30:00,1786928400,0.47963,0.47964,0.4793,0.47933,234,14,0
2026-08-17T01:15:00+00:00,2026-08-17,06:45:00,1786929300,0.47933,0.47946,0.47928,0.47942,218,14,0
2026-08-17T01:30:00+00:00,2026-08-17,07:00:00,1786930200,0.4794,0.47956,0.47939,0.47956,197,14,0
2026-08-17T01:45:00+00:00,2026-08-17,07:15:00,1786931100,0.47955,0.47962,0.47943,0.47944,175,14,0
2026-08-17T02:00:00+00:00,2026-08-17,07:30:00,1786932000,0.47944,0.47944,0.47926,0.47926,152,14,0
2026-08-17T02:15:00+00:00,2026-08-17,07:45:00,1786932900,0.47927,0.47935,0.4792,0.47926,129,14,0
2026-08-17T02:30:00+00:00,2026-08-17,08:00:00,1786933800,0.47926,0.47939,0.47917,0.47927,147,14,0
2026-08-17T02:45:00+00:00,2026-08-17,08:15:00,1786934700,0.47926,0.47939,0.47924,0.47926,132,14,0
2026-08-17T03:00:00+00:00,2026-08-17,08:30:00,1786935600,0.47925,0.47938,0.47925,0.4793,143,14,0
2026-08-17T03:15:00+00:00,2026-08-17,08:45:00,1786936500,0.47929,0.47941,0.47927,0.47938,128,14,0
2026-08-17T03:30:00+00:00,2026-08-17,09:00:00,1786937400,0.47938,0.47943,0.47914,0.47922,126,14,0
2026-08-17T03:45:00+00:00,2026-08-17,09:15:00,1786938300,0.47922,0.47928,0.47917,0.47928,137,14,0
2026-08-17T04:00:00+00:00,2026-08-17,09:30:00,1786939200,0.47927,0.47937,0.4792,0.47935,169,14,0
2026-08-17T04:15:00+00:00,2026-08-17,09:45:00,1786940100,0.47935,0.47953,0.47929,0.47941,151,14,0
2026-08-17T04:30:00+00:00,2026-08-17,10:00:00,1786941000,0.4794,0.47948,0.47933,0.47945,131,14,0
2026-08-17T04:45:00+00:00,2026-08-17,10:15:00,1786941900,0.47946,0.47951,0.47943,0.47951,115,14,0
2026-08-17T05:00:00+00:00,2026-08-17,10:30:00,1786942800,0.4795,0.47964,0.47949,0.47955,147,14,0
2026-08-17T05:15:00+00:00,2026-08-17,10:45:00,1786943700,0.47955,0.47974,0.47955,0.47964,138,14,0
2026-08-17T05:30:00+00:00,2026-08-17,11:00:00,1786944600,0.47964,0.47984,0.47962,0.47984,197,14,0
2026-08-17T05:45:00+00:00,2026-08-17,11:15:00,1786945500,0.47984,0.47997,0.47974,0.47983,204,14,0
2026-08-17T06:00:00+00:00,2026-08-17,11:30:00,1786946400,0.47983,0.47986,0.47968,0.47977,252,14,0
2026-08-17T06:15:00+00:00,2026-08-17,11:45:00,1786947300,0.47977,0.47979,0.47955,0.47959,241,14,0
2026-08-17T06:30:00+00:00,2026-08-17,12:00:00,1786948200,0.47959,0.47985,0.47956,0.47984,202,14,0
2026-08-17T06:45:00+00:00,2026-08-17,12:15:00,1786949100,0.47983,0.48019,0.4798,0.48005,234,14,0
2026-08-17T07:00:00+00:00,2026-08-17,12:30:00,1786950000,0.48007,0.48022,0.47958,0.47963,310,14,0
2026-08-17T07:15:00+00:00,2026-08-17,12:45:00,1786950900,0.47964,0.47972,0.47872,0.47882,299,14,0
2026-08-17T07:30:00+00:00,2026-08-17,13:00:00,1786951800,0.47882,0.47886,0.47834,0.47838,347,14,0
2026-08-17T07:45:00+00:00,2026-08-17,13:15:00,1786952700,0.47839,0.47867,0.4783,0.4785,313,14,0
2026-08-17T08:00:00+00:00,2026-08-17,13:30:00,1786953600,0.4785,0.47856,0.47824,0.47829,296,14,0
2026-08-17T08:15:00+00:00,2026-08-17,13:45:00,1786954500,0.47829,0.47842,0.47816,0.47821,252,14,0
2026-08-17T08:30:00+00:00,2026-08-17,14:00:00,1786955400,0.47821,0.47855,0.47815,0.47849,285,14,0
2026-08-17T08:45:00+00:00,2026-08-17,14:15:00,1786956300,0.47849,0.47905,0.47849,0.47891,290,14,0
2026-08-17T09:00:00+00:00,2026-08-17,14:30:00,1786957200,0.47891,0.47907,0.47874,0.47907,247,14,0
2026-08-17T09:15:00+00:00,2026-08-17,14:45:00,1786958100,0.47907,0.47915,0.47884,0.47898,209,14,0
2026-08-17T09:30:00+00:00,2026-08-17,15:00:00,1786959000,0.47899,0.47938,0.47895,0.47938,191,14,0
2026-08-17T09:45:00+00:00,2026-08-17,15:15:00,1786959900,0.47937,0.47956,0.47936,0.47949,189,14,0
2026-08-17T10:00:00+00:00,2026-08-17,15:30:00,1786960800,0.4795,0.47961,0.47949,0.47953,181,14,0
2026-08-17T10:15:00+00:00,2026-08-17,15:45:00,1786961700,0.47954,0.47985,0.47954,0.47979,196,14,0
2026-08-17T10:30:00+00:00,2026-08-17,16:00:00,1786962600,0.47978,0.47989,0.4797,0.47982,267,14,0
2026-08-17T10:45:00+00:00,2026-08-17,16:15:00,1786963500,0.47983,0.47987,0.47963,0.47981,190,14,0
2026-08-17T11:00:00+00:00,2026-08-17,16:30:00,1786964400,0.47981,0.47987,0.47971,0.47978,198,14,0
