time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-17T00:00:00+00:00,2026-08-17,05:30:00,1786924800,93.78,93.843,93.774,93.829,247,14,0
2026-08-17T00:05:00+00:00,2026-08-17,05:35:00,1786925100,93.83,93.866,93.829,93.856,129,14,0
2026-08-17T00:10:00+00:00,2026-08-17,05:40:00,1786925400,93.856,93.87,93.843,93.87,123,14,0
2026-08-17T00:15:00+00:00,2026-08-17,05:45:00,1786925700,93.87,93.902,93.856,93.882,130,14,0
2026-08-17T00:20:00+00:00,2026-08-17,05:50:00,1786926000,93.882,93.928,93.865,93.923,154,14,0
2026-08-17T00:25:00+00:00,2026-08-17,05:55:00,1786926300,93.923,93.95,93.901,93.949,178,14,0
2026-08-17T00:30:00+00:00,2026-08-17,06:00:00,1786926600,93.95,93.959,93.933,93.949,148,14,0
2026-08-17T00:35:00+00:00,2026-08-17,06:05:00,1786926900,93.949,93.956,93.938,93.953,115,14,0
2026-08-17T00:40:00+00:00,2026-08-17,06:10:00,1786927200,93.953,93.958,93.934,93.936,138,14,0
2026-08-17T00:45:00+00:00,2026-08-17,06:15:00,1786927500,93.936,93.966,93.929,93.963,104,14,0
2026-08-17T00:50:00+00:00,2026-08-17,06:20:00,1786927800,93.963,93.982,93.934,93.959,216,14,0
2026-08-17T00:55:00+00:00,2026-08-17,06:25:00,1786928100,93.961,93.961,93.935,93.956,175,14,0
2026-08-17T01:00:00+00:00,2026-08-17,06:30:00,1786928400,93.958,93.965,93.928,93.941,168,14,0
2026-08-17T01:05:00+00:00,2026-08-17,06:35:00,1786928700,93.941,93.943,93.91,93.912,120,14,0
2026-08-17T01:10:00+00:00,2026-08-17,06:40:00,1786929000,93.913,93.919,93.897,93.913,129,14,0
2026-08-17T01:15:00+00:00,2026-08-17,06:45:00,1786929300,93.912,93.92,93.9,93.901,107,14,0
2026-08-17T01:20:00+00:00,2026-08-17,06:50:00,1786929600,93.901,93.928,93.901,93.912,143,14,0
2026-08-17T01:25:00+00:00,2026-08-17,06:55:00,1786929900,93.912,93.942,93.912,93.928,148,14,0
2026-08-17T01:30:00+00:00,2026-08-17,07:00:00,1786930200,93.928,93.928,93.911,93.912,127,14,0
2026-08-17T01:35:00+00:00,2026-08-17,07:05:00,1786930500,93.912,93.929,93.906,93.929,119,14,0
2026-08-17T01:40:00+00:00,2026-08-17,07:10:00,1786930800,93.928,93.969,93.926,93.966,126,14,0
2026-08-17T01:45:00+00:00,2026-08-17,07:15:00,1786931100,93.966,93.987,93.956,93.959,106,14,0
2026-08-17T01:50:00+00:00,2026-08-17,07:20:00,1786931400,93.959,93.976,93.953,93.955,108,14,0
2026-08-17T01:55:00+00:00,2026-08-17,07:25:00,1786931700,93.955,93.955,93.944,93.945,76,14,0
2026-08-17T02:00:00+00:00,2026-08-17,07:30:00,1786932000,93.944,93.953,93.937,93.943,76,14,0
2026-08-17T02:05:00+00:00,2026-08-17,07:35:00,1786932300,93.945,93.946,93.92,93.928,102,14,0
2026-08-17T02:10:00+00:00,2026-08-17,07:40:00,1786932600,93.928,93.928,93.907,93.911,100,14,0
2026-08-17T02:15:00+00:00,2026-08-17,07:45:00,1786932900,93.911,93.917,93.879,93.883,138,14,0
2026-08-17T02:20:00+00:00,2026-08-17,07:50:00,1786933200,93.882,93.9,93.881,93.893,96,14,0
2026-08-17T02:25:00+00:00,2026-08-17,07:55:00,1786933500,93.893,93.909,93.878,93.903,77,14,0
2026-08-17T02:30:00+00:00,2026-08-17,08:00:00,1786933800,93.905,93.917,93.883,93.885,113,14,0
2026-08-17T02:35:00+00:00,2026-08-17,08:05:00,1786934100,93.883,93.919,93.877,93.915,88,14,0
2026-08-17T02:40:00+00:00,2026-08-17,08:10:00,1786934400,93.915,93.936,93.902,93.905,98,14,0
2026-08-17T02:45:00+00:00,2026-08-17,08:15:00,1786934700,93.902,93.917,93.899,93.916,72,14,0
2026-08-17T02:50:00+00:00,2026-08-17,08:20:00,1786935000,93.917,93.917,93.903,93.904,85,14,0
2026-08-17T02:55:00+00:00,2026-08-17,08:25:00,1786935300,93.903,93.904,93.881,93.895,80,14,0
2026-08-17T03:00:00+00:00,2026-08-17,08:30:00,1786935600,93.893,93.93,93.893,93.925,92,14,0
2026-08-17T03:05:00+00:00,2026-08-17,08:35:00,1786935900,93.926,93.937,93.923,93.926,81,14,0
2026-08-17T03:10:00+00:00,2026-08-17,08:40:00,1786936200,93.926,93.933,93.919,93.928,68,14,0
2026-08-17T03:15:00+00:00,2026-08-17,08:45:00,1786936500,93.925,93.943,93.921,93.943,86,14,0
2026-08-17T03:20:00+00:00,2026-08-17,08:50:00,1786936800,93.943,93.943,93.927,93.933,61,14,0
2026-08-17T03:25:00+00:00,2026-08-17,08:55:00,1786937100,93.933,93.949,93.925,93.946,76,14,0
2026-08-17T03:30:00+00:00,2026-08-17,09:00:00,1786937400,93.946,93.956,93.936,93.936,70,14,0
2026-08-17T03:35:00+00:00,2026-08-17,09:05:00,1786937700,93.937,93.945,93.909,93.917,86,14,0
2026-08-17T03:40:00+00:00,2026-08-17,09:10:00,1786938000,93.918,93.935,93.915,93.932,77,14,0
2026-08-17T03:45:00+00:00,2026-08-17,09:15:00,1786938300,93.932,93.949,93.931,93.943,66,14,0
2026-08-17T03:50:00+00:00,2026-08-17,09:20:00,1786938600,93.943,93.957,93.937,93.955,65,14,0
2026-08-17T03:55:00+00:00,2026-08-17,09:25:00,1786938900,93.955,93.961,93.932,93.96,106,14,0
2026-08-17T04:00:00+00:00,2026-08-17,09:30:00,1786939200,93.96,93.961,93.944,93.95,106,14,0
2026-08-17T04:05:00+00:00,2026-08-17,09:35:00,1786939500,93.95,93.974,93.949,93.962,121,14,0
2026-08-17T04:10:00+00:00,2026-08-17,09:40:00,1786939800,93.962,93.983,93.952,93.976,99,14,0
2026-08-17T04:15:00+00:00,2026-08-17,09:45:00,1786940100,93.977,93.978,93.961,93.978,75,14,0
2026-08-17T04:20:00+00:00,2026-08-17,09:50:00,1786940400,93.979,94.016,93.978,94.008,90,14,0
2026-08-17T04:25:00+00:00,2026-08-17,09:55:00,1786940700,94.008,94.033,94.001,94.008,114,14,0
2026-08-17T04:30:00+00:00,2026-08-17,10:00:00,1786941000,94.011,94.022,93.987,93.988,85,14,0
2026-08-17T04:35:00+00:00,2026-08-17,10:05:00,1786941300,93.988,93.993,93.976,93.982,49,14,0
2026-08-17T04:40:00+00:00,2026-08-17,10:10:00,1786941600,93.981,94.009,93.981,94.004,82,14,0
2026-08-17T04:45:00+00:00,2026-08-17,10:15:00,1786941900,94.005,94.012,93.999,94.012,78,14,0
2026-08-17T04:50:00+00:00,2026-08-17,10:20:00,1786942200,94.012,94.019,94.003,94.003,58,14,0
2026-08-17T04:55:00+00:00,2026-08-17,10:25:00,1786942500,94.003,94.023,94.002,94.021,64,14,0
2026-08-17T05:00:00+00:00,2026-08-17,10:30:00,1786942800,94.02,94.04,94.019,94.035,90,14,0
2026-08-17T05:05:00+00:00,2026-08-17,10:35:00,1786943100,94.035,94.049,94.029,94.049,92,14,0
2026-08-17T05:10:00+00:00,2026-08-17,10:40:00,1786943400,94.049,94.051,94.018,94.024,105,14,0
2026-08-17T05:15:00+00:00,2026-08-17,10:45:00,1786943700,94.023,94.046,94.022,94.036,90,14,0
2026-08-17T05:20:00+00:00,2026-08-17,10:50:00,1786944000,94.036,94.061,94.036,94.056,106,14,0
2026-08-17T05:25:00+00:00,2026-08-17,10:55:00,1786944300,94.056,94.061,94.04,94.042,117,14,0
2026-08-17T05:30:00+00:00,2026-08-17,11:00:00,1786944600,94.042,94.068,94.041,94.054,120,14,0
2026-08-17T05:35:00+00:00,2026-08-17,11:05:00,1786944900,94.054,94.06,94.028,94.051,139,14,0
2026-08-17T05:40:00+00:00,2026-08-17,11:10:00,1786945200,94.05,94.053,94.006,94.053,202,14,0
2026-08-17T05:45:00+00:00,2026-08-17,11:15:00,1786945500,94.054,94.071,94.042,94.071,128,14,0
2026-08-17T05:50:00+00:00,2026-08-17,11:20:00,1786945800,94.071,94.101,94.071,94.086,141,14,0
2026-08-17T05:55:00+00:00,2026-08-17,11:25:00,1786946100,94.087,94.117,94.086,94.092,150,14,0
2026-08-17T06:00:00+00:00,2026-08-17,11:30:00,1786946400,94.092,94.107,94.076,94.08,187,14,0
2026-08-17T06:05:00+00:00,2026-08-17,11:35:00,1786946700,94.081,94.092,94.062,94.065,148,14,0
2026-08-17T06:10:00+00:00,2026-08-17,11:40:00,1786947000,94.066,94.076,94.039,94.064,138,14,0
2026-08-17T06:15:00+00:00,2026-08-17,11:45:00,1786947300,94.065,94.069,94.055,94.057,126,14,0
2026-08-17T06:20:00+00:00,2026-08-17,11:50:00,1786947600,94.059,94.062,94.036,94.052,130,14,0
2026-08-17T06:25:00+00:00,2026-08-17,11:55:00,1786947900,94.052,94.071,94.05,94.064,151,14,0
2026-08-17T06:30:00+00:00,2026-08-17,12:00:00,1786948200,94.062,94.089,94.061,94.078,137,14,0
2026-08-17T06:35:00+00:00,2026-08-17,12:05:00,1786948500,94.078,94.114,94.075,94.099,134,14,0
2026-08-17T06:40:00+00:00,2026-08-17,12:10:00,1786948800,94.099,94.111,94.097,94.107,88,14,0
2026-08-17T06:45:00+00:00,2026-08-17,12:15:00,1786949100,94.107,94.123,94.105,94.119,151,14,0
2026-08-17T06:50:00+00:00,2026-08-17,12:20:00,1786949400,94.12,94.146,94.118,94.132,131,14,0
2026-08-17T06:55:00+00:00,2026-08-17,12:25:00,1786949700,94.131,94.139,94.116,94.129,156,14,0
2026-08-17T07:00:00+00:00,2026-08-17,12:30:00,1786950000,94.131,94.16,94.12,94.131,196,14,0
2026-08-17T07:05:00+00:00,2026-08-17,12:35:00,1786950300,94.131,94.135,94.088,94.097,165,14,0
2026-08-17T07:10:00+00:00,2026-08-17,12:40:00,1786950600,94.099,94.099,94.078,94.088,174,14,0
2026-08-17T07:15:00+00:00,2026-08-17,12:45:00,1786950900,94.088,94.097,94.058,94.062,158,14,0
2026-08-17T07:20:00+00:00,2026-08-17,12:50:00,1786951200,94.062,94.077,94.056,94.061,136,14,0
2026-08-17T07:25:00+00:00,2026-08-17,12:55:00,1786951500,94.061,94.104,94.059,94.09,179,14,0
2026-08-17T07:30:00+00:00,2026-08-17,13:00:00,1786951800,94.09,94.126,94.09,94.119,211,14,0
2026-08-17T07:35:00+00:00,2026-08-17,13:05:00,1786952100,94.121,94.129,94.104,94.109,157,14,0
2026-08-17T07:40:00+00:00,2026-08-17,13:10:00,1786952400,94.111,94.114,94.068,94.072,167,14,0
2026-08-17T07:45:00+00:00,2026-08-17,13:15:00,1786952700,94.073,94.089,94.067,94.081,159,14,0
2026-08-17T07:50:00+00:00,2026-08-17,13:20:00,1786953000,94.081,94.125,94.081,94.115,156,14,0
2026-08-17T07:55:00+00:00,2026-08-17,13:25:00,1786953300,94.116,94.133,94.102,94.102,153,14,0
2026-08-17T08:00:00+00:00,2026-08-17,13:30:00,1786953600,94.103,94.112,94.079,94.092,165,14,0
2026-08-17T08:05:00+00:00,2026-08-17,13:35:00,1786953900,94.091,94.104,94.086,94.093,141,14,0
2026-08-17T08:10:00+00:00,2026-08-17,13:40:00,1786954200,94.093,94.11,94.089,94.094,122,14,0
2026-08-17T08:15:00+00:00,2026-08-17,13:45:00,1786954500,94.094,94.121,94.094,94.115,104,14,0
2026-08-17T08:20:00+00:00,2026-08-17,13:50:00,1786954800,94.115,94.142,94.113,94.135,122,14,0
2026-08-17T08:25:00+00:00,2026-08-17,13:55:00,1786955100,94.133,94.161,94.131,94.158,151,14,0
2026-08-17T08:30:00+00:00,2026-08-17,14:00:00,1786955400,94.159,94.169,94.148,94.162,143,14,0
2026-08-17T08:35:00+00:00,2026-08-17,14:05:00,1786955700,94.163,94.212,94.148,94.212,132,14,0
2026-08-17T08:40:00+00:00,2026-08-17,14:10:00,1786956000,94.212,94.216,94.195,94.204,147,14,0
2026-08-17T08:45:00+00:00,2026-08-17,14:15:00,1786956300,94.204,94.227,94.197,94.199,127,14,0
2026-08-17T08:50:00+00:00,2026-08-17,14:20:00,1786956600,94.199,94.21,94.138,94.174,201,14,0
2026-08-17T08:55:00+00:00,2026-08-17,14:25:00,1786956900,94.175,94.214,94.169,94.204,174,14,0
2026-08-17T09:00:00+00:00,2026-08-17,14:30:00,1786957200,94.206,94.225,94.201,94.225,163,14,0
2026-08-17T09:05:00+00:00,2026-08-17,14:35:00,1786957500,94.226,94.228,94.216,94.219,144,14,0
2026-08-17T09:10:00+00:00,2026-08-17,14:40:00,1786957800,94.219,94.221,94.199,94.202,111,14,0
2026-08-17T09:15:00+00:00,2026-08-17,14:45:00,1786958100,94.201,94.206,94.193,94.201,123,14,0
2026-08-17T09:20:00+00:00,2026-08-17,14:50:00,1786958400,94.201,94.201,94.178,94.194,128,14,0
2026-08-17T09:25:00+00:00,2026-08-17,14:55:00,1786958700,94.196,94.232,94.196,94.223,106,14,0
2026-08-17T09:30:00+00:00,2026-08-17,15:00:00,1786959000,94.225,94.245,94.223,94.233,111,14,0
2026-08-17T09:35:00+00:00,2026-08-17,15:05:00,1786959300,94.234,94.24,94.214,94.24,103,14,0
2026-08-17T09:40:00+00:00,2026-08-17,15:10:00,1786959600,94.24,94.267,94.237,94.26,119,14,0
2026-08-17T09:45:00+00:00,2026-08-17,15:15:00,1786959900,94.26,94.277,94.257,94.27,97,14,0
2026-08-17T09:50:00+00:00,2026-08-17,15:20:00,1786960200,94.27,94.286,94.258,94.286,107,14,0
2026-08-17T09:55:00+00:00,2026-08-17,15:25:00,1786960500,94.286,94.29,94.266,94.272,112,14,0
2026-08-17T10:00:00+00:00,2026-08-17,15:30:00,1786960800,94.274,94.282,94.269,94.275,123,14,0
2026-08-17T10:05:00+00:00,2026-08-17,15:35:00,1786961100,94.275,94.28,94.264,94.264,121,14,0
2026-08-17T10:10:00+00:00,2026-08-17,15:40:00,1786961400,94.264,94.281,94.26,94.272,113,14,0
2026-08-17T10:15:00+00:00,2026-08-17,15:45:00,1786961700,94.273,94.28,94.265,94.266,125,14,0
2026-08-17T10:20:00+00:00,2026-08-17,15:50:00,1786962000,94.264,94.277,94.26,94.271,100,14,0
2026-08-17T10:25:00+00:00,2026-08-17,15:55:00,1786962300,94.269,94.288,94.26,94.276,208,14,0
2026-08-17T10:30:00+00:00,2026-08-17,16:00:00,1786962600,94.278,94.287,94.241,94.247,253,14,0
2026-08-17T10:35:00+00:00,2026-08-17,16:05:00,1786962900,94.248,94.254,94.23,94.245,125,14,0
2026-08-17T10:40:00+00:00,2026-08-17,16:10:00,1786963200,94.245,94.262,94.243,94.252,106,14,0
2026-08-17T10:45:00+00:00,2026-08-17,16:15:00,1786963500,94.253,94.264,94.25,94.257,96,14,0
2026-08-17T10:50:00+00:00,2026-08-17,16:20:00,1786963800,94.258,94.271,94.249,94.264,109,14,0
2026-08-17T10:55:00+00:00,2026-08-17,16:25:00,1786964100,94.264,94.273,94.247,94.254,117,14,0
2026-08-17T11:00:00+00:00,2026-08-17,16:30:00,1786964400,94.253,94.274,94.245,94.269,117,14,0
2026-08-17T11:05:00+00:00,2026-08-17,16:35:00,1786964700,94.269,94.29,94.267,94.284,115,14,0
2026-08-17T11:10:00+00:00,2026-08-17,16:40:00,1786965000,94.283,94.283,94.253,94.253,109,14,0
2026-08-17T11:15:00+00:00,2026-08-17,16:45:00,1786965300,94.253,94.258,94.237,94.244,106,14,0
2026-08-17T11:20:00+00:00,2026-08-17,16:50:00,1786965600,94.244,94.256,94.238,94.249,117,14,0
2026-08-17T11:25:00+00:00,2026-08-17,16:55:00,1786965900,94.25,94.267,94.243,94.25,110,14,0
2026-08-17T11:30:00+00:00,2026-08-17,17:00:00,1786966200,94.251,94.251,94.215,94.215,108,14,0
2026-08-17T11:35:00+00:00,2026-08-17,17:05:00,1786966500,94.217,94.223,94.205,94.218,100,14,0
2026-08-17T11:40:00+00:00,2026-08-17,17:10:00,1786966800,94.218,94.218,94.192,94.197,113,14,0
2026-08-17T11:45:00+00:00,2026-08-17,17:15:00,1786967100,94.197,94.209,94.191,94.196,101,14,0
2026-08-17T11:50:00+00:00,2026-08-17,17:20:00,1786967400,94.197,94.209,94.195,94.202,100,14,0
2026-08-17T11:55:00+00:00,2026-08-17,17:25:00,1786967700,94.201,94.215,94.198,94.204,121,14,0
2026-08-17T12:00:00+00:00,2026-08-17,17:30:00,1786968000,94.203,94.214,94.185,94.205,154,14,0
2026-08-17T12:05:00+00:00,2026-08-17,17:35:00,1786968300,94.204,94.22,94.2,94.204,122,14,0
2026-08-17T12:10:00+00:00,2026-08-17,17:40:00,1786968600,94.204,94.21,94.194,94.197,120,14,0
2026-08-17T12:15:00+00:00,2026-08-17,17:45:00,1786968900,94.198,94.2,94.172,94.189,123,14,0
2026-08-17T12:20:00+00:00,2026-08-17,17:50:00,1786969200,94.187,94.204,94.184,94.189,120,14,0
2026-08-17T12:25:00+00:00,2026-08-17,17:55:00,1786969500,94.191,94.214,94.171,94.209,249,14,0
2026-08-17T12:30:00+00:00,2026-08-17,18:00:00,1786969800,94.213,94.218,94.165,94.184,187,14,0
2026-08-17T12:35:00+00:00,2026-08-17,18:05:00,1786970100,94.186,94.19,94.156,94.17,145,14,0
2026-08-17T12:40:00+00:00,2026-08-17,18:10:00,1786970400,94.17,94.203,94.169,94.194,129,14,0
2026-08-17T12:45:00+00:00,2026-08-17,18:15:00,1786970700,94.194,94.195,94.161,94.167,113,14,0
2026-08-17T12:50:00+00:00,2026-08-17,18:20:00,1786971000,94.167,94.194,94.157,94.185,141,14,0
2026-08-17T12:55:00+00:00,2026-08-17,18:25:00,1786971300,94.185,94.223,94.183,94.22,148,14,0
2026-08-17T13:00:00+00:00,2026-08-17,18:30:00,1786971600,94.222,94.24,94.206,94.236,190,14,0
2026-08-17T13:05:00+00:00,2026-08-17,18:35:00,1786971900,94.236,94.253,94.219,94.232,143,14,0
2026-08-17T13:10:00+00:00,2026-08-17,18:40:00,1786972200,94.232,94.245,94.223,94.229,130,14,0
2026-08-17T13:15:00+00:00,2026-08-17,18:45:00,1786972500,94.229,94.258,94.223,94.252,134,14,0
2026-08-17T13:20:00+00:00,2026-08-17,18:50:00,1786972800,94.252,94.26,94.232,94.233,111,14,0
2026-08-17T13:25:00+00:00,2026-08-17,18:55:00,1786973100,94.235,94.251,94.235,94.243,154,14,0
2026-08-17T13:30:00+00:00,2026-08-17,19:00:00,1786973400,94.242,94.267,94.238,94.263,165,14,0
2026-08-17T13:35:00+00:00,2026-08-17,19:05:00,1786973700,94.26,94.264,94.228,94.234,178,14,0
2026-08-17T13:40:00+00:00,2026-08-17,19:10:00,1786974000,94.234,94.234,94.197,94.197,181,14,0
2026-08-17T13:45:00+00:00,2026-08-17,19:15:00,1786974300,94.199,94.208,94.176,94.207,193,14,0
2026-08-17T13:50:00+00:00,2026-08-17,19:20:00,1786974600,94.206,94.24,94.206,94.224,189,14,0
2026-08-17T13:55:00+00:00,2026-08-17,19:25:00,1786974900,94.226,94.253,94.226,94.248,172,14,0
2026-08-17T14:00:00+00:00,2026-08-17,19:30:00,1786975200,94.246,94.251,94.222,94.225,173,14,0
2026-08-17T14:05:00+00:00,2026-08-17,19:35:00,1786975500,94.225,94.231,94.205,94.217,153,14,0
2026-08-17T14:10:00+00:00,2026-08-17,19:40:00,1786975800,94.216,94.249,94.216,94.249,144,14,0
2026-08-17T14:15:00+00:00,2026-08-17,19:45:00,1786976100,94.249,94.273,94.238,94.268,164,14,0
2026-08-17T14:20:00+00:00,2026-08-17,19:50:00,1786976400,94.267,94.274,94.225,94.228,161,14,0
2026-08-17T14:25:00+00:00,2026-08-17,19:55:00,1786976700,94.228,94.244,94.2,94.214,185,14,0
2026-08-17T14:30:00+00:00,2026-08-17,20:00:00,1786977000,94.216,94.243,94.209,94.219,180,14,0
2026-08-17T14:35:00+00:00,2026-08-17,20:05:00,1786977300,94.219,94.233,94.192,94.199,153,14,0
2026-08-17T14:40:00+00:00,2026-08-17,20:10:00,1786977600,94.197,94.198,94.165,94.169,140,14,0
2026-08-17T14:45:00+00:00,2026-08-17,20:15:00,1786977900,94.168,94.181,94.148,94.149,152,14,0
2026-08-17T14:50:00+00:00,2026-08-17,20:20:00,1786978200,94.148,94.15,94.119,94.122,202,14,0
2026-08-17T14:55:00+00:00,2026-08-17,20:25:00,1786978500,94.12,94.144,94.114,94.136,203,14,0
2026-08-17T15:00:00+00:00,2026-08-17,20:30:00,1786978800,94.137,94.154,94.125,94.134,179,14,0
2026-08-17T15:05:00+00:00,2026-08-17,20:35:00,1786979100,94.136,94.152,94.135,94.146,164,14,0
