position_id,signal_id,symbol,direction,model,entry_utc,entry_ist_date,signal_close_utc,entry_price,original_stop,destination_target,broker_target,risk_price,risk_points,destination_target_matches_broker_tp,destination_zone_id,entry_zone_id,destination_rr_signal,destination_rr_fill,model_aggressive,direction_long,used_liquidity_pool_stop,spread_pct_of_risk,round_trip_cost_r,stop_multiple_vs_structural,destination_before_original_stop,destination_label_status,label_start_bar_utc,label_resolution_bar_utc,label_bars_observed,destination_only_r,fill_adverse_slippage_signal_r,destination_confirmation_age_h,destination_origin_age_h,destination_origin_to_bos_bars_4h,entry_zone_age_h,entry_zone_origin_to_bos_bars_15m,alert_to_signal_minutes,destination_width_r,destination_width_signal_r,entry_zone_width_r,fill_beyond_entry_proximal_r,stop_pad_beyond_distal_r,campaign_actionable_count,entry_is_logged_running_extreme,running_extreme_filter_enabled,campaign_fields_available,same_direction_zones_since_destination,all_formed_gap_from_extreme_r,entry_is_extreme_all_formed,formed_opposing_15m_between_count,not_invalidated_opposing_15m_between_count,blocker_history_complete_count,nearest_blocker_distance_r,blocker_total_width_r,clear_path_no_surviving_15m_blocker,destination_prior_selection_count,destination_prior_distinct_entry_zones,hours_since_destination_last_selection,signal5m_body_dir_r,signal5m_range_r,signal5m_close_location,signal5m_rejection_wick_r,signal5m_opposing_wick_r,signal5m_range_vs_prior,signal5m_volume_vs_prior,signal5m_prior_momentum_r,signal5m_prior_range_mean_r,signal5m_spread_r,signal5m_sweep_depth_r,signal5m_close_beyond_confirmation_r,signal5m_zone_penetration_r,signal5m_rejection_from_extreme_r,zone15m_bos_body_dir_r,zone15m_bos_range_r,zone15m_bos_close_location,zone15m_bos_rejection_wick_r,zone15m_bos_opposing_wick_r,zone15m_bos_range_vs_prior,zone15m_bos_volume_vs_prior,zone15m_bos_prior_momentum_r,zone15m_bos_prior_range_mean_r,zone15m_bos_spread_r,zone15m_close_beyond_bos_r,destination4h_bos_body_dir_r,destination4h_bos_range_r,destination4h_bos_close_location,destination4h_bos_rejection_wick_r,destination4h_bos_opposing_wick_r,destination4h_bos_range_vs_prior,destination4h_bos_volume_vs_prior,destination4h_bos_prior_momentum_r,destination4h_bos_prior_range_mean_r,destination4h_bos_spread_r
2182526932,776697cd5ed29270,USDCAD,long,aggressive_liquidation,2026-08-18T22:00:23.219000+00:00,2026-08-19,2026-08-18T22:00:00+00:00,1.38964,1.3884400000000001,1.39479,1.39479,0.0012,120.0,True,4h-1786593600--1-33ac3d,15m-1787067000-1-f30153,5.69,4.292,True,True,False,16.86,0.3372,1.0,False,original_stop_first,2026-08-18T22:05:00+00:00,2026-08-19T02:15:00+00:00,51,-1.0,0.264,110.0,138.0,7.0,5.5,4.0,20.0,0.817,1.033,0.475,0.467,0.058,,,,False,13,3.267,False,26,26,1,0.175,6.283,False,4,4,4.83,0.0167,0.05,1.0,0.0333,0.0,0.4,0.3023,-0.0917,0.1208,0.2667,0.0333,0.0167,-0.15,0.05,,,,,,,,,,,,,,,,,,,,,
2182576578,6ba4fbc6c78a27e3,GBPUSD,short,aggressive_liquidation,2026-08-18T22:15:19.223000+00:00,2026-08-19,2026-08-18T22:15:00+00:00,1.35312,1.35337,1.34952,1.34952,0.00025,25.0,True,4h-1786636800-1-9bd316,15m-1787088600--1-633f21,10.14,14.4,True,False,False,28.96,0.5792,1.0,False,original_stop_first,2026-08-18T22:20:00+00:00,2026-08-18T22:50:00+00:00,7,-1.0,-0.2828,106.25,126.25,5.0,0.25,2.0,0.0,6.4,4.633,0.44,-0.44,1.0,,,,False,12,12.12,False,25,25,0,1.12,32.32,False,2,2,13.08,0.56,0.84,0.9048,0.2,0.08,1.0769,0.9116,-0.8,0.7867,0.4,0.58,0.18,1.16,0.76,1.12,1.28,1.0,0.16,0.0,2.0645,1.1579,0.24,0.62,1.68,0.08,,,,,,,,,,
2182576747,c7bbdb80b254b9be,AUDUSD,short,aggressive_liquidation,2026-08-18T22:15:24.395000+00:00,2026-08-19,2026-08-18T22:15:00+00:00,0.70845,0.7087,0.70631,0.70631,0.00025,25.0,True,4h-1786665600-1-c64153,15m-1787085900--1-204991,6.67,8.56,True,False,True,28.95,0.579,1.0,False,original_stop_first,2026-08-18T22:20:00+00:00,2026-08-19T12:30:00+00:00,171,-1.0,-0.2105,110.25,118.25,2.0,0.75,3.0,10.0,3.2,2.574,0.68,-0.24,0.56,,,,False,14,15.56,False,13,13,0,0.92,11.72,False,2,2,12.08,0.52,0.52,1.0,0.0,0.0,1.3684,0.7317,-1.36,0.4133,0.36,0.16,0.36,0.64,0.52,0.64,1.28,0.5313,0.04,0.6,1.6842,1.1765,0.12,0.79,1.84,0.32,,,,,,,,,,
2182685523,e5116b9b7f4177fb,GBPNZD,short,aggressive_liquidation,2026-08-18T22:50:28.818000+00:00,2026-08-19,2026-08-18T22:50:00+00:00,2.30246,2.3045,2.29499,2.29499,0.00204,204.0,True,4h-1786982400-1-501384,15m-1787085000--1-8e5430,3.41,3.662,True,False,True,26.91,0.5382,1.0,False,original_stop_first,2026-08-18T22:55:00+00:00,2026-08-18T23:30:00+00:00,8,-1.0,-0.0534,18.83,30.83,3.0,1.83,2.0,45.0,0.789,0.747,0.181,0.745,0.074,,,,False,3,0.0,True,30,30,0,0.059,9.363,False,0,0,,0.2941,0.3186,0.9231,0.0,0.0245,2.4074,0.8455,0.0735,0.152,0.2843,0.2108,0.0833,-0.4265,0.2941,0.5637,0.6225,0.9764,0.0441,0.0147,2.6458,0.9091,-0.1029,0.2341,0.1176,0.2794,,,,,,,,,,
2182707037,0365eb1af2975c50,EURUSD,short,aggressive_liquidation,2026-08-18T23:00:22.837000+00:00,2026-08-19,2026-08-18T23:00:00+00:00,1.15762,1.1581,1.15305,1.15305,0.00048,48.0,True,4h-1786636800-1-5e303b,15m-1787081400--1-ea0fc1,7.92,9.521,True,False,True,14.14,0.2828,1.0,False,original_stop_first,2026-08-18T23:05:00+00:00,2026-08-19T00:05:00+00:00,13,-1.0,-0.1553,111.0,127.0,4.0,2.75,3.0,5.0,1.354,1.149,0.896,-0.021,0.125,,,,False,14,6.208,False,43,43,0,0.396,27.813,False,1,1,33.75,0.0625,0.0625,1.0,0.0,0.0,0.4615,0.5263,-0.2917,0.1736,0.1667,0.0417,0.0208,0.0208,0.0625,0.3542,0.625,0.6,0.0208,0.25,0.7792,0.5993,0.2292,0.7552,0.1667,0.2917,,,,,,,,,,
2182892317,4b5bc5ffc5abf299,NZDCAD,long,aggressive_liquidation,2026-08-19T00:00:24.204000+00:00,2026-08-19,2026-08-19T00:00:00+00:00,0.81626,0.81555,0.81894,0.81894,0.00071,71.0,True,4h-1786996800--1-008e4b,15m-1787089500-1-ef232f,4.46,3.775,True,True,True,28.96,0.5792,1.0,False,original_stop_first,2026-08-19T00:05:00+00:00,2026-08-19T00:25:00+00:00,5,-1.0,0.1435,16.0,28.0,3.0,1.5,3.0,0.0,0.366,0.418,0.592,0.352,0.056,,,,False,3,1.437,False,19,19,1,0.31,8.085,False,0,0,,0.0141,0.169,0.8333,0.1268,0.0282,0.8571,1.2222,-0.3521,0.1878,0.2535,0.0423,0.0986,0.0,0.1408,0.4507,0.4648,0.9697,0.0,0.0141,0.7952,0.9368,-0.0141,0.5669,0.1831,0.338,,,,,,,,,,
2185775167,5740bc93081f18da,GBPJPY,long,aggressive_liquidation,2026-08-19T09:50:23.805000+00:00,2026-08-19,2026-08-19T09:50:00+00:00,215.729,215.63,216.013,216.013,0.099,99.0,True,4h-1787054400--1-469a82,15m-1787127300-1-8cfb2d,2.88,2.869,True,True,True,21.31,0.4261,1.0,False,original_stop_first,2026-08-19T09:55:00+00:00,2026-08-19T12:20:00+00:00,30,-1.0,0.0022,1.83,21.83,5.0,0.58,4.0,25.0,1.343,1.349,1.111,-0.444,0.333,,,,False,1,0.0,True,8,2,1,1.727,1.01,False,0,0,,0.2222,0.4646,0.6304,0.0707,0.1717,0.9388,0.9692,-1.2121,0.596,0.2121,0.0303,0.2626,1.0202,0.2929,0.8889,1.0505,1.0,0.1616,0.0,1.0667,0.9704,-0.3939,1.0025,0.2121,0.0505,0.4545,2.202,0.2752,0.1515,1.596,0.9932,1.5816,2.1616,2.2172,0.2121
2185883123,dbd2c2bafc59e5ad,AUDJPY,long,aggressive_liquidation,2026-08-19T10:10:22.561000+00:00,2026-08-19,2026-08-19T10:10:00+00:00,112.595,112.552,113.438,113.438,0.043,43.0,True,4h-1787040000--1-012ee8,15m-1787128200-1-f6600a,14.74,19.605,True,True,True,19.55,0.3911,1.0,False,original_stop_first,2026-08-19T10:15:00+00:00,2026-08-19T10:20:00+00:00,2,-1.0,-0.2423,14.17,26.17,3.0,1.17,2.0,5.0,2.581,1.973,1.0,-0.488,0.488,,,,False,1,0.0,True,18,9,3,4.163,6.767,False,0,0,,0.2791,0.814,0.4286,0.0698,0.4651,1.3208,0.7594,-1.907,0.6938,0.2558,0.2093,0.1395,1.1163,0.3488,0.8605,1.0233,0.9545,0.1163,0.0465,0.9778,0.7752,1.907,1.4826,0.2558,0.1395,,,,,,,,,,
2186230352,6cedfc8cda7e1121,XAUUSD,long,conservative_mss,2026-08-19T11:10:17.746000+00:00,2026-08-19,2026-08-19T11:10:00+00:00,4372.33,4365.485,4395.566,4395.566,6.845,6845.0,True,4h-1787040000--1-f6c62d,15m-1787135400-1-07b3da,2.57,3.395,False,True,True,3.08,0.0616,1.0,False,original_stop_first,2026-08-19T11:15:00+00:00,2026-08-19T11:40:00+00:00,6,-1.0,-0.1886,19.17,27.17,2.0,0.17,2.0,5.0,0.593,0.481,0.431,0.537,0.032,,,,False,6,5.549,False,10,10,0,0.216,8.585,False,0,0,,0.0774,0.489,0.282,0.0605,0.3511,1.6355,1.5622,0.575,0.326,0.038,,0.2424,-0.2486,0.1379,-0.0768,0.4982,0.3507,0.1747,0.2466,0.7809,0.7823,1.3274,0.6674,0.0351,0.8003,,,,,,,,,,
2186496691,d320ac37ca126ff3,AUDUSD,long,aggressive_liquidation,2026-08-19T11:50:18.275000+00:00,2026-08-19,2026-08-19T11:50:00+00:00,0.70748,0.70684,0.71019,0.71019,0.00064,64.0,True,4h-1787040000--1-5afc27,15m-1787124600-1-274d9f,4.14,4.234,True,True,True,13.83,0.2766,1.0,True,destination_first,2026-08-19T11:55:00+00:00,2026-08-19T13:00:00+00:00,14,4.234,-0.0236,19.83,27.83,2.0,3.58,3.0,5.0,1.297,1.276,0.156,0.766,0.078,,,,False,2,0.203,False,11,10,4,0.156,3.391,False,0,0,,0.5469,0.7812,0.86,0.125,0.1094,2.3256,1.4474,-0.9531,0.3411,0.1406,0.4844,0.1875,0.0469,0.6719,1.3281,1.6563,0.934,0.2188,0.1094,3.3651,1.7338,-0.5156,0.5664,0.1406,0.2188,,,,,,,,,,
