position_id,symbol,direction,model,result,exit_reason,signal_id,entry_utc,entry_ist,exit_utc,hour_utc,weekday,lots,entry_price,initial_stop,broker_target,risk_price,risk_points,realized_money,loss_at_sl_money,stop_basis,entry_zone_id,destination_zone_id,destination_rr,spread_at_signal_points,spread_pct_of_risk,round_trip_cost_r,stop_multiple_vs_structural,used_liquidity_pool_stop,minutes_held,realized_r_money_est,realized_r,exit_legs,closed_fraction,destination_confirmed_utc,zone_confirmed_utc,destination_age_hours,zone_age_hours,alert_to_confirm_minutes,zone_width_r,zone_width_points,entry_beyond_proximal_r,stop_pad_beyond_distal_r,campaign_zones_all,campaign_extreme_zone_id,entry_zone_is_extreme_all,entry_zone_extreme_rank,r_from_extreme_zone,extreme_zone_confirmed_utc,live_partial_banked,live_partial_events,live_stop_moves_ok,live_final_stop_r,live_stop_went_positive,live_peak_r_journal,live_stop_clamped_by_broker,entry_bar_open_utc,entry_bar_partial,mfe_r,mae_r,minutes_to_peak,bars_in_window,reached_partial_1_25r,reached_first_trail_1_5r,reached_1r,reached_0_5r,scn_live_ladder_sim_r,scn_live_ladder_sim_reason,scn_fixed_0_75r_r,scn_fixed_0_75r_reason,scn_fixed_1r_r,scn_fixed_1r_reason,scn_fixed_1_25r_r,scn_fixed_1_25r_reason,scn_fixed_2r_r,scn_fixed_2r_reason,scn_destination_only_r,scn_destination_only_reason,scn_partial_1r_then_be_r,scn_partial_1r_then_be_reason,scn_no_partial_trail_from_1_5r_r,scn_no_partial_trail_from_1_5r_reason,scn_be_at_0_75r_then_dest_r,scn_be_at_0_75r_then_dest_reason,scn_be_at_1r_then_dest_r,scn_be_at_1r_then_dest_reason,scn_be_at_1r_target_2r_r,scn_be_at_1r_target_2r_reason,outcome_class
2182526932,USDCAD,long,aggressive_liquidation,Loss,stop_loss,776697cd5ed29270,2026-08-18T22:00:23.219000+00:00,2026-08-19T03:30:23.219000+05:30,2026-08-19T02:16:04.671000+00:00,22,Tue,0.19,1.38964,1.3884400000000001,1.39479,0.0012,120.0,-1727.81,1365.03,15m_zone_distal_plus_buffer,15m-1787067000-1-f30153,4h-1786593600--1-33ac3d,5.69,16.0,16.86,0.3372,1.0,False,255.7,-1.266,-1.0,1,1.0,2026-08-14T08:00:00+00:00,2026-08-18T16:30:00+00:00,110.0,5.5,20.0,0.475,57.0,0.467,0.058,13,15m-1786975200-1-383042,False,12,3.267,2026-08-17T15:00:00+00:00,False,0,0,,False,,False,2026-08-18T22:00:00+00:00,True,0.908,-2.092,195.0,52,False,False,False,True,-1.0,stop_loss,0.75,take_profit,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,0.0,trail_stop,-1.0,stop_loss,-1.0,stop_loss,ran_then_reverted_before_partial
2182576578,GBPUSD,short,aggressive_liquidation,Loss,stop_loss,6ba4fbc6c78a27e3,2026-08-18T22:15:19.223000+00:00,2026-08-19T03:45:19.223000+05:30,2026-08-18T22:37:25.491000+00:00,22,Tue,0.14,1.35312,1.35337,1.34952,0.00025,25.0,-368.19,509.14,swept_wick_plus_buffer,15m-1787088600--1-633f21,4h-1786636800-1-9bd316,10.14,10.0,28.96,0.5792,1.0,False,22.1,-0.723,-1.0,1,1.0,2026-08-14T12:00:00+00:00,2026-08-18T22:00:00+00:00,106.25,0.25,0.0,0.44,11.0,-0.44,1.0,12,15m-1786984200--1-c4c630,False,10,12.12,2026-08-17T17:45:00+00:00,False,0,0,,False,,False,2026-08-18T22:15:00+00:00,True,-0.08,-0.92,15.0,5,False,False,False,False,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,stopped_never_our_way
2182576747,AUDUSD,short,aggressive_liquidation,Profit,stop_loss,c7bbdb80b254b9be,2026-08-18T22:15:24.395000+00:00,2026-08-19T03:45:24.395000+05:30,2026-08-19T00:00:01.539000+00:00,22,Tue,0.27,0.70845,0.7087,0.70631,0.00025,25.0,796.71,883.63,liquidity_pool_plus_buffer,15m-1787085900--1-204991,4h-1786665600-1-c64153,6.67,9.0,28.95,0.579,1.0,True,104.6,0.902,1.154,2,1.0,2026-08-14T08:00:00+00:00,2026-08-18T21:30:00+00:00,110.25,0.75,10.0,0.68,17.0,-0.24,0.56,14,15m-1786967100--1-d20b3e,False,13,15.56,2026-08-17T12:30:00+00:00,True,1,2,1.0,True,1.508,False,2026-08-18T22:15:00+00:00,True,2.32,-0.76,105.0,22,True,True,True,True,1.125,trail_stop,0.75,take_profit,1.0,take_profit,1.25,take_profit,2.0,take_profit,-1.0,stop_loss,1.0,trail_stop,1.0,trail_stop,1.0,trail_stop,1.0,trail_stop,2.0,take_profit,trailed_winner
2182685523,GBPNZD,short,aggressive_liquidation,Loss,stop_loss,e5116b9b7f4177fb,2026-08-18T22:50:28.818000+00:00,2026-08-19T04:20:28.818000+05:30,2026-08-18T23:33:34.390000+00:00,22,Tue,0.14,2.30246,2.3045,2.29499,0.00204,204.0,-1764.63,1865.46,liquidity_pool_plus_buffer,15m-1787085000--1-8e5430,4h-1786982400-1-501384,3.41,58.0,26.91,0.5382,1.0,True,43.1,-0.946,-1.0,1,1.0,2026-08-18T04:00:00+00:00,2026-08-18T21:00:00+00:00,18.83,1.83,45.0,0.181,37.0,0.745,0.074,3,15m-1787085000--1-8e5430,True,1,0.0,2026-08-18T21:00:00+00:00,False,0,0,,False,,False,2026-08-18T22:50:00+00:00,True,-0.275,-1.074,0.0,9,False,False,False,False,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,stopped_never_our_way
2182707037,EURUSD,short,aggressive_liquidation,Loss,stop_loss,0365eb1af2975c50,2026-08-18T23:00:22.837000+00:00,2026-08-19T04:30:22.837000+05:30,2026-08-19T00:07:12.082000+00:00,23,Tue,0.16,1.15762,1.1581,1.15305,0.00048,48.0,-807.97,953.1,liquidity_pool_plus_buffer,15m-1787081400--1-ea0fc1,4h-1786636800-1-5e303b,7.92,8.0,14.14,0.2828,1.0,True,66.8,-0.848,-1.0,1,1.0,2026-08-14T08:00:00+00:00,2026-08-18T20:15:00+00:00,111.0,2.75,5.0,0.896,43.0,-0.021,0.125,14,15m-1786954500--1-934b2b,False,11,6.208,2026-08-17T09:00:00+00:00,False,0,0,,False,,False,2026-08-18T23:00:00+00:00,True,0.542,-1.083,35.0,14,False,False,False,True,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,ran_then_reverted_before_partial
2182892317,NZDCAD,long,aggressive_liquidation,Loss,stop_loss,4b5bc5ffc5abf299,2026-08-19T00:00:24.204000+00:00,2026-08-19T05:30:24.204000+05:30,2026-08-19T00:26:10.147000+00:00,0,Wed,0.32,0.81626,0.81555,0.81894,0.00071,71.0,-1720.27,1505.45,liquidity_pool_plus_buffer,15m-1787089500-1-ef232f,4h-1786996800--1-008e4b,4.46,18.0,28.96,0.5792,1.0,True,25.8,-1.143,-1.0,1,1.0,2026-08-18T08:00:00+00:00,2026-08-18T22:30:00+00:00,16.0,1.5,0.0,0.592,42.0,0.352,0.056,3,15m-1787043600-1-2b80d9,False,3,1.437,2026-08-18T09:45:00+00:00,False,0,0,,False,,False,2026-08-19T00:00:00+00:00,True,-0.085,-1.056,5.0,6,False,False,False,False,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,stopped_never_our_way
2185775167,GBPJPY,long,aggressive_liquidation,Loss,stop_loss,5740bc93081f18da,2026-08-19T09:50:23.805000+00:00,2026-08-19T15:20:23.805000+05:30,2026-08-19T12:22:33.667000+00:00,9,Wed,0.14,215.729,215.63,216.013,0.099,99.0,-913.7,910.48,liquidity_pool_plus_buffer,15m-1787127300-1-8cfb2d,4h-1787054400--1-469a82,2.88,21.0,21.31,0.4261,1.0,True,152.2,-1.004,-1.0,1,1.0,2026-08-19T08:00:00+00:00,2026-08-19T09:15:00+00:00,1.83,0.58,25.0,1.111,110.0,-0.444,0.333,1,15m-1787127300-1-8cfb2d,True,1,0.0,2026-08-19T09:15:00+00:00,False,0,0,,False,,False,2026-08-19T09:50:00+00:00,True,0.313,-1.657,50.0,31,False,False,False,False,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,ran_then_reverted_before_partial
2185883123,AUDJPY,long,aggressive_liquidation,Loss,stop_loss,dbd2c2bafc59e5ad,2026-08-19T10:10:22.561000+00:00,2026-08-19T15:40:22.561000+05:30,2026-08-19T10:23:19.365000+00:00,10,Wed,0.26,112.595,112.552,113.438,0.043,43.0,-738.07,964.75,liquidity_pool_plus_buffer,15m-1787128200-1-f6600a,4h-1787040000--1-012ee8,14.74,11.0,19.55,0.3911,1.0,True,12.9,-0.765,-1.0,1,1.0,2026-08-18T20:00:00+00:00,2026-08-19T09:00:00+00:00,14.17,1.17,5.0,1.0,43.0,-0.488,0.488,1,15m-1787128200-1-f6600a,True,1,0.0,2026-08-19T09:00:00+00:00,False,0,0,,False,,False,2026-08-19T10:10:00+00:00,True,0.279,-1.0,5.0,3,False,False,False,False,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,ran_then_reverted_before_partial
2186230352,XAUUSD,long,conservative_mss,Loss,stop_loss,6cedfc8cda7e1121,2026-08-19T11:10:17.746000+00:00,2026-08-19T16:40:17.746000+05:30,2026-08-19T11:41:31.063000+00:00,11,Wed,0.04,4372.33,4365.485,4395.566,6.845,6845.0,-2872.19,3541.66,liquidity_pool_plus_buffer,15m-1787135400-1-07b3da,4h-1787040000--1-f6c62d,2.57,260.0,3.08,0.0616,1.0,True,31.2,-0.811,-1.0,1,1.0,2026-08-18T16:00:00+00:00,2026-08-19T11:00:00+00:00,19.17,0.17,5.0,0.431,2951.0,0.537,0.032,6,15m-1787095800-1-b8d290,False,6,5.549,2026-08-19T00:15:00+00:00,False,0,0,,False,,False,2026-08-19T11:10:00+00:00,True,0.265,-1.349,0.0,7,False,False,False,False,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,ran_then_reverted_before_partial
2186496691,AUDUSD,long,aggressive_liquidation,Profit,stop_loss,d320ac37ca126ff3,2026-08-19T11:50:18.275000+00:00,2026-08-19T17:20:18.275000+05:30,2026-08-19T12:41:49.305000+00:00,11,Wed,0.26,0.70748,0.70684,0.71019,0.00064,64.0,3285.93,1774.6,liquidity_pool_plus_buffer,15m-1787124600-1-274d9f,4h-1787040000--1-5afc27,4.14,9.0,13.83,0.2766,1.0,True,51.5,1.852,1.938,2,1.0,2026-08-18T16:00:00+00:00,2026-08-19T08:15:00+00:00,19.83,3.58,5.0,0.156,10.0,0.766,0.078,2,15m-1787119200-1-796be9,False,2,0.203,2026-08-19T06:30:00+00:00,True,1,5,2.5,True,3.211,False,2026-08-19T11:50:00+00:00,True,3.344,-0.469,45.0,11,True,True,True,True,1.875,trail_stop,0.75,take_profit,1.0,take_profit,1.25,take_profit,2.0,take_profit,4.234,take_profit,1.75,trail_stop,2.5,trail_stop,2.5,trail_stop,2.5,trail_stop,2.0,take_profit,trailed_winner
