time_utc,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-18T18:30:00Z,1787077800,114.763,114.768,114.761,114.763,59,11,0
2026-08-18T18:35:00Z,1787078100,114.763,114.776,114.757,114.757,71,11,0
2026-08-18T18:40:00Z,1787078400,114.757,114.761,114.751,114.756,75,11,0
2026-08-18T18:45:00Z,1787078700,114.756,114.768,114.756,114.764,53,11,0
2026-08-18T18:50:00Z,1787079000,114.764,114.766,114.757,114.762,65,11,0
2026-08-18T18:55:00Z,1787079300,114.762,114.781,114.758,114.774,93,11,0
2026-08-18T19:00:00Z,1787079600,114.772,114.78,114.757,114.779,76,11,0
2026-08-18T19:05:00Z,1787079900,114.779,114.788,114.777,114.786,59,11,0
2026-08-18T19:10:00Z,1787080200,114.787,114.864,114.787,114.837,294,11,0
2026-08-18T19:15:00Z,1787080500,114.836,114.85,114.831,114.848,108,11,0
2026-08-18T19:20:00Z,1787080800,114.848,114.861,114.841,114.848,86,11,0
2026-08-18T19:25:00Z,1787081100,114.847,114.853,114.839,114.849,79,11,0
2026-08-18T19:30:00Z,1787081400,114.85,114.857,114.837,114.855,101,11,0
2026-08-18T19:35:00Z,1787081700,114.855,114.863,114.85,114.862,76,11,0
2026-08-18T19:40:00Z,1787082000,114.862,114.869,114.856,114.86,88,11,0
2026-08-18T19:45:00Z,1787082300,114.86,114.86,114.846,114.849,77,11,0
2026-08-18T19:50:00Z,1787082600,114.849,114.863,114.847,114.857,71,11,0
2026-08-18T19:55:00Z,1787082900,114.857,114.88,114.857,114.857,155,11,0
2026-08-18T20:00:00Z,1787083200,114.855,114.877,114.855,114.866,92,11,0
2026-08-18T20:05:00Z,1787083500,114.866,114.871,114.855,114.869,43,11,0
2026-08-18T20:10:00Z,1787083800,114.867,114.878,114.859,114.859,47,11,0
2026-08-18T20:15:00Z,1787084100,114.859,114.86,114.842,114.851,60,11,0
2026-08-18T20:20:00Z,1787084400,114.851,114.854,114.84,114.852,56,11,0
2026-08-18T20:25:00Z,1787084700,114.852,114.865,114.852,114.864,46,11,0
2026-08-18T20:30:00Z,1787085000,114.866,114.877,114.865,114.876,55,11,0
2026-08-18T20:35:00Z,1787085300,114.876,114.88,114.872,114.873,39,11,0
2026-08-18T20:40:00Z,1787085600,114.873,114.875,114.871,114.875,25,11,0
2026-08-18T20:45:00Z,1787085900,114.875,114.879,114.868,114.875,52,11,0
2026-08-18T20:50:00Z,1787086200,114.875,114.875,114.869,114.87,42,11,0
2026-08-18T20:55:00Z,1787086500,114.87,114.872,114.852,114.853,85,11,0
2026-08-18T21:00:00Z,1787086800,114.853,114.853,114.853,114.853,1,38,0
2026-08-18T21:05:00Z,1787087100,114.854,114.859,114.853,114.859,11,38,0
2026-08-18T21:10:00Z,1787087400,114.86,114.865,114.86,114.864,19,38,0
2026-08-18T21:15:00Z,1787087700,114.863,114.863,114.857,114.862,39,38,0
2026-08-18T21:20:00Z,1787088000,114.862,114.865,114.859,114.863,34,38,0
2026-08-18T21:25:00Z,1787088300,114.864,114.864,114.853,114.854,35,38,0
2026-08-18T21:30:00Z,1787088600,114.853,114.867,114.852,114.865,38,43,0
2026-08-18T21:35:00Z,1787088900,114.865,114.868,114.863,114.865,55,35,0
2026-08-18T21:40:00Z,1787089200,114.867,114.87,114.865,114.867,44,28,0
2026-08-18T21:45:00Z,1787089500,114.867,114.871,114.862,114.862,53,24,0
2026-08-18T21:50:00Z,1787089800,114.861,114.865,114.855,114.863,43,31,0
2026-08-18T21:55:00Z,1787090100,114.865,114.871,114.865,114.869,10,22,0
2026-08-18T22:00:00Z,1787090400,114.863,114.863,114.828,114.829,44,31,0
2026-08-18T22:05:00Z,1787090700,114.829,114.832,114.828,114.831,22,31,0
2026-08-18T22:10:00Z,1787091000,114.831,114.867,114.831,114.867,39,30,0
2026-08-18T22:15:00Z,1787091300,114.867,114.867,114.854,114.855,56,30,0
2026-08-18T22:20:00Z,1787091600,114.854,114.857,114.841,114.842,51,30,0
2026-08-18T22:25:00Z,1787091900,114.842,114.844,114.838,114.842,40,29,0
2026-08-18T22:30:00Z,1787092200,114.842,114.844,114.832,114.837,33,29,0
2026-08-18T22:35:00Z,1787092500,114.837,114.843,114.828,114.837,30,29,0
2026-08-18T22:40:00Z,1787092800,114.837,114.837,114.828,114.835,22,29,0
2026-08-18T22:45:00Z,1787093100,114.836,114.843,114.82,114.823,26,29,0
2026-08-18T22:50:00Z,1787093400,114.822,114.824,114.819,114.819,27,29,0
2026-08-18T22:55:00Z,1787093700,114.819,114.822,114.819,114.82,19,28,0
2026-08-18T23:00:00Z,1787094000,114.829,114.832,114.802,114.81,98,11,0
2026-08-18T23:05:00Z,1787094300,114.81,114.822,114.809,114.814,40,11,0
2026-08-18T23:10:00Z,1787094600,114.814,114.814,114.798,114.811,46,11,0
2026-08-18T23:15:00Z,1787094900,114.812,114.812,114.802,114.809,45,11,0
2026-08-18T23:20:00Z,1787095200,114.809,114.809,114.801,114.801,35,11,0
2026-08-18T23:25:00Z,1787095500,114.801,114.813,114.798,114.799,60,11,0
2026-08-18T23:30:00Z,1787095800,114.798,114.809,114.79,114.808,78,11,0
2026-08-18T23:35:00Z,1787096100,114.808,114.815,114.804,114.814,45,11,0
2026-08-18T23:40:00Z,1787096400,114.814,114.814,114.803,114.808,60,11,0
2026-08-18T23:45:00Z,1787096700,114.808,114.817,114.799,114.809,60,11,0
2026-08-18T23:50:00Z,1787097000,114.809,114.809,114.795,114.798,48,11,0
2026-08-18T23:55:00Z,1787097300,114.798,114.804,114.78,114.795,82,11,0
2026-08-19T00:00:00Z,1787097600,114.793,114.793,114.734,114.759,259,11,0
2026-08-19T00:05:00Z,1787097900,114.759,114.774,114.741,114.768,140,11,0
2026-08-19T00:10:00Z,1787098200,114.768,114.77,114.749,114.752,116,11,0
2026-08-19T00:15:00Z,1787098500,114.754,114.776,114.75,114.77,112,11,0
2026-08-19T00:20:00Z,1787098800,114.77,114.778,114.767,114.769,104,11,0
2026-08-19T00:25:00Z,1787099100,114.769,114.783,114.764,114.781,116,11,0
2026-08-19T00:30:00Z,1787099400,114.781,114.781,114.755,114.76,135,11,0
2026-08-19T00:35:00Z,1787099700,114.76,114.763,114.731,114.732,110,11,0
2026-08-19T00:40:00Z,1787100000,114.732,114.743,114.721,114.734,109,11,0
2026-08-19T00:45:00Z,1787100300,114.734,114.737,114.719,114.722,92,11,0
2026-08-19T00:50:00Z,1787100600,114.722,114.724,114.685,114.712,260,11,0
2026-08-19T00:55:00Z,1787100900,114.71,114.724,114.699,114.7,205,11,0
2026-08-19T01:00:00Z,1787101200,114.699,114.719,114.696,114.709,149,11,0
2026-08-19T01:05:00Z,1787101500,114.711,114.716,114.678,114.678,128,11,0
2026-08-19T01:10:00Z,1787101800,114.679,114.698,114.679,114.696,115,11,0
2026-08-19T01:15:00Z,1787102100,114.696,114.703,114.682,114.684,127,11,0
2026-08-19T01:20:00Z,1787102400,114.684,114.712,114.682,114.71,103,11,0
2026-08-19T01:25:00Z,1787102700,114.71,114.721,114.691,114.699,112,11,0
2026-08-19T01:30:00Z,1787103000,114.698,114.713,114.691,114.711,103,11,0
2026-08-19T01:35:00Z,1787103300,114.711,114.719,114.706,114.711,73,11,0
2026-08-19T01:40:00Z,1787103600,114.71,114.723,114.707,114.723,73,11,0
2026-08-19T01:45:00Z,1787103900,114.723,114.73,114.719,114.729,82,11,0
2026-08-19T01:50:00Z,1787104200,114.729,114.739,114.727,114.737,59,11,0
2026-08-19T01:55:00Z,1787104500,114.736,114.739,114.718,114.722,81,11,0
2026-08-19T02:00:00Z,1787104800,114.722,114.734,114.722,114.727,62,11,0
2026-08-19T02:05:00Z,1787105100,114.725,114.737,114.718,114.719,86,11,0
2026-08-19T02:10:00Z,1787105400,114.721,114.728,114.71,114.715,98,11,0
2026-08-19T02:15:00Z,1787105700,114.715,114.874,114.715,114.78,664,11,0
2026-08-19T02:20:00Z,1787106000,114.78,114.794,114.757,114.789,212,11,0
2026-08-19T02:25:00Z,1787106300,114.789,114.808,114.779,114.802,150,11,0
2026-08-19T02:30:00Z,1787106600,114.802,114.821,114.784,114.821,137,11,0
2026-08-19T02:35:00Z,1787106900,114.821,114.833,114.811,114.821,144,11,0
2026-08-19T02:40:00Z,1787107200,114.821,114.822,114.778,114.805,134,11,0
2026-08-19T02:45:00Z,1787107500,114.804,114.819,114.797,114.811,155,11,0
2026-08-19T02:50:00Z,1787107800,114.811,114.83,114.809,114.828,118,11,0
2026-08-19T02:55:00Z,1787108100,114.829,114.831,114.822,114.829,81,11,0
2026-08-19T03:00:00Z,1787108400,114.831,114.851,114.827,114.848,91,11,0
2026-08-19T03:05:00Z,1787108700,114.848,114.853,114.841,114.849,75,11,0
2026-08-19T03:10:00Z,1787109000,114.849,114.871,114.849,114.866,74,11,0
2026-08-19T03:15:00Z,1787109300,114.866,114.866,114.856,114.863,80,11,0
2026-08-19T03:20:00Z,1787109600,114.862,114.864,114.851,114.852,73,11,0
2026-08-19T03:25:00Z,1787109900,114.85,114.852,114.845,114.85,74,11,0
2026-08-19T03:30:00Z,1787110200,114.85,114.871,114.842,114.857,101,11,0
2026-08-19T03:35:00Z,1787110500,114.858,114.863,114.848,114.86,76,11,0
2026-08-19T03:40:00Z,1787110800,114.859,114.862,114.844,114.844,62,11,0
2026-08-19T03:45:00Z,1787111100,114.844,114.859,114.843,114.855,64,11,0
2026-08-19T03:50:00Z,1787111400,114.855,114.855,114.847,114.848,60,11,0
2026-08-19T03:55:00Z,1787111700,114.847,114.849,114.828,114.83,50,11,0
2026-08-19T04:00:00Z,1787112000,114.831,114.845,114.828,114.832,77,11,0
