time_utc,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-18T20:00:00Z,1787083200,196.453,196.498,196.361,196.423,2685,14,0
2026-08-19T00:00:00Z,1787097600,196.423,196.47,196.238,196.419,5552,21,0
2026-08-19T04:00:00Z,1787112000,196.418,196.53,196.244,196.261,7310,21,0
2026-08-19T08:00:00Z,1787126400,196.258,196.423,196.145,196.4,8223,21,0
2026-08-19T12:00:00Z,1787140800,196.401,198.268,195.933,198.098,25139,21,0
2026-08-19T16:00:00Z,1787155200,198.099,198.464,198.03,198.33,11126,18,0
2026-08-19T20:00:00Z,1787169600,198.329,198.453,198.185,198.368,4078,21,0
2026-08-20T00:00:00Z,1787184000,198.365,198.507,198.045,198.148,8925,21,0
2026-08-20T04:00:00Z,1787198400,198.149,198.483,198.087,198.418,9454,21,0
2026-08-20T08:00:00Z,1787212800,198.421,199.07,198.346,198.73,12961,21,0
2026-08-20T12:00:00Z,1787227200,198.734,198.923,198.529,198.605,15679,21,0
2026-08-20T16:00:00Z,1787241600,198.608,198.79,198.561,198.739,7219,18,0
2026-08-20T20:00:00Z,1787256000,198.744,198.749,198.643,198.703,3216,14,0
2026-08-21T00:00:00Z,1787270400,198.7,198.997,198.662,198.827,6602,21,0
2026-08-21T04:00:00Z,1787284800,198.827,198.837,198.34,198.442,7218,21,0
2026-08-21T08:00:00Z,1787299200,198.444,198.659,198.198,198.516,11225,21,0
2026-08-21T12:00:00Z,1787313600,198.52,198.563,198.257,198.444,11825,21,0
2026-08-21T16:00:00Z,1787328000,198.446,198.572,198.375,198.492,5404,18,0
2026-08-21T20:00:00Z,1787342400,198.492,198.51,198.346,198.372,692,37,0
2026-08-23T20:00:00Z,1787515200,198.283,198.485,197.707,198.44,2399,21,0
2026-08-24T00:00:00Z,1787529600,198.437,198.598,198.35,198.576,5987,21,0
2026-08-24T04:00:00Z,1787544000,198.575,198.603,198.343,198.459,7819,21,0
2026-08-24T08:00:00Z,1787558400,198.463,198.508,198.263,198.3,9271,21,0
2026-08-24T12:00:00Z,1787572800,198.297,198.446,198.094,198.355,11047,21,0
2026-08-24T16:00:00Z,1787587200,198.355,198.388,198.202,198.273,7166,18,0
2026-08-24T20:00:00Z,1787601600,198.279,198.373,198.189,198.342,2880,20,0
2026-08-25T00:00:00Z,1787616000,198.344,198.443,198.25,198.279,5133,21,0
2026-08-25T04:00:00Z,1787630400,198.278,198.358,198.088,198.283,6002,21,0
2026-08-25T08:00:00Z,1787644800,198.289,198.576,198.285,198.364,8767,21,0
2026-08-25T12:00:00Z,1787659200,198.365,198.533,198.326,198.409,9232,21,0
2026-08-25T16:00:00Z,1787673600,198.412,198.61,198.369,198.577,4793,18,0
2026-08-25T20:00:00Z,1787688000,198.579,198.706,198.546,198.561,2872,8,0
2026-08-26T00:00:00Z,1787702400,198.558,198.613,197.848,197.912,7486,21,0
2026-08-26T04:00:00Z,1787716800,197.911,197.983,197.874,197.979,7195,21,0
2026-08-26T08:00:00Z,1787731200,197.976,198.0,197.702,197.875,8539,21,0
2026-08-26T12:00:00Z,1787745600,197.875,197.954,197.693,197.849,12345,21,0
2026-08-26T16:00:00Z,1787760000,197.846,197.958,197.783,197.826,7711,18,0
2026-08-26T20:00:00Z,1787774400,197.825,197.86,197.727,197.797,2807,21,0
2026-08-27T00:00:00Z,1787788800,197.797,197.873,197.602,197.81,5598,21,0
2026-08-27T04:00:00Z,1787803200,197.81,197.877,197.664,197.713,5507,21,0
2026-08-27T08:00:00Z,1787817600,197.712,198.041,197.651,197.985,8106,21,0
2026-08-27T12:00:00Z,1787832000,197.988,198.466,197.939,198.178,10345,21,0
2026-08-27T16:00:00Z,1787846400,198.18,198.235,198.099,198.182,5240,18,0
2026-08-27T20:00:00Z,1787860800,198.183,198.246,198.147,198.182,1949,19,0
2026-08-28T00:00:00Z,1787875200,198.183,198.251,198.12,198.137,4708,21,0
2026-08-28T04:00:00Z,1787889600,198.135,198.256,198.005,198.229,6296,21,0
2026-08-28T08:00:00Z,1787904000,198.229,198.766,198.223,198.613,8253,21,0
2026-08-28T12:00:00Z,1787918400,198.61,198.632,197.811,197.862,16664,21,0
2026-08-28T16:00:00Z,1787932800,197.859,197.991,197.683,197.817,9432,19,0
2026-08-28T20:00:00Z,1787947200,197.817,197.82,197.689,197.743,1186,37,0
