time_utc,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-18T18:30:00Z,1787077800,0.94029,0.94032,0.94028,0.94028,24,16,0
2026-08-18T18:35:00Z,1787078100,0.94028,0.94033,0.94027,0.9403,25,16,0
2026-08-18T18:40:00Z,1787078400,0.94031,0.94039,0.94031,0.94039,40,16,0
2026-08-18T18:45:00Z,1787078700,0.94039,0.94042,0.94038,0.94042,24,16,0
2026-08-18T18:50:00Z,1787079000,0.94042,0.94047,0.94038,0.94041,24,16,0
2026-08-18T18:55:00Z,1787079300,0.94041,0.94048,0.94035,0.94037,49,16,0
2026-08-18T19:00:00Z,1787079600,0.94037,0.94049,0.94037,0.94049,38,16,0
2026-08-18T19:05:00Z,1787079900,0.94049,0.94055,0.94048,0.94048,41,16,0
2026-08-18T19:10:00Z,1787080200,0.94048,0.94048,0.94029,0.94033,64,16,0
2026-08-18T19:15:00Z,1787080500,0.94033,0.94036,0.9403,0.94035,36,16,0
2026-08-18T19:20:00Z,1787080800,0.94035,0.94037,0.94029,0.94031,26,16,0
2026-08-18T19:25:00Z,1787081100,0.94031,0.94043,0.94031,0.9404,34,16,0
2026-08-18T19:30:00Z,1787081400,0.9404,0.94049,0.94039,0.94048,42,16,0
2026-08-18T19:35:00Z,1787081700,0.94048,0.94049,0.94044,0.94048,33,16,0
2026-08-18T19:40:00Z,1787082000,0.94048,0.94048,0.94038,0.94044,34,16,0
2026-08-18T19:45:00Z,1787082300,0.94044,0.94048,0.94042,0.94046,24,16,0
2026-08-18T19:50:00Z,1787082600,0.94046,0.94048,0.94044,0.94046,23,16,0
2026-08-18T19:55:00Z,1787082900,0.94046,0.94049,0.94042,0.94044,53,16,0
2026-08-18T20:00:00Z,1787083200,0.94044,0.94045,0.94038,0.94038,32,16,0
2026-08-18T20:05:00Z,1787083500,0.94038,0.94043,0.94038,0.94043,19,16,0
2026-08-18T20:10:00Z,1787083800,0.94043,0.94044,0.94038,0.94038,16,16,0
2026-08-18T20:15:00Z,1787084100,0.94037,0.94039,0.94034,0.94034,14,16,0
2026-08-18T20:20:00Z,1787084400,0.94034,0.94039,0.94034,0.94039,16,16,0
2026-08-18T20:25:00Z,1787084700,0.94039,0.9404,0.94035,0.9404,19,16,0
2026-08-18T20:30:00Z,1787085000,0.94039,0.9404,0.94038,0.94039,15,16,0
2026-08-18T20:35:00Z,1787085300,0.94039,0.94048,0.94039,0.94047,18,16,0
2026-08-18T20:40:00Z,1787085600,0.94047,0.94048,0.94035,0.94041,22,16,0
2026-08-18T20:45:00Z,1787085900,0.94041,0.94043,0.94037,0.94037,35,16,0
2026-08-18T20:50:00Z,1787086200,0.94037,0.94041,0.94033,0.9404,32,16,0
2026-08-18T20:55:00Z,1787086500,0.9404,0.9404,0.94023,0.94026,88,11,0
2026-08-18T21:00:00Z,1787086800,0.94029,0.94035,0.94024,0.94028,28,20,0
2026-08-18T21:05:00Z,1787087100,0.94027,0.94035,0.94021,0.94033,43,20,0
2026-08-18T21:10:00Z,1787087400,0.9403,0.94033,0.94005,0.94005,29,20,0
2026-08-18T21:15:00Z,1787087700,0.94003,0.94016,0.94003,0.94009,25,56,0
2026-08-18T21:20:00Z,1787088000,0.9401,0.94012,0.93996,0.94005,54,67,0
2026-08-18T21:25:00Z,1787088300,0.94004,0.94009,0.94001,0.94008,28,90,0
2026-08-18T21:30:00Z,1787088600,0.94009,0.9402,0.94004,0.9402,40,78,0
2026-08-18T21:35:00Z,1787088900,0.94022,0.94039,0.94022,0.94037,40,45,0
2026-08-18T21:40:00Z,1787089200,0.94038,0.94041,0.93977,0.93977,85,42,0
2026-08-18T21:45:00Z,1787089500,0.93976,0.94018,0.93976,0.94003,186,56,0
2026-08-18T21:50:00Z,1787089800,0.94001,0.94011,0.93982,0.93988,155,59,0
2026-08-18T21:55:00Z,1787090100,0.93988,0.93988,0.93915,0.93922,128,76,0
2026-08-18T22:00:00Z,1787090400,0.93984,0.94023,0.93984,0.94022,49,25,0
2026-08-18T22:05:00Z,1787090700,0.94021,0.94026,0.94017,0.94026,22,25,0
2026-08-18T22:10:00Z,1787091000,0.94025,0.9403,0.94019,0.94019,40,25,0
2026-08-18T22:15:00Z,1787091300,0.94019,0.94024,0.94017,0.94023,22,25,0
2026-08-18T22:20:00Z,1787091600,0.94023,0.94027,0.94023,0.94027,17,25,0
2026-08-18T22:25:00Z,1787091900,0.94027,0.94027,0.94025,0.94025,17,25,0
2026-08-18T22:30:00Z,1787092200,0.94025,0.9403,0.94025,0.94028,12,25,0
