time_utc,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-18T18:30:00Z,1787077800,184.752,184.768,184.749,184.751,168,16,0
2026-08-18T18:45:00Z,1787078700,184.75,184.758,184.735,184.744,199,16,0
2026-08-18T19:00:00Z,1787079600,184.744,184.76,184.728,184.75,265,16,0
2026-08-18T19:15:00Z,1787080500,184.751,184.775,184.742,184.769,220,16,0
2026-08-18T19:30:00Z,1787081400,184.77,184.812,184.767,184.799,273,16,0
2026-08-18T19:45:00Z,1787082300,184.799,184.799,184.756,184.763,320,16,0
2026-08-18T20:00:00Z,1787083200,184.763,184.773,184.742,184.749,158,34,0
2026-08-18T20:15:00Z,1787084100,184.749,184.763,184.741,184.758,127,34,0
2026-08-18T20:30:00Z,1787085000,184.758,184.782,184.757,184.773,137,34,0
2026-08-18T20:45:00Z,1787085900,184.778,184.779,184.743,184.744,155,34,0
2026-08-18T21:00:00Z,1787086800,184.737,184.77,184.712,184.77,89,45,0
2026-08-18T21:15:00Z,1787087700,184.77,184.804,184.761,184.792,98,52,0
2026-08-18T21:30:00Z,1787088600,184.788,184.804,184.668,184.699,182,49,0
2026-08-18T21:45:00Z,1787089500,184.699,184.737,184.675,184.713,128,46,0
2026-08-18T22:00:00Z,1787090400,184.73,184.77,184.711,184.769,140,24,0
2026-08-18T22:15:00Z,1787091300,184.769,184.773,184.758,184.759,126,24,0
2026-08-18T22:30:00Z,1787092200,184.759,184.766,184.73,184.739,124,24,0
2026-08-18T22:45:00Z,1787093100,184.739,184.752,184.732,184.732,103,24,0
2026-08-18T23:00:00Z,1787094000,184.737,184.745,184.702,184.709,183,16,0
2026-08-18T23:15:00Z,1787094900,184.712,184.727,184.705,184.713,166,16,0
2026-08-18T23:30:00Z,1787095800,184.713,184.715,184.687,184.709,224,16,0
2026-08-18T23:45:00Z,1787096700,184.711,184.719,184.665,184.693,218,16,0
2026-08-19T00:00:00Z,1787097600,184.693,184.693,184.633,184.644,634,16,0
2026-08-19T00:15:00Z,1787098500,184.647,184.684,184.641,184.68,420,16,0
2026-08-19T00:30:00Z,1787099400,184.681,184.681,184.58,184.592,406,16,0
2026-08-19T00:45:00Z,1787100300,184.592,184.607,184.54,184.557,689,16,0
2026-08-19T01:00:00Z,1787101200,184.56,184.597,184.543,184.573,513,16,0
2026-08-19T01:15:00Z,1787102100,184.576,184.615,184.551,184.593,480,16,0
2026-08-19T01:30:00Z,1787103000,184.591,184.612,184.572,184.6,349,16,0
2026-08-19T01:45:00Z,1787103900,184.599,184.619,184.584,184.59,300,16,0
2026-08-19T02:00:00Z,1787104800,184.59,184.616,184.562,184.57,355,16,0
2026-08-19T02:15:00Z,1787105700,184.57,184.606,184.54,184.576,543,16,0
2026-08-19T02:30:00Z,1787106600,184.576,184.608,184.526,184.559,423,16,0
2026-08-19T02:45:00Z,1787107500,184.561,184.588,184.543,184.574,451,16,0
2026-08-19T03:00:00Z,1787108400,184.575,184.637,184.572,184.632,335,16,0
2026-08-19T03:15:00Z,1787109300,184.632,184.638,184.61,184.627,232,16,0
2026-08-19T03:30:00Z,1787110200,184.627,184.664,184.617,184.634,305,16,0
2026-08-19T03:45:00Z,1787111100,184.633,184.658,184.624,184.625,241,16,0
2026-08-19T04:00:00Z,1787112000,184.626,184.633,184.604,184.622,225,16,0
2026-08-19T04:15:00Z,1787112900,184.622,184.626,184.57,184.574,259,16,0
2026-08-19T04:30:00Z,1787113800,184.574,184.592,184.483,184.586,529,16,0
2026-08-19T04:45:00Z,1787114700,184.586,184.595,184.535,184.587,372,16,0
2026-08-19T05:00:00Z,1787115600,184.587,184.591,184.546,184.567,326,16,0
2026-08-19T05:15:00Z,1787116500,184.568,184.575,184.513,184.54,357,16,0
2026-08-19T05:30:00Z,1787117400,184.54,184.541,184.466,184.528,464,16,0
2026-08-19T05:45:00Z,1787118300,184.529,184.623,184.507,184.59,468,16,0
2026-08-19T06:00:00Z,1787119200,184.591,184.6,184.533,184.551,480,16,0
2026-08-19T06:15:00Z,1787120100,184.551,184.618,184.53,184.58,666,16,0
2026-08-19T06:30:00Z,1787121000,184.579,184.61,184.5,184.61,577,16,0
2026-08-19T06:45:00Z,1787121900,184.61,184.673,184.593,184.628,605,16,0
2026-08-19T07:00:00Z,1787122800,184.626,184.649,184.538,184.584,598,16,0
2026-08-19T07:15:00Z,1787123700,184.581,184.629,184.539,184.583,500,16,0
2026-08-19T07:30:00Z,1787124600,184.583,184.601,184.51,184.544,512,16,0
2026-08-19T07:45:00Z,1787125500,184.543,184.593,184.527,184.572,497,16,0
2026-08-19T08:00:00Z,1787126400,184.573,184.636,184.551,184.608,671,16,0
2026-08-19T08:15:00Z,1787127300,184.607,184.608,184.512,184.524,586,16,0
2026-08-19T08:30:00Z,1787128200,184.523,184.57,184.493,184.551,509,16,0
2026-08-19T08:45:00Z,1787129100,184.551,184.615,184.543,184.6,536,16,0
2026-08-19T09:00:00Z,1787130000,184.602,184.693,184.602,184.693,475,16,0
2026-08-19T09:15:00Z,1787130900,184.693,184.721,184.66,184.71,501,16,0
2026-08-19T09:30:00Z,1787131800,184.71,184.71,184.628,184.662,503,16,0
2026-08-19T09:45:00Z,1787132700,184.662,184.674,184.628,184.639,492,16,0
2026-08-19T10:00:00Z,1787133600,184.638,184.665,184.601,184.646,517,16,0
2026-08-19T10:15:00Z,1787134500,184.648,184.671,184.614,184.664,501,16,0
2026-08-19T10:30:00Z,1787135400,184.667,184.702,184.636,184.679,422,16,0
2026-08-19T10:45:00Z,1787136300,184.678,184.686,184.633,184.652,427,16,0
2026-08-19T11:00:00Z,1787137200,184.653,184.683,184.646,184.668,482,16,0
2026-08-19T11:15:00Z,1787138100,184.668,184.676,184.622,184.638,400,16,0
2026-08-19T11:30:00Z,1787139000,184.639,184.658,184.623,184.639,462,16,0
2026-08-19T11:45:00Z,1787139900,184.637,184.654,184.612,184.644,498,16,0
2026-08-19T12:00:00Z,1787140800,184.644,184.655,184.603,184.651,452,16,0
2026-08-19T12:15:00Z,1787141700,184.652,184.655,184.505,184.583,718,16,0
2026-08-19T12:30:00Z,1787142600,184.586,184.587,183.925,184.259,3960,16,0
2026-08-19T12:45:00Z,1787143500,184.263,184.535,184.178,184.527,1729,16,0
2026-08-19T13:00:00Z,1787144400,184.53,184.554,184.426,184.485,1383,16,0
2026-08-19T13:15:00Z,1787145300,184.487,184.607,184.461,184.585,1190,16,0
2026-08-19T13:30:00Z,1787146200,184.582,184.709,184.572,184.705,1136,16,0
2026-08-19T13:45:00Z,1787147100,184.707,184.745,184.613,184.674,1096,16,0
2026-08-19T14:00:00Z,1787148000,184.671,184.699,184.636,184.637,986,16,0
2026-08-19T14:15:00Z,1787148900,184.639,184.735,184.614,184.735,979,16,0
2026-08-19T14:30:00Z,1787149800,184.735,184.735,184.537,184.658,1507,16,0
2026-08-19T14:45:00Z,1787150700,184.654,184.72,184.632,184.677,1118,16,0
2026-08-19T15:00:00Z,1787151600,184.679,184.799,184.679,184.755,911,16,0
2026-08-19T15:15:00Z,1787152500,184.751,184.801,184.715,184.796,793,16,0
2026-08-19T15:30:00Z,1787153400,184.8,184.84,184.772,184.798,694,16,0
2026-08-19T15:45:00Z,1787154300,184.799,184.831,184.786,184.815,591,16,0
2026-08-19T16:00:00Z,1787155200,184.814,184.885,184.806,184.867,704,16,0
2026-08-19T16:15:00Z,1787156100,184.867,184.877,184.823,184.827,548,16,0
2026-08-19T16:30:00Z,1787157000,184.825,184.86,184.812,184.826,488,16,0
2026-08-19T16:45:00Z,1787157900,184.827,184.829,184.762,184.804,563,16,0
2026-08-19T17:00:00Z,1787158800,184.808,184.886,184.79,184.871,593,16,0
2026-08-19T17:15:00Z,1787159700,184.873,184.885,184.808,184.865,433,16,0
2026-08-19T17:30:00Z,1787160600,184.865,184.896,184.845,184.882,423,16,0
2026-08-19T17:45:00Z,1787161500,184.88,184.936,184.88,184.902,459,16,0
2026-08-19T18:00:00Z,1787162400,184.899,184.92,184.798,184.833,762,16,0
2026-08-19T18:15:00Z,1787163300,184.832,184.851,184.796,184.807,514,16,0
2026-08-19T18:30:00Z,1787164200,184.804,184.813,184.748,184.796,551,16,0
2026-08-19T18:45:00Z,1787165100,184.796,184.809,184.76,184.807,505,16,0
2026-08-19T19:00:00Z,1787166000,184.808,184.847,184.777,184.784,495,16,0
2026-08-19T19:15:00Z,1787166900,184.786,184.802,184.672,184.686,543,16,0
2026-08-19T19:30:00Z,1787167800,184.684,184.739,184.678,184.732,705,16,0
2026-08-19T19:45:00Z,1787168700,184.731,184.753,184.588,184.662,559,16,0
2026-08-19T20:00:00Z,1787169600,184.662,184.668,184.594,184.646,288,34,0
2026-08-19T20:15:00Z,1787170500,184.652,184.712,184.646,184.705,166,35,0
2026-08-19T20:30:00Z,1787171400,184.705,184.73,184.668,184.685,258,35,0
2026-08-19T20:45:00Z,1787172300,184.685,184.69,184.501,184.507,177,35,0
2026-08-19T21:00:00Z,1787173200,184.507,184.507,184.451,184.451,66,240,0
2026-08-19T21:15:00Z,1787174100,184.451,184.601,184.437,184.6,121,50,0
2026-08-19T21:30:00Z,1787175000,184.6,184.607,184.594,184.606,131,44,0
2026-08-19T21:45:00Z,1787175900,184.606,184.645,184.584,184.598,169,46,0
2026-08-19T22:00:00Z,1787176800,184.62,184.644,184.563,184.597,271,24,0
2026-08-19T22:15:00Z,1787177700,184.597,184.598,184.571,184.584,172,24,0
2026-08-19T22:30:00Z,1787178600,184.585,184.64,184.585,184.638,212,24,0
2026-08-19T22:45:00Z,1787179500,184.638,184.695,184.63,184.683,246,24,0
2026-08-19T23:00:00Z,1787180400,184.686,184.738,184.686,184.723,346,16,0
2026-08-19T23:15:00Z,1787181300,184.723,184.737,184.693,184.722,281,16,0
2026-08-19T23:30:00Z,1787182200,184.721,184.752,184.702,184.725,274,16,0
2026-08-19T23:45:00Z,1787183100,184.725,184.757,184.715,184.751,304,16,0
2026-08-20T00:00:00Z,1787184000,184.751,184.891,184.718,184.878,862,16,0
2026-08-20T00:15:00Z,1787184900,184.875,184.875,184.819,184.854,609,16,0
2026-08-20T00:30:00Z,1787185800,184.854,184.886,184.811,184.886,565,16,0
2026-08-20T00:45:00Z,1787186700,184.889,184.933,184.869,184.916,709,16,0
2026-08-20T01:00:00Z,1787187600,184.916,184.986,184.915,184.96,620,16,0
2026-08-20T01:15:00Z,1787188500,184.957,184.992,184.953,184.966,525,16,0
2026-08-20T01:30:00Z,1787189400,184.963,185.077,184.937,185.075,549,16,0
2026-08-20T01:45:00Z,1787190300,185.075,185.112,185.048,185.102,653,16,0
2026-08-20T02:00:00Z,1787191200,185.099,185.116,184.955,185.066,1116,16,0
2026-08-20T02:15:00Z,1787192100,185.067,185.067,184.984,184.993,509,16,0
2026-08-20T02:30:00Z,1787193000,184.995,184.997,184.954,184.983,416,16,0
2026-08-20T02:45:00Z,1787193900,184.985,185.0,184.966,184.975,358,16,0
2026-08-20T03:00:00Z,1787194800,184.975,185.022,184.966,184.967,363,16,0
2026-08-20T03:15:00Z,1787195700,184.968,185.017,184.96,184.993,397,16,0
2026-08-20T03:30:00Z,1787196600,184.993,185.033,184.992,185.027,379,16,0
2026-08-20T03:45:00Z,1787197500,185.025,185.056,185.008,185.034,339,16,0
2026-08-20T04:00:00Z,1787198400,185.034,185.06,185.021,185.036,259,16,0
2026-08-20T04:15:00Z,1787199300,185.037,185.061,185.018,185.038,251,16,0
2026-08-20T04:30:00Z,1787200200,185.039,185.106,185.031,185.1,299,16,0
2026-08-20T04:45:00Z,1787201100,185.1,185.198,185.042,185.092,545,16,0
2026-08-20T05:00:00Z,1787202000,185.095,185.147,185.088,185.113,485,16,0
2026-08-20T05:15:00Z,1787202900,185.113,185.199,185.102,185.194,437,16,0
2026-08-20T05:30:00Z,1787203800,185.194,185.238,185.188,185.23,480,16,0
2026-08-20T05:45:00Z,1787204700,185.231,185.233,185.166,185.218,498,16,0
2026-08-20T06:00:00Z,1787205600,185.217,185.233,185.157,185.18,565,16,0
2026-08-20T06:15:00Z,1787206500,185.179,185.187,185.052,185.086,622,16,0
2026-08-20T06:30:00Z,1787207400,185.087,185.125,185.063,185.09,497,16,0
2026-08-20T06:45:00Z,1787208300,185.09,185.163,185.081,185.089,689,16,0
2026-08-20T07:00:00Z,1787209200,185.089,185.089,184.973,185.028,744,16,0
2026-08-20T07:15:00Z,1787210100,185.028,185.154,185.026,185.147,634,16,0
2026-08-20T07:30:00Z,1787211000,185.146,185.25,185.146,185.243,776,16,0
2026-08-20T07:45:00Z,1787211900,185.242,185.275,185.191,185.249,639,16,0
2026-08-20T08:00:00Z,1787212800,185.252,185.285,185.2,185.229,675,16,0
2026-08-20T08:15:00Z,1787213700,185.232,185.286,185.197,185.284,594,16,0
2026-08-20T08:30:00Z,1787214600,185.286,185.412,185.253,185.391,676,16,0
2026-08-20T08:45:00Z,1787215500,185.392,185.461,185.365,185.409,612,16,0
2026-08-20T09:00:00Z,1787216400,185.41,185.41,185.344,185.396,641,16,0
2026-08-20T09:15:00Z,1787217300,185.397,185.399,185.23,185.304,875,16,0
2026-08-20T09:30:00Z,1787218200,185.303,185.308,185.246,185.286,681,16,0
2026-08-20T09:45:00Z,1787219100,185.286,185.385,185.267,185.36,564,16,0
2026-08-20T10:00:00Z,1787220000,185.364,185.374,185.293,185.316,554,16,0
2026-08-20T10:15:00Z,1787220900,185.317,185.336,185.285,185.308,470,16,0
2026-08-20T10:30:00Z,1787221800,185.307,185.333,185.27,185.322,505,16,0
2026-08-20T10:45:00Z,1787222700,185.323,185.379,185.316,185.357,599,16,0
2026-08-20T11:00:00Z,1787223600,185.358,185.46,185.358,185.414,639,16,0
2026-08-20T11:15:00Z,1787224500,185.415,185.443,185.391,185.392,537,16,0
2026-08-20T11:30:00Z,1787225400,185.392,185.43,185.349,185.405,634,16,0
2026-08-20T11:45:00Z,1787226300,185.405,185.439,185.344,185.382,715,16,0
2026-08-20T12:00:00Z,1787227200,185.386,185.479,185.375,185.445,797,16,0
2026-08-20T12:15:00Z,1787228100,185.442,185.455,185.389,185.409,691,16,0
2026-08-20T12:30:00Z,1787229000,185.4,185.469,185.4,185.421,781,16,0
2026-08-20T12:45:00Z,1787229900,185.42,185.442,185.383,185.426,731,16,0
2026-08-20T13:00:00Z,1787230800,185.423,185.456,185.377,185.397,729,16,0
2026-08-20T13:15:00Z,1787231700,185.395,185.403,185.34,185.378,638,16,0
2026-08-20T13:30:00Z,1787232600,185.375,185.433,185.348,185.379,781,16,0
2026-08-20T13:45:00Z,1787233500,185.383,185.44,185.365,185.426,832,16,0
2026-08-20T14:00:00Z,1787234400,185.428,185.487,185.409,185.422,715,16,0
2026-08-20T14:15:00Z,1787235300,185.422,185.463,185.402,185.445,755,16,0
