time_utc,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-18T18:30:00Z,1787077800,216.033,216.042,216.022,216.022,282,21,0
2026-08-18T18:45:00Z,1787078700,216.023,216.031,215.978,215.994,285,21,0
2026-08-18T19:00:00Z,1787079600,215.995,216.022,215.972,216.013,338,21,0
2026-08-18T19:15:00Z,1787080500,216.015,216.036,215.997,216.029,288,21,0
2026-08-18T19:30:00Z,1787081400,216.029,216.07,216.025,216.057,325,21,0
2026-08-18T19:45:00Z,1787082300,216.057,216.058,216.001,216.018,392,21,0
2026-08-18T20:00:00Z,1787083200,216.017,216.027,215.993,216.002,246,66,0
2026-08-18T20:15:00Z,1787084100,216.001,216.003,215.946,215.967,214,65,0
2026-08-18T20:30:00Z,1787085000,215.966,215.998,215.966,215.996,218,66,0
2026-08-18T20:45:00Z,1787085900,215.996,216.015,215.97,215.983,305,66,0
2026-08-18T21:00:00Z,1787086800,215.981,215.985,215.894,215.894,203,68,0
2026-08-18T21:15:00Z,1787087700,215.893,215.91,215.867,215.908,266,221,0
2026-08-18T21:30:00Z,1787088600,215.905,215.929,215.892,215.923,307,180,0
2026-08-18T21:45:00Z,1787089500,215.926,215.929,215.878,215.878,325,180,0
2026-08-18T22:00:00Z,1787090400,215.948,216.007,215.922,216.004,302,60,0
2026-08-18T22:15:00Z,1787091300,216.004,216.004,215.974,215.987,236,60,0
2026-08-18T22:30:00Z,1787092200,215.987,215.991,215.939,215.951,190,60,0
2026-08-18T22:45:00Z,1787093100,215.952,215.979,215.952,215.972,179,60,0
2026-08-18T23:00:00Z,1787094000,215.985,215.991,215.941,215.965,268,21,0
2026-08-18T23:15:00Z,1787094900,215.965,215.968,215.94,215.949,191,21,0
2026-08-18T23:30:00Z,1787095800,215.95,215.966,215.937,215.962,259,21,0
2026-08-18T23:45:00Z,1787096700,215.963,215.982,215.931,215.971,300,21,0
2026-08-19T00:00:00Z,1787097600,215.966,215.966,215.887,215.898,643,21,0
2026-08-19T00:15:00Z,1787098500,215.9,215.924,215.875,215.919,468,21,0
2026-08-19T00:30:00Z,1787099400,215.919,215.929,215.821,215.835,501,21,0
2026-08-19T00:45:00Z,1787100300,215.835,215.843,215.701,215.732,743,21,0
2026-08-19T01:00:00Z,1787101200,215.732,215.787,215.716,215.734,585,21,0
2026-08-19T01:15:00Z,1787102100,215.735,215.779,215.694,215.763,535,21,0
2026-08-19T01:30:00Z,1787103000,215.76,215.774,215.697,215.726,452,21,0
2026-08-19T01:45:00Z,1787103900,215.725,215.772,215.72,215.745,412,21,0
2026-08-19T02:00:00Z,1787104800,215.743,215.78,215.723,215.735,430,21,0
2026-08-19T02:15:00Z,1787105700,215.735,215.778,215.687,215.716,582,21,0
2026-08-19T02:30:00Z,1787106600,215.715,215.778,215.694,215.728,463,21,0
2026-08-19T02:45:00Z,1787107500,215.727,215.771,215.707,215.768,459,21,0
2026-08-19T03:00:00Z,1787108400,215.765,215.795,215.758,215.79,371,21,0
2026-08-19T03:15:00Z,1787109300,215.79,215.814,215.783,215.81,338,21,0
2026-08-19T03:30:00Z,1787110200,215.807,215.858,215.796,215.813,360,21,0
2026-08-19T03:45:00Z,1787111100,215.811,215.835,215.802,215.803,278,21,0
2026-08-19T04:00:00Z,1787112000,215.804,215.81,215.776,215.797,277,21,0
