time_utc,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-18T18:30:00Z,1787077800,93.726,93.735,93.718,93.721,59,14,0
2026-08-18T18:35:00Z,1787078100,93.721,93.736,93.721,93.732,69,14,0
2026-08-18T18:40:00Z,1787078400,93.732,93.732,93.712,93.725,74,14,0
2026-08-18T18:45:00Z,1787078700,93.725,93.728,93.716,93.72,63,14,0
2026-08-18T18:50:00Z,1787079000,93.72,93.723,93.705,93.706,48,14,0
2026-08-18T18:55:00Z,1787079300,93.705,93.723,93.7,93.716,78,14,0
2026-08-18T19:00:00Z,1787079600,93.716,93.716,93.694,93.707,55,14,0
2026-08-18T19:05:00Z,1787079900,93.707,93.714,93.706,93.712,65,14,0
2026-08-18T19:10:00Z,1787080200,93.714,93.735,93.713,93.729,105,14,0
2026-08-18T19:15:00Z,1787080500,93.729,93.73,93.72,93.723,56,14,0
2026-08-18T19:20:00Z,1787080800,93.723,93.738,93.722,93.73,59,14,0
2026-08-18T19:25:00Z,1787081100,93.731,93.747,93.729,93.746,51,14,0
2026-08-18T19:30:00Z,1787081400,93.745,93.75,93.738,93.75,61,14,0
2026-08-18T19:35:00Z,1787081700,93.75,93.764,93.75,93.764,57,14,0
2026-08-18T19:40:00Z,1787082000,93.764,93.772,93.753,93.758,82,14,0
2026-08-18T19:45:00Z,1787082300,93.758,93.761,93.742,93.749,67,14,0
2026-08-18T19:50:00Z,1787082600,93.749,93.756,93.747,93.75,58,14,0
2026-08-18T19:55:00Z,1787082900,93.75,93.76,93.742,93.748,103,14,0
2026-08-18T20:00:00Z,1787083200,93.747,93.765,93.742,93.746,65,14,0
2026-08-18T20:05:00Z,1787083500,93.747,93.751,93.738,93.742,41,14,0
2026-08-18T20:10:00Z,1787083800,93.742,93.747,93.734,93.735,47,14,0
2026-08-18T20:15:00Z,1787084100,93.735,93.736,93.728,93.731,28,14,0
2026-08-18T20:20:00Z,1787084400,93.731,93.736,93.72,93.731,58,14,0
2026-08-18T20:25:00Z,1787084700,93.73,93.735,93.729,93.735,37,14,0
2026-08-18T20:30:00Z,1787085000,93.737,93.745,93.737,93.745,42,14,0
2026-08-18T20:35:00Z,1787085300,93.745,93.748,93.728,93.736,57,14,0
2026-08-18T20:40:00Z,1787085600,93.736,93.74,93.734,93.739,37,14,0
2026-08-18T20:45:00Z,1787085900,93.742,93.751,93.737,93.75,82,14,0
2026-08-18T20:50:00Z,1787086200,93.75,93.762,93.745,93.761,35,14,0
2026-08-18T20:55:00Z,1787086500,93.762,93.767,93.746,93.748,55,14,0
2026-08-18T21:00:00Z,1787086800,93.749,93.749,93.749,93.749,1,43,0
2026-08-18T21:05:00Z,1787087100,93.748,93.754,93.747,93.754,15,43,0
2026-08-18T21:10:00Z,1787087400,93.756,93.76,93.752,93.758,50,43,0
2026-08-18T21:15:00Z,1787087700,93.759,93.759,93.729,93.729,65,43,0
2026-08-18T21:20:00Z,1787088000,93.73,93.746,93.729,93.739,31,49,0
2026-08-18T21:25:00Z,1787088300,93.74,93.741,93.723,93.726,36,52,0
2026-08-18T21:30:00Z,1787088600,93.727,93.747,93.726,93.745,59,49,0
2026-08-18T21:35:00Z,1787088900,93.745,93.75,93.739,93.75,42,98,0
2026-08-18T21:40:00Z,1787089200,93.75,93.753,93.734,93.735,58,78,0
2026-08-18T21:45:00Z,1787089500,93.733,93.733,93.696,93.696,68,91,0
2026-08-18T21:50:00Z,1787089800,93.694,93.702,93.693,93.699,44,116,0
2026-08-18T21:55:00Z,1787090100,93.699,93.712,93.699,93.7,46,92,0
2026-08-18T22:00:00Z,1787090400,93.717,93.761,93.7,93.736,69,44,0
2026-08-18T22:05:00Z,1787090700,93.735,93.745,93.734,93.745,23,39,0
2026-08-18T22:10:00Z,1787091000,93.745,93.765,93.744,93.762,53,35,0
2026-08-18T22:15:00Z,1787091300,93.762,93.777,93.758,93.776,55,32,0
2026-08-18T22:20:00Z,1787091600,93.775,93.783,93.771,93.772,58,30,0
2026-08-18T22:25:00Z,1787091900,93.772,93.78,93.765,93.778,36,29,0
2026-08-18T22:30:00Z,1787092200,93.779,93.779,93.758,93.768,50,28,0
2026-08-18T22:35:00Z,1787092500,93.766,93.77,93.758,93.758,35,28,0
2026-08-18T22:40:00Z,1787092800,93.758,93.758,93.75,93.756,24,27,0
2026-08-18T22:45:00Z,1787093100,93.756,93.785,93.756,93.776,45,27,0
2026-08-18T22:50:00Z,1787093400,93.775,93.778,93.763,93.763,36,27,0
2026-08-18T22:55:00Z,1787093700,93.763,93.764,93.759,93.763,20,26,0
2026-08-18T23:00:00Z,1787094000,93.769,93.776,93.758,93.769,97,14,0
2026-08-18T23:05:00Z,1787094300,93.769,93.779,93.76,93.76,57,14,0
2026-08-18T23:10:00Z,1787094600,93.76,93.76,93.744,93.75,46,14,0
2026-08-18T23:15:00Z,1787094900,93.75,93.751,93.735,93.736,45,14,0
2026-08-18T23:20:00Z,1787095200,93.736,93.737,93.725,93.726,42,14,0
2026-08-18T23:25:00Z,1787095500,93.727,93.728,93.708,93.717,53,14,0
2026-08-18T23:30:00Z,1787095800,93.719,93.722,93.704,93.709,76,14,0
2026-08-18T23:35:00Z,1787096100,93.708,93.714,93.701,93.705,64,14,0
2026-08-18T23:40:00Z,1787096400,93.705,93.706,93.693,93.699,63,14,0
2026-08-18T23:45:00Z,1787096700,93.701,93.721,93.697,93.719,79,14,0
2026-08-18T23:50:00Z,1787097000,93.719,93.72,93.692,93.694,79,14,0
2026-08-18T23:55:00Z,1787097300,93.694,93.696,93.676,93.695,110,14,0
