time_utc,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-18T18:30:00Z,1787077800,159.584,159.625,159.584,159.622,221,10,0
2026-08-18T18:45:00Z,1787078700,159.621,159.63,159.596,159.599,253,10,0
2026-08-18T19:00:00Z,1787079600,159.599,159.623,159.571,159.592,334,10,0
2026-08-18T19:15:00Z,1787080500,159.592,159.609,159.571,159.607,276,10,0
2026-08-18T19:30:00Z,1787081400,159.607,159.618,159.575,159.605,306,10,0
2026-08-18T19:45:00Z,1787082300,159.605,159.646,159.591,159.64,350,10,0
2026-08-18T20:00:00Z,1787083200,159.634,159.67,159.634,159.644,205,10,0
2026-08-18T20:15:00Z,1787084100,159.645,159.656,159.64,159.648,192,10,0
2026-08-18T20:30:00Z,1787085000,159.648,159.651,159.634,159.651,178,10,0
2026-08-18T20:45:00Z,1787085900,159.651,159.654,159.608,159.608,177,10,0
2026-08-18T21:00:00Z,1787086800,159.608,159.627,159.588,159.618,46,26,0
2026-08-18T21:15:00Z,1787087700,159.617,159.622,159.604,159.612,35,26,0
2026-08-18T21:30:00Z,1787088600,159.612,159.623,159.538,159.601,98,26,0
2026-08-18T21:45:00Z,1787089500,159.596,159.601,159.591,159.598,34,26,0
2026-08-18T22:00:00Z,1787090400,159.608,159.638,159.576,159.638,127,10,0
2026-08-18T22:15:00Z,1787091300,159.638,159.638,159.615,159.627,233,10,0
2026-08-18T22:30:00Z,1787092200,159.627,159.628,159.585,159.609,184,10,0
2026-08-18T22:45:00Z,1787093100,159.61,159.614,159.582,159.591,149,10,0
2026-08-18T23:00:00Z,1787094000,159.591,159.591,159.535,159.561,285,10,0
2026-08-18T23:15:00Z,1787094900,159.561,159.584,159.552,159.58,175,10,0
2026-08-18T23:30:00Z,1787095800,159.58,159.603,159.555,159.6,263,10,0
2026-08-18T23:45:00Z,1787096700,159.6,159.603,159.537,159.553,238,10,0
2026-08-19T00:00:00Z,1787097600,159.553,159.553,159.432,159.449,895,10,0
2026-08-19T00:15:00Z,1787098500,159.452,159.498,159.43,159.492,585,10,0
2026-08-19T00:30:00Z,1787099400,159.492,159.532,159.436,159.471,574,10,0
2026-08-19T00:45:00Z,1787100300,159.471,159.478,159.388,159.459,1034,10,0
2026-08-19T01:00:00Z,1787101200,159.458,159.502,159.45,159.497,601,10,0
2026-08-19T01:15:00Z,1787102100,159.495,159.521,159.481,159.495,519,10,0
2026-08-19T01:30:00Z,1787103000,159.494,159.495,159.438,159.461,424,10,0
2026-08-19T01:45:00Z,1787103900,159.46,159.489,159.438,159.448,372,10,0
2026-08-19T02:00:00Z,1787104800,159.448,159.467,159.381,159.4,437,10,0
2026-08-19T02:15:00Z,1787105700,159.4,159.416,159.311,159.362,845,10,0
2026-08-19T02:30:00Z,1787106600,159.362,159.398,159.288,159.316,559,10,0
2026-08-19T02:45:00Z,1787107500,159.314,159.371,159.293,159.359,542,10,0
2026-08-19T03:00:00Z,1787108400,159.359,159.396,159.334,159.383,369,10,0
2026-08-19T03:15:00Z,1787109300,159.383,159.393,159.372,159.386,289,10,0
2026-08-19T03:30:00Z,1787110200,159.386,159.438,159.371,159.409,374,10,0
2026-08-19T03:45:00Z,1787111100,159.409,159.432,159.407,159.422,263,10,0
2026-08-19T04:00:00Z,1787112000,159.422,159.422,159.381,159.385,281,10,0
2026-08-19T04:15:00Z,1787112900,159.385,159.395,159.347,159.35,411,10,0
2026-08-19T04:30:00Z,1787113800,159.349,159.376,159.229,159.36,771,10,0
2026-08-19T04:45:00Z,1787114700,159.36,159.36,159.293,159.327,474,10,0
2026-08-19T05:00:00Z,1787115600,159.328,159.328,159.285,159.302,392,10,0
2026-08-19T05:15:00Z,1787116500,159.299,159.304,159.235,159.27,509,10,0
2026-08-19T05:30:00Z,1787117400,159.27,159.274,159.202,159.25,614,10,0
2026-08-19T05:45:00Z,1787118300,159.251,159.323,159.217,159.295,553,10,0
2026-08-19T06:00:00Z,1787119200,159.289,159.292,159.201,159.239,576,10,0
2026-08-19T06:15:00Z,1787120100,159.24,159.24,159.15,159.155,751,10,0
2026-08-19T06:30:00Z,1787121000,159.153,159.207,159.112,159.206,689,10,0
2026-08-19T06:45:00Z,1787121900,159.205,159.252,159.191,159.238,678,10,0
2026-08-19T07:00:00Z,1787122800,159.237,159.248,159.163,159.222,713,10,0
2026-08-19T07:15:00Z,1787123700,159.218,159.279,159.172,159.198,604,10,0
2026-08-19T07:30:00Z,1787124600,159.197,159.204,159.123,159.173,629,10,0
2026-08-19T07:45:00Z,1787125500,159.172,159.196,159.133,159.166,610,10,0
2026-08-19T08:00:00Z,1787126400,159.165,159.18,159.073,159.099,783,10,0
2026-08-19T08:15:00Z,1787127300,159.1,159.128,159.05,159.094,595,10,0
2026-08-19T08:30:00Z,1787128200,159.093,159.107,159.056,159.067,533,10,0
2026-08-19T08:45:00Z,1787129100,159.07,159.168,159.067,159.163,523,10,0
2026-08-19T09:00:00Z,1787130000,159.163,159.229,159.157,159.227,556,10,0
2026-08-19T09:15:00Z,1787130900,159.226,159.263,159.157,159.178,571,10,0
2026-08-19T09:30:00Z,1787131800,159.177,159.179,159.091,159.126,656,10,0
2026-08-19T09:45:00Z,1787132700,159.126,159.133,159.063,159.087,658,10,0
2026-08-19T10:00:00Z,1787133600,159.087,159.108,159.013,159.047,559,10,0
2026-08-19T10:15:00Z,1787134500,159.047,159.064,158.995,159.054,602,10,0
