Trade DateTime,Events DateTime,Result,4H Event DateTime,15m Event DateTime,5m Event DateTime,4H Origin Time,15m Origin Time,5m Zone Alert Origin Time,5m Trigger Bar Open Time,Signal DateTime,Signal Bar Close,Strategy,Symbol,Broker Symbol,Direction,Model,Signal ID,Position ID,Order Ticket,Entry Deal Ticket,Exit Deal Tickets,Entry Price,Exit Price,Lots,Initial Stop,Initial Target,Exit DateTime,Last Exit DateTime,Exit Reason,Realized P/L,Unrealized P/L,Reward/Risk,Target R,Loss at SL,Spread,Entry Zone ID,Destination Zone ID,Stop Basis,Event Types,Source
2026-08-18T22:00:23.219000+00:00,2026-08-14T08:35:22.209907+00:00; 2026-08-17T11:15:11.749668+00:00; 2026-08-17T21:20:20.360668+00:00; 2026-08-18T13:00:10.442806+00:00; 2026-08-18T16:30:17.615618+00:00; 2026-08-18T17:10:18.248649+00:00; 2026-08-18T21:40:22.680302+00:00; 2026-08-18T22:00:16.239745+00:00; 2026-08-18T22:00:22.113234+00:00; 2026-08-18T22:00:22.291328+00:00; 2026-08-18T22:00:23.219000+00:00; 2026-08-19T02:16:04.671000+00:00,Loss,2026-08-14T08:00:00+00:00,2026-08-18T16:30:00+00:00,2026-08-18T21:40:00+00:00; 2026-08-18T22:00:00+00:00,2026-08-13T04:00:00+00:00,2026-08-18T15:30:00+00:00,2026-08-18T21:40:00+00:00,2026-08-18T21:55:00+00:00,2026-08-18T22:00:22.113234+00:00,2026-08-18T22:00:00+00:00,s146,USDCAD,USDCADm,long,aggressive_liquidation,776697cd5ed29270,2182526932,2182526932,2017727646,2018624705,1.38964,1.38844,0.19,1.3884400000000001,1.39479,2026-08-19T02:16:04.671000+00:00,2026-08-19T02:16:04.671000+00:00,stop_loss,-1727.81,,1.25,1.25,1365.03,0.00016000000000016001,15m-1787067000-1-f30153,4h-1786593600--1-33ac3d,15m_zone_distal_plus_buffer,2026-08-14T08:35:22.209907+00:00=s146_4h_events.log:destination_available; 2026-08-17T11:15:11.749668+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-17T21:20:20.360668+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T13:00:10.442806+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T16:30:17.615618+00:00=s146_15m_events.log:entry_zone_formed; 2026-08-18T17:10:18.248649+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T21:40:22.680302+00:00=s146_5m_events.log:zone_alert; 2026-08-18T22:00:16.239745+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T22:00:22.113234+00:00=s146_trades.log:signal_found; 2026-08-18T22:00:22.291328+00:00=s146_5m_events.log:order_placed; 2026-08-18T22:00:23.219000+00:00=broker_deal:2017727646; 2026-08-19T02:16:04.671000+00:00=broker_deal:2018624705,MT5 broker history + all S146 journals
2026-08-18T22:15:19.223000+00:00,2026-08-14T12:00:16.181913+00:00; 2026-08-17T12:10:09.729640+00:00; 2026-08-18T09:10:08.472628+00:00; 2026-08-18T22:00:15.779264+00:00; 2026-08-18T22:15:12.767499+00:00; 2026-08-18T22:15:12.770498+00:00; 2026-08-18T22:15:18.100642+00:00; 2026-08-18T22:15:18.278918+00:00; 2026-08-18T22:15:19.223000+00:00; 2026-08-18T22:37:25.491000+00:00,Loss,2026-08-14T12:00:00+00:00,2026-08-18T22:00:00+00:00,2026-08-18T22:15:00+00:00,2026-08-13T16:00:00+00:00,2026-08-18T21:30:00+00:00,2026-08-18T22:15:00+00:00,2026-08-18T22:10:00+00:00,2026-08-18T22:15:18.100642+00:00,2026-08-18T22:15:00+00:00,s146,GBPUSD,GBPUSDm,short,aggressive_liquidation,6ba4fbc6c78a27e3,2182576578,2182576578,2017758044,2017816652,1.35312,1.35337,0.14,1.35337,1.34952,2026-08-18T22:37:25.491000+00:00,2026-08-18T22:37:25.491000+00:00,stop_loss,-368.19,,1.25,1.25,509.14,9.999999999976694e-05,15m-1787088600--1-633f21,4h-1786636800-1-9bd316,swept_wick_plus_buffer,2026-08-14T12:00:16.181913+00:00=s146_4h_events.log:destination_available; 2026-08-17T12:10:09.729640+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T09:10:08.472628+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T22:00:15.779264+00:00=s146_15m_events.log:entry_zone_formed; 2026-08-18T22:15:12.767499+00:00=s146_5m_events.log:zone_alert; 2026-08-18T22:15:12.770498+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T22:15:18.100642+00:00=s146_trades.log:signal_found; 2026-08-18T22:15:18.278918+00:00=s146_5m_events.log:order_placed; 2026-08-18T22:15:19.223000+00:00=broker_deal:2017758044; 2026-08-18T22:37:25.491000+00:00=broker_deal:2017816652,MT5 broker history + all S146 journals
2026-08-18T22:15:24.395000+00:00,2026-08-14T08:35:22.068472+00:00; 2026-08-17T14:25:12.761534+00:00; 2026-08-18T10:10:20.401008+00:00; 2026-08-18T21:30:18.312268+00:00; 2026-08-18T22:05:09.287871+00:00; 2026-08-18T22:15:18.518494+00:00; 2026-08-18T22:15:23.260112+00:00; 2026-08-18T22:15:23.446315+00:00; 2026-08-18T22:15:24.395000+00:00; 2026-08-18T23:29:18.055789+00:00; 2026-08-18T23:29:18.231229+00:00; 2026-08-18T23:29:19.077000+00:00; 2026-08-18T23:43:24.321498+00:00; 2026-08-19T00:00:01.539000+00:00,Profit,2026-08-14T08:00:00+00:00,2026-08-18T21:30:00+00:00,2026-08-18T22:05:00+00:00; 2026-08-18T22:15:00+00:00,2026-08-14T00:00:00+00:00,2026-08-18T20:45:00+00:00,2026-08-18T22:05:00+00:00,2026-08-18T22:10:00+00:00,2026-08-18T22:15:23.260112+00:00,2026-08-18T22:15:00+00:00,s146,AUDUSD,AUDUSDm,short,aggressive_liquidation,c7bbdb80b254b9be,2182576747,2182576747,2017758161,2017944170;2018025265,0.70845,0.7082,0.27,0.7087,0.70631,2026-08-19T00:00:01.539000+00:00,2026-08-19T00:00:01.539000+00:00,stop_loss,796.71,,1.25,1.25,883.63,9.00000000000345e-05,15m-1787085900--1-204991,4h-1786665600-1-c64153,liquidity_pool_plus_buffer,2026-08-14T08:35:22.068472+00:00=s146_4h_events.log:destination_available; 2026-08-17T14:25:12.761534+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T10:10:20.401008+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T21:30:18.312268+00:00=s146_15m_events.log:entry_zone_formed; 2026-08-18T22:05:09.287871+00:00=s146_5m_events.log:zone_alert; 2026-08-18T22:15:18.518494+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T22:15:23.260112+00:00=s146_trades.log:signal_found; 2026-08-18T22:15:23.446315+00:00=s146_5m_events.log:order_placed; 2026-08-18T22:15:24.395000+00:00=broker_deal:2017758161; 2026-08-18T23:29:18.055789+00:00=s146_5m_events.log:partial_banked; 2026-08-18T23:29:18.231229+00:00=s146_5m_events.log:ladder_stop_moved; 2026-08-18T23:29:19.077000+00:00=broker_deal:2017944170; 2026-08-18T23:43:24.321498+00:00=s146_5m_events.log:ladder_stop_moved; 2026-08-19T00:00:01.539000+00:00=broker_deal:2018025265,MT5 broker history + all S146 journals
2026-08-18T22:50:28.818000+00:00,2026-08-18T08:20:24.054637+00:00; 2026-08-18T21:00:21.564174+00:00; 2026-08-18T22:05:10.180585+00:00; 2026-08-18T22:50:22.544908+00:00; 2026-08-18T22:50:27.662258+00:00; 2026-08-18T22:50:27.842086+00:00; 2026-08-18T22:50:28.818000+00:00; 2026-08-18T23:33:34.390000+00:00,Loss,2026-08-18T04:00:00+00:00,2026-08-18T21:00:00+00:00,2026-08-18T22:05:00+00:00; 2026-08-18T22:50:00+00:00,2026-08-17T16:00:00+00:00,2026-08-18T20:30:00+00:00,2026-08-18T22:05:00+00:00,2026-08-18T22:45:00+00:00,2026-08-18T22:50:27.662258+00:00,2026-08-18T22:50:00+00:00,s146,GBPNZD,GBPNZDm,short,aggressive_liquidation,e5116b9b7f4177fb,2182685523,2182685523,2017848486,2017964609,2.30246,2.3045,0.14,2.3045,2.29499,2026-08-18T23:33:34.390000+00:00,2026-08-18T23:33:34.390000+00:00,stop_loss,-1764.63,,1.25,1.25,1865.46,0.000580000000000247,15m-1787085000--1-8e5430,4h-1786982400-1-501384,liquidity_pool_plus_buffer,2026-08-18T08:20:24.054637+00:00=s146_4h_events.log:destination_available; 2026-08-18T21:00:21.564174+00:00=s146_15m_events.log:entry_zone_formed; 2026-08-18T22:05:10.180585+00:00=s146_5m_events.log:zone_alert; 2026-08-18T22:50:22.544908+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T22:50:27.662258+00:00=s146_trades.log:signal_found; 2026-08-18T22:50:27.842086+00:00=s146_5m_events.log:order_placed; 2026-08-18T22:50:28.818000+00:00=broker_deal:2017848486; 2026-08-18T23:33:34.390000+00:00=broker_deal:2017964609,MT5 broker history + all S146 journals
2026-08-18T23:00:22.837000+00:00,2026-08-14T08:35:21.716843+00:00; 2026-08-17T13:15:11.441335+00:00; 2026-08-18T20:15:16.620622+00:00; 2026-08-18T22:55:13.626056+00:00; 2026-08-18T23:00:15.332125+00:00; 2026-08-18T23:00:21.671939+00:00; 2026-08-18T23:00:21.847986+00:00; 2026-08-18T23:00:22.837000+00:00; 2026-08-19T00:07:12.082000+00:00,Loss,2026-08-14T08:00:00+00:00,2026-08-18T20:15:00+00:00,2026-08-18T22:55:00+00:00; 2026-08-18T23:00:00+00:00,2026-08-13T16:00:00+00:00,2026-08-18T19:30:00+00:00,2026-08-18T22:55:00+00:00,2026-08-18T22:55:00+00:00,2026-08-18T23:00:21.671939+00:00,2026-08-18T23:00:00+00:00,s146,EURUSD,EURUSDm,short,aggressive_liquidation,0365eb1af2975c50,2182707037,2182707037,2017865603,2018062033,1.15762,1.1581,0.16,1.1581,1.15305,2026-08-19T00:07:12.082000+00:00,2026-08-19T00:07:12.082000+00:00,stop_loss,-807.97,,1.25,1.25,953.1,7.999999999985796e-05,15m-1787081400--1-ea0fc1,4h-1786636800-1-5e303b,liquidity_pool_plus_buffer,2026-08-14T08:35:21.716843+00:00=s146_4h_events.log:destination_available; 2026-08-17T13:15:11.441335+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T20:15:16.620622+00:00=s146_15m_events.log:entry_zone_formed; 2026-08-18T22:55:13.626056+00:00=s146_5m_events.log:zone_alert; 2026-08-18T23:00:15.332125+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-18T23:00:21.671939+00:00=s146_trades.log:signal_found; 2026-08-18T23:00:21.847986+00:00=s146_5m_events.log:order_placed; 2026-08-18T23:00:22.837000+00:00=broker_deal:2017865603; 2026-08-19T00:07:12.082000+00:00=broker_deal:2018062033,MT5 broker history + all S146 journals
2026-08-19T00:00:24.204000+00:00,2026-08-18T08:20:24.805643+00:00; 2026-08-18T22:30:15.459840+00:00; 2026-08-19T00:00:17.066361+00:00; 2026-08-19T00:00:17.071457+00:00; 2026-08-19T00:00:22.971389+00:00; 2026-08-19T00:00:23.150017+00:00; 2026-08-19T00:00:24.204000+00:00; 2026-08-19T00:26:10.147000+00:00; 2026-08-19T10:45:19.387035+00:00,Loss,2026-08-18T08:00:00+00:00,2026-08-18T22:30:00+00:00,2026-08-19T00:00:00+00:00,2026-08-17T20:00:00+00:00,2026-08-18T21:45:00+00:00,2026-08-19T00:00:00+00:00,2026-08-18T23:55:00+00:00,2026-08-19T00:00:22.971389+00:00,2026-08-19T00:00:00+00:00,s146,NZDCAD,NZDCADm,long,aggressive_liquidation,4b5bc5ffc5abf299,2182892317,2182892317,2018027105,2018136519,0.81626,0.81555,0.32,0.81555,0.81894,2026-08-19T00:26:10.147000+00:00,2026-08-19T00:26:10.147000+00:00,stop_loss,-1720.27,,1.25,1.25,1505.45,0.000180000000000069,15m-1787089500-1-ef232f,4h-1786996800--1-008e4b,liquidity_pool_plus_buffer,2026-08-18T08:20:24.805643+00:00=s146_4h_events.log:destination_available; 2026-08-18T22:30:15.459840+00:00=s146_15m_events.log:entry_zone_formed; 2026-08-19T00:00:17.066361+00:00=s146_5m_events.log:zone_alert; 2026-08-19T00:00:17.071457+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-19T00:00:22.971389+00:00=s146_trades.log:signal_found; 2026-08-19T00:00:23.150017+00:00=s146_5m_events.log:order_placed; 2026-08-19T00:00:24.204000+00:00=broker_deal:2018027105; 2026-08-19T00:26:10.147000+00:00=broker_deal:2018136519; 2026-08-19T10:45:19.387035+00:00=s146_4h_events.log:destination_selected_as_target,MT5 broker history + all S146 journals
2026-08-19T09:50:23.805000+00:00,2026-08-19T08:00:23.890607+00:00; 2026-08-19T09:15:20.960849+00:00; 2026-08-19T09:25:08.637806+00:00; 2026-08-19T09:50:15.726386+00:00; 2026-08-19T09:50:22.624960+00:00; 2026-08-19T09:50:22.873959+00:00; 2026-08-19T09:50:23.805000+00:00; 2026-08-19T12:22:33.667000+00:00,Loss,2026-08-19T08:00:00+00:00,2026-08-19T09:15:00+00:00,2026-08-19T09:25:00+00:00; 2026-08-19T09:50:00+00:00,2026-08-18T12:00:00+00:00,2026-08-19T08:15:00+00:00,2026-08-19T09:25:00+00:00,2026-08-19T09:45:00+00:00,2026-08-19T09:50:22.624960+00:00,2026-08-19T09:50:00+00:00,s146,GBPJPY,GBPJPYm,long,aggressive_liquidation,5740bc93081f18da,2185775167,2185775167,2020637406,2021531835,215.729,215.63,0.14,215.63,216.013,2026-08-19T12:22:33.667000+00:00,2026-08-19T12:22:33.667000+00:00,stop_loss,-913.7,,1.25,1.25,910.48,0.020999999999986585,15m-1787127300-1-8cfb2d,4h-1787054400--1-469a82,liquidity_pool_plus_buffer,2026-08-19T08:00:23.890607+00:00=s146_4h_events.log:destination_available; 2026-08-19T09:15:20.960849+00:00=s146_15m_events.log:entry_zone_formed; 2026-08-19T09:25:08.637806+00:00=s146_5m_events.log:zone_alert; 2026-08-19T09:50:15.726386+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-19T09:50:22.624960+00:00=s146_trades.log:signal_found; 2026-08-19T09:50:22.873959+00:00=s146_5m_events.log:order_placed; 2026-08-19T09:50:23.805000+00:00=broker_deal:2020637406; 2026-08-19T12:22:33.667000+00:00=broker_deal:2021531835,MT5 broker history + all S146 journals
2026-08-19T10:10:22.561000+00:00,2026-08-18T20:00:11.995810+00:00; 2026-08-19T09:00:16.703684+00:00; 2026-08-19T10:05:12.875206+00:00; 2026-08-19T10:10:15.619927+00:00; 2026-08-19T10:10:21.360349+00:00; 2026-08-19T10:10:21.610096+00:00; 2026-08-19T10:10:22.561000+00:00; 2026-08-19T10:23:19.365000+00:00; 2026-08-19T22:10:21.080174+00:00; 2026-08-20T09:30:20.314858+00:00,Loss,2026-08-18T20:00:00+00:00,2026-08-19T09:00:00+00:00,2026-08-19T10:05:00+00:00; 2026-08-19T10:10:00+00:00,2026-08-18T08:00:00+00:00,2026-08-19T08:30:00+00:00,2026-08-19T10:05:00+00:00,2026-08-19T10:05:00+00:00,2026-08-19T10:10:21.360349+00:00,2026-08-19T10:10:00+00:00,s146,AUDJPY,AUDJPYm,long,aggressive_liquidation,dbd2c2bafc59e5ad,2185883123,2185883123,2020738038,2020830389,112.595,112.552,0.26,112.552,113.438,2026-08-19T10:23:19.365000+00:00,2026-08-19T10:23:19.365000+00:00,stop_loss,-738.07,,1.25,1.25,964.75,0.01099999999999568,15m-1787128200-1-f6600a,4h-1787040000--1-012ee8,liquidity_pool_plus_buffer,2026-08-18T20:00:11.995810+00:00=s146_4h_events.log:destination_available; 2026-08-19T09:00:16.703684+00:00=s146_15m_events.log:entry_zone_formed; 2026-08-19T10:05:12.875206+00:00=s146_5m_events.log:zone_alert; 2026-08-19T10:10:15.619927+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-19T10:10:21.360349+00:00=s146_trades.log:signal_found; 2026-08-19T10:10:21.610096+00:00=s146_5m_events.log:order_placed; 2026-08-19T10:10:22.561000+00:00=broker_deal:2020738038; 2026-08-19T10:23:19.365000+00:00=broker_deal:2020830389; 2026-08-19T22:10:21.080174+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-20T09:30:20.314858+00:00=s146_4h_events.log:destination_selected_as_target,MT5 broker history + all S146 journals
2026-08-19T11:10:17.746000+00:00,2026-08-18T16:00:15.872481+00:00; 2026-08-19T11:00:23.586990+00:00; 2026-08-19T11:05:09.835995+00:00; 2026-08-19T11:10:11.504613+00:00; 2026-08-19T11:10:16.480497+00:00; 2026-08-19T11:10:16.726528+00:00; 2026-08-19T11:10:17.746000+00:00; 2026-08-19T11:41:31.063000+00:00; 2026-08-19T12:10:19.484420+00:00,Loss,2026-08-18T16:00:00+00:00,2026-08-19T11:00:00+00:00,2026-08-19T11:05:00+00:00; 2026-08-19T11:10:00+00:00,2026-08-18T08:00:00+00:00,2026-08-19T10:30:00+00:00,2026-08-19T11:05:00+00:00,2026-08-19T11:05:00+00:00,2026-08-19T11:10:16.480497+00:00,2026-08-19T11:10:00+00:00,s146,XAUUSD,XAUUSDm,long,conservative_mss,6cedfc8cda7e1121,2186230352,2186230352,2021063790,2021247430,4372.33,4365.485,0.04,4365.485,4395.566,2026-08-19T11:41:31.063000+00:00,2026-08-19T11:41:31.063000+00:00,stop_loss,-2872.19,,1.25,1.25,3541.66,0.2600000000002183,15m-1787135400-1-07b3da,4h-1787040000--1-f6c62d,liquidity_pool_plus_buffer,2026-08-18T16:00:15.872481+00:00=s146_4h_events.log:destination_available; 2026-08-19T11:00:23.586990+00:00=s146_15m_events.log:entry_zone_formed; 2026-08-19T11:05:09.835995+00:00=s146_5m_events.log:zone_alert; 2026-08-19T11:10:11.504613+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-19T11:10:16.480497+00:00=s146_trades.log:signal_found; 2026-08-19T11:10:16.726528+00:00=s146_5m_events.log:order_placed; 2026-08-19T11:10:17.746000+00:00=broker_deal:2021063790; 2026-08-19T11:41:31.063000+00:00=broker_deal:2021247430; 2026-08-19T12:10:19.484420+00:00=s146_4h_events.log:destination_selected_as_target,MT5 broker history + all S146 journals
2026-08-19T11:50:18.275000+00:00,2026-08-18T16:00:13.809948+00:00; 2026-08-19T08:15:14.451184+00:00; 2026-08-19T11:45:09.851404+00:00; 2026-08-19T11:50:11.348238+00:00; 2026-08-19T11:50:16.961463+00:00; 2026-08-19T11:50:17.208420+00:00; 2026-08-19T11:50:18.275000+00:00; 2026-08-19T12:33:17.341553+00:00; 2026-08-19T12:33:17.593547+00:00; 2026-08-19T12:33:18.454000+00:00; 2026-08-19T12:33:48.409629+00:00; 2026-08-19T12:34:19.520468+00:00; 2026-08-19T12:36:44.524556+00:00; 2026-08-19T12:37:15.134521+00:00; 2026-08-19T12:41:49.305000+00:00,Profit,2026-08-18T16:00:00+00:00,2026-08-19T08:15:00+00:00,2026-08-19T11:45:00+00:00; 2026-08-19T11:50:00+00:00,2026-08-18T08:00:00+00:00,2026-08-19T07:30:00+00:00,2026-08-19T11:45:00+00:00,2026-08-19T11:45:00+00:00,2026-08-19T11:50:16.961463+00:00,2026-08-19T11:50:00+00:00,s146,AUDUSD,AUDUSDm,long,aggressive_liquidation,d320ac37ca126ff3,2186496691,2186496691,2021318437,2021621682;2021899322,0.70748,0.70907,0.26,0.70684,0.71019,2026-08-19T12:41:49.305000+00:00,2026-08-19T12:41:49.305000+00:00,stop_loss,3285.93,,1.25,1.25,1774.6,8.999999999992347e-05,15m-1787124600-1-274d9f,4h-1787040000--1-5afc27,liquidity_pool_plus_buffer,2026-08-18T16:00:13.809948+00:00=s146_4h_events.log:destination_available; 2026-08-19T08:15:14.451184+00:00=s146_15m_events.log:entry_zone_formed; 2026-08-19T11:45:09.851404+00:00=s146_5m_events.log:zone_alert; 2026-08-19T11:50:11.348238+00:00=s146_4h_events.log:destination_selected_as_target; 2026-08-19T11:50:16.961463+00:00=s146_trades.log:signal_found; 2026-08-19T11:50:17.208420+00:00=s146_5m_events.log:order_placed; 2026-08-19T11:50:18.275000+00:00=broker_deal:2021318437; 2026-08-19T12:33:17.341553+00:00=s146_5m_events.log:partial_banked; 2026-08-19T12:33:17.593547+00:00=s146_5m_events.log:ladder_stop_moved; 2026-08-19T12:33:18.454000+00:00=broker_deal:2021621682; 2026-08-19T12:33:48.409629+00:00=s146_5m_events.log:ladder_stop_moved; 2026-08-19T12:34:19.520468+00:00=s146_5m_events.log:ladder_stop_moved; 2026-08-19T12:36:44.524556+00:00=s146_5m_events.log:ladder_stop_moved; 2026-08-19T12:37:15.134521+00:00=s146_5m_events.log:ladder_stop_moved; 2026-08-19T12:41:49.305000+00:00=broker_deal:2021899322,MT5 broker history + all S146 journals
