Trade Key,Position ID,Order Ticket,Symbol,Broker Symbol,Direction,Result,Entry Time UTC,Exit Or Archive End UTC,Timeframe,Bars CSV,Entry Bar Open UTC,Exit Bar Open UTC,Entry Bar Row Index,Exit Bar Row Index,Bars In Trade Window
2182526932,2182526932,2182526932,USDCAD,USDCADm,long,Loss,2026-08-18T22:00:23.219000+00:00,2026-08-19T02:16:04.671000+00:00,4h,bars/USDCAD/4h/USDCAD_4h.csv,2026-08-18T20:00:00+00:00,2026-08-19T00:00:00+00:00,0,1,2
2182526932,2182526932,2182526932,USDCAD,USDCADm,long,Loss,2026-08-18T22:00:23.219000+00:00,2026-08-19T02:16:04.671000+00:00,15m,bars/USDCAD/15m/USDCAD_15m.csv,2026-08-18T22:00:00+00:00,2026-08-19T02:15:00+00:00,14,31,18
2182526932,2182526932,2182526932,USDCAD,USDCADm,long,Loss,2026-08-18T22:00:23.219000+00:00,2026-08-19T02:16:04.671000+00:00,5m,bars/USDCAD/5m/USDCAD_5m.csv,2026-08-18T22:00:00+00:00,2026-08-19T02:15:00+00:00,42,93,52
2182576578,2182576578,2182576578,GBPUSD,GBPUSDm,short,Loss,2026-08-18T22:15:19.223000+00:00,2026-08-18T22:37:25.491000+00:00,4h,bars/GBPUSD/4h/GBPUSD_4h.csv,2026-08-18T20:00:00+00:00,2026-08-18T20:00:00+00:00,0,0,1
2182576578,2182576578,2182576578,GBPUSD,GBPUSDm,short,Loss,2026-08-18T22:15:19.223000+00:00,2026-08-18T22:37:25.491000+00:00,15m,bars/GBPUSD/15m/GBPUSD_15m.csv,2026-08-18T22:15:00+00:00,2026-08-18T22:30:00+00:00,15,16,2
2182576578,2182576578,2182576578,GBPUSD,GBPUSDm,short,Loss,2026-08-18T22:15:19.223000+00:00,2026-08-18T22:37:25.491000+00:00,5m,bars/GBPUSD/5m/GBPUSD_5m.csv,2026-08-18T22:15:00+00:00,2026-08-18T22:35:00+00:00,44,48,5
2182576747,2182576747,2182576747,AUDUSD,AUDUSDm,short,Profit,2026-08-18T22:15:24.395000+00:00,2026-08-19T00:00:01.539000+00:00,4h,bars/AUDUSD/4h/AUDUSD_4h.csv,2026-08-18T20:00:00+00:00,2026-08-19T00:00:00+00:00,0,1,2
2182576747,2182576747,2182576747,AUDUSD,AUDUSDm,short,Profit,2026-08-18T22:15:24.395000+00:00,2026-08-19T00:00:01.539000+00:00,15m,bars/AUDUSD/15m/AUDUSD_15m.csv,2026-08-18T22:15:00+00:00,2026-08-19T00:00:00+00:00,15,22,8
2182576747,2182576747,2182576747,AUDUSD,AUDUSDm,short,Profit,2026-08-18T22:15:24.395000+00:00,2026-08-19T00:00:01.539000+00:00,5m,bars/AUDUSD/5m/AUDUSD_5m.csv,2026-08-18T22:15:00+00:00,2026-08-19T00:00:00+00:00,45,66,22
2182685523,2182685523,2182685523,GBPNZD,GBPNZDm,short,Loss,2026-08-18T22:50:28.818000+00:00,2026-08-18T23:33:34.390000+00:00,4h,bars/GBPNZD/4h/GBPNZD_4h.csv,2026-08-18T20:00:00+00:00,2026-08-18T20:00:00+00:00,0,0,1
2182685523,2182685523,2182685523,GBPNZD,GBPNZDm,short,Loss,2026-08-18T22:50:28.818000+00:00,2026-08-18T23:33:34.390000+00:00,15m,bars/GBPNZD/15m/GBPNZD_15m.csv,2026-08-18T22:45:00+00:00,2026-08-18T23:30:00+00:00,17,20,4
2182685523,2182685523,2182685523,GBPNZD,GBPNZDm,short,Loss,2026-08-18T22:50:28.818000+00:00,2026-08-18T23:33:34.390000+00:00,5m,bars/GBPNZD/5m/GBPNZD_5m.csv,2026-08-18T22:50:00+00:00,2026-08-18T23:30:00+00:00,51,59,9
2182707037,2182707037,2182707037,EURUSD,EURUSDm,short,Loss,2026-08-18T23:00:22.837000+00:00,2026-08-19T00:07:12.082000+00:00,4h,bars/EURUSD/4h/EURUSD_4h.csv,2026-08-18T20:00:00+00:00,2026-08-19T00:00:00+00:00,0,1,2
2182707037,2182707037,2182707037,EURUSD,EURUSDm,short,Loss,2026-08-18T23:00:22.837000+00:00,2026-08-19T00:07:12.082000+00:00,15m,bars/EURUSD/15m/EURUSD_15m.csv,2026-08-18T23:00:00+00:00,2026-08-19T00:00:00+00:00,18,22,5
2182707037,2182707037,2182707037,EURUSD,EURUSDm,short,Loss,2026-08-18T23:00:22.837000+00:00,2026-08-19T00:07:12.082000+00:00,5m,bars/EURUSD/5m/EURUSD_5m.csv,2026-08-18T23:00:00+00:00,2026-08-19T00:05:00+00:00,54,67,14
2182892317,2182892317,2182892317,NZDCAD,NZDCADm,long,Loss,2026-08-19T00:00:24.204000+00:00,2026-08-19T00:26:10.147000+00:00,4h,bars/NZDCAD/4h/NZDCAD_4h.csv,2026-08-19T00:00:00+00:00,2026-08-19T00:00:00+00:00,1,1,1
2182892317,2182892317,2182892317,NZDCAD,NZDCADm,long,Loss,2026-08-19T00:00:24.204000+00:00,2026-08-19T00:26:10.147000+00:00,15m,bars/NZDCAD/15m/NZDCAD_15m.csv,2026-08-19T00:00:00+00:00,2026-08-19T00:15:00+00:00,22,23,2
2182892317,2182892317,2182892317,NZDCAD,NZDCADm,long,Loss,2026-08-19T00:00:24.204000+00:00,2026-08-19T00:26:10.147000+00:00,5m,bars/NZDCAD/5m/NZDCAD_5m.csv,2026-08-19T00:00:00+00:00,2026-08-19T00:25:00+00:00,65,70,6
2185775167,2185775167,2185775167,GBPJPY,GBPJPYm,long,Loss,2026-08-19T09:50:23.805000+00:00,2026-08-19T12:22:33.667000+00:00,4h,bars/GBPJPY/4h/GBPJPY_4h.csv,2026-08-19T08:00:00+00:00,2026-08-19T12:00:00+00:00,3,4,2
2185775167,2185775167,2185775167,GBPJPY,GBPJPYm,long,Loss,2026-08-19T09:50:23.805000+00:00,2026-08-19T12:22:33.667000+00:00,15m,bars/GBPJPY/15m/GBPJPY_15m.csv,2026-08-19T09:45:00+00:00,2026-08-19T12:15:00+00:00,61,71,11
2185775167,2185775167,2185775167,GBPJPY,GBPJPYm,long,Loss,2026-08-19T09:50:23.805000+00:00,2026-08-19T12:22:33.667000+00:00,5m,bars/GBPJPY/5m/GBPJPY_5m.csv,2026-08-19T09:50:00+00:00,2026-08-19T12:20:00+00:00,183,213,31
