time_utc,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-02T21:00:00+00:00,1785704400,112.144,112.3,112.129,112.3,173,55,0
2026-08-02T21:15:00+00:00,1785705300,112.3,112.418,112.287,112.406,279,50,0
2026-08-02T21:30:00+00:00,1785706200,112.407,112.422,112.358,112.415,253,31,0
2026-08-02T21:45:00+00:00,1785707100,112.415,112.446,112.366,112.416,397,29,0
2026-08-02T22:00:00+00:00,1785708000,112.392,112.407,112.011,112.075,468,44,0
2026-08-02T22:15:00+00:00,1785708900,112.076,112.363,112.069,112.215,522,44,0
2026-08-02T22:30:00+00:00,1785709800,112.211,112.303,112.166,112.221,440,43,0
2026-08-02T22:45:00+00:00,1785710700,112.221,112.271,112.107,112.261,374,42,0
2026-08-02T23:00:00+00:00,1785711600,112.277,112.469,112.111,112.436,1805,11,0
2026-08-02T23:15:00+00:00,1785712500,112.435,112.634,112.425,112.538,1156,11,0
2026-08-02T23:30:00+00:00,1785713400,112.536,112.649,112.471,112.625,963,11,0
2026-08-02T23:45:00+00:00,1785714300,112.626,112.649,112.444,112.451,879,11,0
2026-08-03T00:00:00+00:00,1785715200,112.449,112.626,112.441,112.614,1570,11,0
2026-08-03T00:15:00+00:00,1785716100,112.616,112.645,111.729,111.812,4424,11,0
2026-08-03T00:30:00+00:00,1785717000,111.814,111.839,110.926,110.968,6192,11,0
2026-08-03T00:45:00+00:00,1785717900,110.966,111.429,110.83,111.348,7515,11,0
2026-08-03T01:00:00+00:00,1785718800,111.35,111.54,110.843,111.348,6525,11,0
2026-08-03T01:15:00+00:00,1785719700,111.346,111.455,111.241,111.374,2621,11,0
2026-08-03T01:30:00+00:00,1785720600,111.376,111.536,111.336,111.465,1974,11,0
2026-08-03T01:45:00+00:00,1785721500,111.465,111.472,111.371,111.433,1057,11,0
2026-08-03T02:00:00+00:00,1785722400,111.433,111.612,111.433,111.531,868,11,0
2026-08-03T02:15:00+00:00,1785723300,111.532,111.545,111.46,111.503,793,11,0
2026-08-03T02:30:00+00:00,1785724200,111.502,111.521,111.343,111.467,1008,11,0
2026-08-03T02:45:00+00:00,1785725100,111.467,111.53,111.461,111.515,538,11,0
2026-08-03T03:00:00+00:00,1785726000,111.515,111.619,111.513,111.55,629,11,0
2026-08-03T03:15:00+00:00,1785726900,111.55,111.579,111.494,111.548,696,11,0
2026-08-03T03:30:00+00:00,1785727800,111.548,111.578,111.381,111.534,967,11,0
2026-08-03T03:45:00+00:00,1785728700,111.534,111.567,111.517,111.529,528,11,0
2026-08-03T04:00:00+00:00,1785729600,111.529,111.542,111.448,111.482,585,11,0
2026-08-03T04:15:00+00:00,1785730500,111.482,111.548,111.471,111.524,428,11,0
2026-08-03T04:30:00+00:00,1785731400,111.524,111.547,111.436,111.449,585,11,0
2026-08-03T04:45:00+00:00,1785732300,111.448,111.546,111.436,111.492,534,11,0
2026-08-03T05:00:00+00:00,1785733200,111.492,111.506,111.438,111.48,523,11,0
2026-08-03T05:15:00+00:00,1785734100,111.482,111.523,111.435,111.495,473,11,0
2026-08-03T05:30:00+00:00,1785735000,111.495,111.511,111.443,111.478,478,11,0
2026-08-03T05:45:00+00:00,1785735900,111.478,111.507,111.473,111.481,355,11,0
2026-08-03T06:00:00+00:00,1785736800,111.481,111.529,111.437,111.481,736,11,0
2026-08-03T06:15:00+00:00,1785737700,111.483,111.663,111.474,111.633,722,11,0
2026-08-03T06:30:00+00:00,1785738600,111.633,111.711,111.586,111.655,909,11,0
2026-08-03T06:45:00+00:00,1785739500,111.654,111.72,111.654,111.675,751,11,0
2026-08-03T07:00:00+00:00,1785740400,111.676,111.694,111.527,111.542,1033,11,0
2026-08-03T07:15:00+00:00,1785741300,111.54,111.649,111.511,111.545,1165,11,0
2026-08-03T07:30:00+00:00,1785742200,111.545,111.639,111.475,111.639,750,11,0
2026-08-03T07:45:00+00:00,1785743100,111.638,111.656,111.579,111.647,672,11,0
2026-08-03T08:00:00+00:00,1785744000,111.645,111.661,111.584,111.661,816,11,0
2026-08-03T08:15:00+00:00,1785744900,111.66,111.688,111.616,111.655,704,11,0
2026-08-03T08:30:00+00:00,1785745800,111.655,111.768,111.527,111.768,1467,11,0
2026-08-03T08:45:00+00:00,1785746700,111.768,111.796,111.712,111.795,723,11,0
2026-08-03T09:00:00+00:00,1785747600,111.797,111.837,111.753,111.791,665,11,0
2026-08-03T09:15:00+00:00,1785748500,111.791,111.811,111.731,111.81,595,11,0
2026-08-03T09:30:00+00:00,1785749400,111.81,111.933,111.792,111.895,617,11,0
2026-08-03T09:45:00+00:00,1785750300,111.895,111.91,111.742,111.869,1016,11,0
2026-08-03T10:00:00+00:00,1785751200,111.871,111.871,111.779,111.795,619,11,0
2026-08-03T10:15:00+00:00,1785752100,111.795,111.818,111.761,111.77,607,11,0
2026-08-03T10:30:00+00:00,1785753000,111.769,111.771,111.727,111.764,529,11,0
2026-08-03T10:45:00+00:00,1785753900,111.765,111.794,111.574,111.667,1114,11,0
2026-08-03T11:00:00+00:00,1785754800,111.669,111.71,111.629,111.667,713,11,0
2026-08-03T11:15:00+00:00,1785755700,111.666,111.773,111.651,111.773,532,11,0
2026-08-03T11:30:00+00:00,1785756600,111.775,111.848,111.766,111.836,472,11,0
2026-08-03T11:45:00+00:00,1785757500,111.835,111.835,111.573,111.67,1423,11,0
2026-08-03T12:00:00+00:00,1785758400,111.668,111.723,111.604,111.625,1042,11,0
2026-08-03T12:15:00+00:00,1785759300,111.626,111.681,111.619,111.656,738,11,0
2026-08-03T12:30:00+00:00,1785760200,111.656,111.748,111.649,111.726,651,11,0
2026-08-03T12:45:00+00:00,1785761100,111.726,111.745,111.654,111.702,780,11,0
2026-08-03T13:00:00+00:00,1785762000,111.704,111.735,111.68,111.687,845,11,0
2026-08-03T13:15:00+00:00,1785762900,111.688,111.689,111.399,111.471,1789,11,0
2026-08-03T13:30:00+00:00,1785763800,111.471,111.492,111.301,111.322,1642,11,0
2026-08-03T13:45:00+00:00,1785764700,111.32,111.454,111.31,111.423,1206,11,0
2026-08-03T14:00:00+00:00,1785765600,111.424,111.533,111.414,111.53,1152,11,0
2026-08-03T14:15:00+00:00,1785766500,111.531,111.531,111.31,111.5,1566,11,0
2026-08-03T14:30:00+00:00,1785767400,111.499,111.612,111.452,111.602,834,11,0
2026-08-03T14:45:00+00:00,1785768300,111.602,111.652,111.485,111.54,986,11,0
2026-08-03T15:00:00+00:00,1785769200,111.54,111.632,111.513,111.61,830,11,0
2026-08-03T15:15:00+00:00,1785770100,111.611,111.691,111.601,111.632,655,11,0
2026-08-03T15:30:00+00:00,1785771000,111.631,111.714,111.583,111.709,583,11,0
2026-08-03T15:45:00+00:00,1785771900,111.707,111.838,111.703,111.796,839,11,0
2026-08-03T16:00:00+00:00,1785772800,111.796,111.803,111.725,111.731,521,11,0
2026-08-03T16:15:00+00:00,1785773700,111.731,111.753,111.549,111.703,1029,11,0
2026-08-03T16:30:00+00:00,1785774600,111.703,111.776,111.693,111.726,481,11,0
2026-08-03T16:45:00+00:00,1785775500,111.726,111.73,111.693,111.719,335,11,0
2026-08-03T17:00:00+00:00,1785776400,111.717,111.751,111.71,111.73,276,11,0
2026-08-03T17:15:00+00:00,1785777300,111.73,111.752,111.721,111.732,256,11,0
2026-08-03T17:30:00+00:00,1785778200,111.732,111.771,111.704,111.725,278,11,0
2026-08-03T17:45:00+00:00,1785779100,111.727,111.761,111.711,111.751,276,11,0
2026-08-03T18:00:00+00:00,1785780000,111.749,111.778,111.71,111.718,436,11,0
2026-08-03T18:15:00+00:00,1785780900,111.718,111.719,111.656,111.704,518,11,0
2026-08-03T18:30:00+00:00,1785781800,111.705,111.711,111.657,111.676,633,11,0
2026-08-03T18:45:00+00:00,1785782700,111.676,111.715,111.558,111.623,897,11,0
2026-08-03T19:00:00+00:00,1785783600,111.625,111.692,111.616,111.68,508,11,0
2026-08-03T19:15:00+00:00,1785784500,111.68,111.705,111.679,111.691,214,11,0
2026-08-03T19:30:00+00:00,1785785400,111.691,111.724,111.691,111.716,233,11,0
2026-08-03T19:45:00+00:00,1785786300,111.716,111.755,111.712,111.749,289,11,0
2026-08-03T20:00:00+00:00,1785787200,111.749,111.808,111.749,111.807,222,11,0
2026-08-03T20:15:00+00:00,1785788100,111.807,111.92,111.68,111.89,588,11,0
2026-08-03T20:30:00+00:00,1785789000,111.892,111.9,111.83,111.88,378,11,0
2026-08-03T20:45:00+00:00,1785789900,111.879,111.92,111.872,111.887,319,11,0
2026-08-03T21:00:00+00:00,1785790800,111.887,111.89,111.884,111.889,27,38,0
2026-08-03T21:15:00+00:00,1785791700,111.889,111.898,111.885,111.897,65,15,0
2026-08-03T21:30:00+00:00,1785792600,111.898,111.901,111.888,111.895,115,7,0
2026-08-03T21:45:00+00:00,1785793500,111.894,111.9,111.891,111.9,123,15,0
2026-08-03T22:00:00+00:00,1785794400,111.905,112.075,111.902,112.044,217,27,0
2026-08-03T22:15:00+00:00,1785795300,112.044,112.054,112.021,112.037,163,29,0
2026-08-03T22:30:00+00:00,1785796200,112.037,112.05,111.974,112.04,214,29,0
2026-08-03T22:45:00+00:00,1785797100,112.04,112.041,112.016,112.025,174,28,0
2026-08-03T23:00:00+00:00,1785798000,112.033,112.047,111.994,112.037,321,11,0
2026-08-03T23:15:00+00:00,1785798900,112.037,112.052,111.978,112.05,209,11,0
2026-08-03T23:30:00+00:00,1785799800,112.049,112.157,112.048,112.141,404,11,0
2026-08-03T23:45:00+00:00,1785800700,112.141,112.234,112.141,112.153,633,11,0
2026-08-04T00:00:00+00:00,1785801600,112.155,112.16,112.044,112.086,950,11,0
2026-08-04T00:15:00+00:00,1785802500,112.086,112.113,111.968,112.045,835,11,0
2026-08-04T00:30:00+00:00,1785803400,112.043,112.136,112.04,112.112,640,11,0
2026-08-04T00:45:00+00:00,1785804300,112.112,112.177,112.083,112.148,1105,11,0
2026-08-04T01:00:00+00:00,1785805200,112.149,112.204,112.149,112.184,727,11,0
2026-08-04T01:15:00+00:00,1785806100,112.184,112.184,112.118,112.167,446,11,0
2026-08-04T01:30:00+00:00,1785807000,112.166,112.166,112.077,112.104,505,11,0
2026-08-04T01:45:00+00:00,1785807900,112.105,112.221,112.099,112.22,455,11,0
2026-08-04T02:00:00+00:00,1785808800,112.221,112.289,112.21,112.256,594,11,0
2026-08-04T02:15:00+00:00,1785809700,112.255,112.294,112.221,112.265,430,11,0
2026-08-04T02:30:00+00:00,1785810600,112.264,112.274,112.237,112.243,334,11,0
2026-08-04T02:45:00+00:00,1785811500,112.243,112.297,112.232,112.275,349,11,0
2026-08-04T03:00:00+00:00,1785812400,112.275,112.285,112.239,112.259,301,11,0
2026-08-04T03:15:00+00:00,1785813300,112.259,112.259,112.208,112.234,380,11,0
2026-08-04T03:30:00+00:00,1785814200,112.234,112.262,112.128,112.224,631,11,0
2026-08-04T03:45:00+00:00,1785815100,112.224,112.259,112.218,112.258,277,11,0
2026-08-04T04:00:00+00:00,1785816000,112.258,112.268,112.225,112.249,327,11,0
2026-08-04T04:15:00+00:00,1785816900,112.249,112.268,112.21,112.219,291,11,0
2026-08-04T04:30:00+00:00,1785817800,112.217,112.221,112.127,112.151,353,11,0
