trade_number,symbol,direction,model,signal_bar_open_utc,manual_result,manual_remark,remark_verdict,replay_exact,qualifying_candidates,fresh_candidates,more_extreme_candidates,logged_extremity_rank,current_market,current_stop,extreme_limit,extreme_confirmed,fresh_limit,fresh_confirmed,confluence_confirmed,actual_fill_path,actual_slippage_r,actual_pnl
1,GBPUSD,short,aggressive_liquidation,2026-08-18T09:05:00+00:00,loss,higher_zone_would_target,partially_supported,True,4,2,3,4,stop_first,stop_first,stop_first,open,stop_first,open,open,stop_first,-0.076624,-2089.79
2,GBPJPY,short,aggressive_liquidation,2026-08-18T09:50:00+00:00,loss,higher_zone_would_target,supported,True,2,0,1,2,stop_first,stop_first,target_first,stop_first,,,stop_first,stop_first,-0.182835,-1060.24
3,AUDUSD,short,aggressive_liquidation,2026-08-18T10:05:00+00:00,loss,higher_zone_would_target,partially_supported,True,4,0,3,4,stop_first,stop_first,unfilled,,,,,stop_first,-0.148581,-1078.5
4,NZDUSD,long,aggressive_liquidation,2026-08-18T10:25:00+00:00,profit,,,True,1,0,0,1,target_first,target_first,target_first,target_first,,,target_first,target_first,0.252254,1853.56
5,CADJPY,short,aggressive_liquidation,2026-08-18T10:35:00+00:00,profit,,,True,1,0,0,1,target_first,target_first,unfilled,,,,,target_first,-0.118294,1582.19
6,USDJPY,short,aggressive_liquidation,2026-08-18T11:15:00+00:00,profit,,,True,1,0,0,1,stop_first,stop_first,stop_first,,,,,stop_first,-0.305396,-312.85
7,CHFJPY,short,conservative_mss,2026-08-18T12:25:00+00:00,profit,higher_zone_better,supported,True,4,3,3,4,stop_first,stop_first,unfilled,,unfilled,,,,,
8,USDCAD,long,aggressive_liquidation,2026-08-18T12:55:00+00:00,profit,,,True,2,1,1,2,target_first,target_first,unfilled,,unfilled,,,,,
9,AUDJPY,short,conservative_mss,2026-08-18T16:10:00+00:00,profit,,,True,2,1,1,2,target_first,target_first,unfilled,,unfilled,,,target_first,-0.163733,1891.01
10,USDCAD,long,conservative_mss,2026-08-18T17:05:00+00:00,profit,lower_zone_better,supported,True,3,2,2,3,target_first,target_first,target_first,stop_first,target_first,stop_first,stop_first,stop_first,0.24716,-1093.31
11,NZDJPY,short,conservative_mss,2026-08-18T18:00:00+00:00,profit,higher_zone_better,supported,True,2,1,1,2,stop_first,stop_first,unfilled,,unfilled,,,stop_first,-0.219419,-1065.69
12,USDCAD,long,aggressive_liquidation,2026-08-18T21:55:00+00:00,profit,,,True,2,1,1,2,target_first,target_first,target_first,stop_first,target_first,stop_first,stop_first,stop_first,0.264028,-1727.81
13,GBPUSD,short,aggressive_liquidation,2026-08-18T22:10:00+00:00,loss,higher_zone_would_target,partially_supported,True,3,1,2,3,stop_first,stop_first,stop_first,stop_first,stop_first,stop_first,stop_first,stop_first,-0.282797,-368.19
14,AUDUSD,short,aggressive_liquidation,2026-08-18T22:10:00+00:00,profit,higher_zone_better,supported,True,4,3,3,4,target_first,target_first,unfilled,,unfilled,,,target_first,-0.210456,796.71
15,GBPNZD,short,aggressive_liquidation,2026-08-18T22:45:00+00:00,loss,already_highest_genuine_loss,supported,True,1,0,0,1,stop_first,unfilled,stop_first,,,,,stop_first,-0.053414,-1764.63
16,EURUSD,short,aggressive_liquidation,2026-08-18T22:55:00+00:00,profit,higher_zone_better,supported,True,2,1,1,2,stop_first,stop_first,target_first,target_first,target_first,target_first,target_first,stop_first,-0.155324,-807.97
17,NZDCAD,long,aggressive_liquidation,2026-08-18T23:55:00+00:00,loss,lower_zone_would_target,hindsight_or_unavailable,True,1,0,0,1,stop_first,stop_first,stop_first,stop_first,,,stop_first,stop_first,0.143495,-1720.27
