trade_number,symbol,direction,execution_basis,stop_basis,risk_points,spread_at_entry,spread_pct_of_risk,risk_over_atr5m,risk_over_atr15m,alert_to_confirmation_minutes,market_reached_structural_stop,stop_caused_by_spread_only,actual_result,actual_pnl
1,USDCAD,long,actual_fill,liquidity_pool_plus_buffer,61.42772499999615,0.00013999999999998142,22.791011713357477,3.2452383018865394,1.8143209915611658,5.0,True,False,Loss,-876.19
2,GBPUSD,short,counterfactual_trigger,swept_wick_plus_buffer,50.56025000000907,0.00010000000000000347,19.778383216061137,1.377127431906883,0.775294085432753,15.0,True,False,,
3,EURUSD,short,actual_fill,liquidity_pool_plus_buffer,75.30102499999636,7.999999999998916e-05,10.62402537017166,1.9522487962962565,1.4480966346152797,0.0,False,,Profit,1494.09
4,NZDJPY,short,actual_fill,liquidity_pool_plus_buffer,101.71444999998869,0.01399999999999978,13.764022712605078,3.164449555555284,2.100298377580896,35.0,False,,Profit,7545.91
5,AUDUSD,short,counterfactual_trigger,liquidity_pool_plus_buffer,66.62352499999801,8.999999999999862e-05,13.50874184456636,2.063560508849409,1.398394827586175,5.0,False,,,
6,GBPAUD,long,actual_fill,liquidity_pool_plus_buffer,214.5188500000339,0.00021000000000001803,9.789349514039667,3.2086152777781964,2.227940578635267,25.0,False,,Profit,30.72
7,AUDJPY,short,actual_fill,liquidity_pool_plus_buffer,88.67100000000505,0.011000000000001365,12.405408758219416,5.066914285714774,1.6080233160623745,85.0,False,,Loss,-249.62
8,CADJPY,short,actual_fill,liquidity_pool_plus_buffer,58.250874999998814,0.010999999999999165,18.883836508892593,2.8816687279154123,1.40363554216857,10.0,False,True,Loss,-1032.93
9,NZDCHF,short,actual_fill,liquidity_pool_plus_buffer,32.39429999999932,0.0001400000000000151,43.217479618333485,3.488616923077234,1.4306630914826672,10.0,False,True,Loss,-1369.69
10,AUDNZD,short,actual_fill,15m_zone_distal_plus_buffer,56.02144999998781,0.0001800000000000267,32.13054999470129,3.004981992336254,1.8367688524583319,60.0,False,,Loss,-453.03
11,GBPCAD,long,counterfactual_trigger,liquidity_pool_plus_buffer,84.27942500002227,0.00018000000000000042,21.35752587300552,3.3520225852284016,1.330227677565187,25.0,True,False,,
12,EURAUD,long,counterfactual_trigger,15m_zone_distal_plus_buffer,79.28994999999439,0.00017000000000005512,21.44029602743691,4.440237200000175,2.1224843212233515,165.0,True,False,,
13,USDCAD,long,counterfactual_trigger,liquidity_pool_plus_buffer,69.86950000000824,0.00045749999999995794,65.47921482190426,4.406184684685866,2.1357489082974928,5.0,True,False,,
14,GBPJPY,short,counterfactual_trigger,15m_zone_distal_plus_buffer,63.59645000000569,0.05999999999999969,94.34488874771206,1.4548207516341296,0.9029921906694351,5.0,True,False,,
15,CHFJPY,short,actual_fill,liquidity_pool_plus_buffer,84.83274999997548,0.040000000000002076,47.1516012389244,3.482869501465766,1.8076993911714418,15.0,False,True,Loss,-898.07
16,CADJPY,short,counterfactual_trigger,liquidity_pool_plus_buffer,40.491649999992774,0.033727272727270344,83.29438965138827,2.2766389558229307,1.1159116141731014,15.0,True,False,,
