time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
2021-07-02T10:00:00+00:00,2021-07-02,15:30:00,1625220000,1781.83,1788.092,1781.734,1783.23,3825,0,0
2021-07-02T10:15:00+00:00,2021-07-02,15:45:00,1625220900,1783.13,1784.22,1782.55,1783.63,626,60,0
2021-07-02T10:30:00+00:00,2021-07-02,16:00:00,1625221800,1783.6,1787.77,1783.37,1786.84,1116,0,0
2021-07-02T10:45:00+00:00,2021-07-02,16:15:00,1625222700,1786.84,1787.98,1786.84,1787.08,871,0,0
2021-07-02T11:00:00+00:00,2021-07-02,16:30:00,1625223600,1787.08,1787.97,1784.99,1786.59,1026,20,0
2021-07-02T11:15:00+00:00,2021-07-02,16:45:00,1625224500,1786.6,1787.0,1785.22,1786.03,877,60,0
2021-07-02T11:30:00+00:00,2021-07-02,17:00:00,1625225400,1786.07,1786.81,1785.55,1786.72,644,50,0
2021-07-02T11:45:00+00:00,2021-07-02,17:15:00,1625226300,1786.76,1788.75,1785.84,1785.88,1148,0,0
2021-07-02T12:00:00+00:00,2021-07-02,17:30:00,1625227200,1785.88,1786.28,1783.17,1784.41,1169,0,0
2021-07-02T12:15:00+00:00,2021-07-02,17:45:00,1625228100,1784.41,1785.66,1780.34,1780.73,1859,20,0
2021-07-02T12:30:00+00:00,2021-07-02,18:00:00,1625229000,1780.73,1793.86,1775.84,1788.56,5261,0,0
2021-07-02T12:45:00+00:00,2021-07-02,18:15:00,1625229900,1788.57,1792.93,1786.0,1789.57,4035,0,0
2021-07-02T13:00:00+00:00,2021-07-02,18:30:00,1625230800,1789.47,1795.04,1789.4,1793.01,3238,0,0
2021-07-02T13:15:00+00:00,2021-07-02,18:45:00,1625231700,1793.02,1794.34,1788.08,1788.23,2501,0,0
2021-07-02T13:30:00+00:00,2021-07-02,19:00:00,1625232600,1788.23,1790.974,1784.516,1786.396,2932,0,0
2021-07-02T13:45:00+00:00,2021-07-02,19:15:00,1625233500,1786.542,1787.187,1780.216,1785.627,2798,0,0
2021-07-02T14:00:00+00:00,2021-07-02,19:30:00,1625234400,1785.61,1786.72,1781.132,1781.668,2462,0,0
2021-07-02T14:15:00+00:00,2021-07-02,19:45:00,1625235300,1781.714,1784.104,1778.093,1783.584,2633,0,0
2021-07-02T14:30:00+00:00,2021-07-02,20:00:00,1625236200,1783.552,1784.828,1782.594,1783.824,1771,0,0
2021-07-02T14:45:00+00:00,2021-07-02,20:15:00,1625237100,1783.794,1784.281,1781.886,1782.902,1589,0,0
2021-07-02T15:00:00+00:00,2021-07-02,20:30:00,1625238000,1782.934,1784.043,1781.591,1783.694,1672,0,0
2021-07-02T15:15:00+00:00,2021-07-02,20:45:00,1625238900,1783.703,1785.79,1783.356,1784.482,1378,0,0
2021-07-02T15:30:00+00:00,2021-07-02,21:00:00,1625239800,1784.483,1785.442,1783.097,1783.789,1129,0,0
