12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.528028+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-596-1", "direction": "demand", "lower": 1.02918, "upper": 1.03005, "proximal": 1.03005, "distal": 1.02918, "origin_time": 1739232000, "confirmed_at": 1739289600, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.528028+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-682-1", "direction": "demand", "lower": 1.04016, "upper": 1.04165, "proximal": 1.04165, "distal": 1.04016, "origin_time": 1740974400, "confirmed_at": 1741003200, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.529027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-688-1", "direction": "demand", "lower": 1.04745, "upper": 1.0485, "proximal": 1.0485, "distal": 1.04745, "origin_time": 1741046400, "confirmed_at": 1741089600, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.529027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-690-1", "direction": "demand", "lower": 1.04961, "upper": 1.05436, "proximal": 1.05436, "distal": 1.04961, "origin_time": 1741089600, "confirmed_at": 1741118400, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.530029+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-693-1", "direction": "demand", "lower": 1.06017, "upper": 1.06228, "proximal": 1.06228, "distal": 1.06017, "origin_time": 1741132800, "confirmed_at": 1741161600, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.530029+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-819-1", "direction": "demand", "lower": 1.07796, "upper": 1.07954, "proximal": 1.07954, "distal": 1.07796, "origin_time": 1743566400, "confirmed_at": 1743609600, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.531027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-821-1", "direction": "demand", "lower": 1.08466, "upper": 1.08673, "proximal": 1.08673, "distal": 1.08466, "origin_time": 1743609600, "confirmed_at": 1743638400, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.531027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-856-1", "direction": "demand", "lower": 1.09129, "upper": 1.10381, "proximal": 1.10381, "distal": 1.09129, "origin_time": 1744214400, "confirmed_at": 1744300800, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.531027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-1022-1", "direction": "demand", "lower": 1.1172, "upper": 1.11886, "proximal": 1.11886, "distal": 1.1172, "origin_time": 1747612800, "confirmed_at": 1747641600, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.532027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-1073-1", "direction": "demand", "lower": 1.12615, "upper": 1.1275, "proximal": 1.1275, "distal": 1.12615, "origin_time": 1748505600, "confirmed_at": 1748534400, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.532027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-2146--1", "direction": "supply", "lower": 1.19374, "upper": 1.19503, "proximal": 1.19374, "distal": 1.19503, "origin_time": 1769760000, "confirmed_at": 1769803200, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.532027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-2195--1", "direction": "supply", "lower": 1.19109, "upper": 1.19255, "proximal": 1.19109, "distal": 1.19255, "origin_time": 1770782400, "confirmed_at": 1770825600, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.533027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-2217--1", "direction": "supply", "lower": 1.18664, "upper": 1.18687, "proximal": 1.18664, "distal": 1.18687, "origin_time": 1771200000, "confirmed_at": 1771300800, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.533027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-2591--1", "direction": "supply", "lower": 1.1777, "upper": 1.17874, "proximal": 1.1777, "distal": 1.17874, "origin_time": 1778529600, "confirmed_at": 1778587200, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.534027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-2596--1", "direction": "supply", "lower": 1.17323, "upper": 1.17464, "proximal": 1.17323, "distal": 1.17464, "origin_time": 1778601600, "confirmed_at": 1778659200, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.534027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-2604--1", "direction": "supply", "lower": 1.1709, "upper": 1.17183, "proximal": 1.1709, "distal": 1.17183, "origin_time": 1778702400, "confirmed_at": 1778774400, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.535028+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-2703--1", "direction": "supply", "lower": 1.16315, "upper": 1.1644, "proximal": 1.16315, "distal": 1.1644, "origin_time": 1780646400, "confirmed_at": 1780675200, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.535028+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-2754--1", "direction": "supply", "lower": 1.15913, "upper": 1.16025, "proximal": 1.15913, "distal": 1.16025, "origin_time": 1781697600, "confirmed_at": 1781726400, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.535028+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-2940-1", "direction": "demand", "lower": 1.13799, "upper": 1.13973, "proximal": 1.13973, "distal": 1.13799, "origin_time": 1785312000, "confirmed_at": 1785355200, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.536027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-2944-1", "direction": "demand", "lower": 1.14341, "upper": 1.14495, "proximal": 1.14495, "distal": 1.14341, "origin_time": 1785384000, "confirmed_at": 1785412800, "state": "unmitigated"}
12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.536027+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-2983-1", "direction": "demand", "lower": 1.15173, "upper": 1.1523, "proximal": 1.1523, "distal": 1.15173, "origin_time": 1786075200, "confirmed_at": 1786132800, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.547734+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-497-1", "direction": "demand", "lower": 1.21649, "upper": 1.2215, "proximal": 1.2215, "distal": 1.21649, "origin_time": 1737360000, "confirmed_at": 1737388800, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.548735+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-597-1", "direction": "demand", "lower": 1.23382, "upper": 1.23531, "proximal": 1.23531, "distal": 1.23382, "origin_time": 1739246400, "confirmed_at": 1739304000, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.549735+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-682-1", "direction": "demand", "lower": 1.25904, "upper": 1.26018, "proximal": 1.26018, "distal": 1.25904, "origin_time": 1740974400, "confirmed_at": 1741003200, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.549735+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-854-1", "direction": "demand", "lower": 1.27511, "upper": 1.27738, "proximal": 1.27738, "distal": 1.27511, "origin_time": 1744200000, "confirmed_at": 1744272000, "state": "unmitigated"}
