12th August 2026 19:40:16 IST | signal_found | {"ts_utc": "2026-08-12T14:10:16.814815+00:00", "ts_ist": "12th August 2026 19:40:16 IST", "stream": "trade", "type": "signal_found", "strategy": "s146", "symbol": "EURAUD", "direction": "short", "model": "conservative_mss", "signal_bar_open": "2026-08-12T14:05:00+00:00", "signal_bar_close": "2026-08-12T14:10:00+00:00", "trigger": 1.630168485, "stop": 1.6314415679999998, "target": 1.6267200000000002, "reward_risk": 2.71, "confirmation_level": 1.63043, "swept_level": null, "entry_zone_id": "15m-2999--1", "entry_zone_lower": 1.63077, "entry_zone_upper": 1.63136, "entry_zone_distal": 1.63136, "entry_zone_confirmed_at": "2026-08-12T13:45:00+00:00", "destination_zone_id": "4h-2931-1", "destination_type": "demand", "destination_lower": 1.62591, "destination_upper": 1.62672, "destination_origin_time": "2026-07-27T16:00:00+00:00", "destination_confirmed_at": "2026-07-28T08:00:00+00:00", "stop_basis": "15m_zone_distal_plus_buffer", "target_basis": "unmitigated_4h_zone_proximal_edge", "alert_bar_close": "2026-08-12T14:00:00+00:00", "lots": 0.01, "loss_at_sl": 94.61, "est_margin": 59.47, "attach_sl_tp": false, "entry_mode": "market", "dry_run": true}
12th August 2026 19:55:27 IST | signal_found | {"ts_utc": "2026-08-12T14:25:27.811100+00:00", "ts_ist": "12th August 2026 19:55:27 IST", "stream": "trade", "type": "signal_found", "strategy": "s146", "symbol": "EURGBP", "direction": "long", "model": "conservative_mss", "signal_bar_open": "2026-08-12T14:20:00+00:00", "signal_bar_close": "2026-08-12T14:25:00+00:00", "trigger": 0.8542927115, "stop": 0.8539073025, "target": 0.85637, "reward_risk": 5.39, "confirmation_level": 0.85415, "swept_level": null, "entry_zone_id": "15m-3000-1", "entry_zone_lower": 0.85395, "entry_zone_upper": 0.85408, "entry_zone_distal": 0.85395, "entry_zone_confirmed_at": "2026-08-12T14:15:00+00:00", "destination_zone_id": "4h-2988--1", "destination_type": "supply", "destination_lower": 0.85637, "destination_upper": 0.85661, "destination_origin_time": "2026-08-10T04:00:00+00:00", "destination_confirmed_at": "2026-08-10T12:00:00+00:00", "stop_basis": "15m_zone_distal_plus_buffer", "target_basis": "unmitigated_4h_zone_proximal_edge", "alert_bar_close": "2026-08-12T14:20:00+00:00", "lots": 0.01, "loss_at_sl": 54.02, "est_margin": 60.73, "attach_sl_tp": false, "entry_mode": "market", "dry_run": true}
12th August 2026 20:00:22 IST | signal_found | {"ts_utc": "2026-08-12T14:30:22.358585+00:00", "ts_ist": "12th August 2026 20:00:22 IST", "stream": "trade", "type": "signal_found", "strategy": "s146", "symbol": "GBPCAD", "direction": "short", "model": "conservative_mss", "signal_bar_open": "2026-08-12T14:25:00+00:00", "signal_bar_close": "2026-08-12T14:30:00+00:00", "trigger": 1.8805059605, "stop": 1.8823641135000002, "target": 1.87583, "reward_risk": 2.52, "confirmation_level": 1.8808, "swept_level": null, "entry_zone_id": "15m-2999--1", "entry_zone_lower": 1.88092, "entry_zone_upper": 1.88227, "entry_zone_distal": 1.88227, "entry_zone_confirmed_at": "2026-08-12T14:15:00+00:00", "destination_zone_id": "4h-2944-1", "destination_type": "demand", "destination_lower": 1.87448, "destination_upper": 1.87583, "destination_origin_time": "2026-07-30T00:00:00+00:00", "destination_confirmed_at": "2026-07-30T12:00:00+00:00", "stop_basis": "15m_zone_distal_plus_buffer", "target_basis": "unmitigated_4h_zone_proximal_edge", "alert_bar_close": "2026-08-12T14:20:00+00:00", "lots": 0.01, "loss_at_sl": 139.76, "est_margin": 69.61, "attach_sl_tp": false, "entry_mode": "market", "dry_run": true}
12th August 2026 20:05:13 IST | signal_found | {"ts_utc": "2026-08-12T14:35:13.786141+00:00", "ts_ist": "12th August 2026 20:05:13 IST", "stream": "trade", "type": "signal_found", "strategy": "s146", "symbol": "EURCHF", "direction": "long", "model": "aggressive_liquidation", "signal_bar_open": "2026-08-12T14:30:00+00:00", "signal_bar_close": "2026-08-12T14:35:00+00:00", "trigger": 0.9366568295000001, "stop": 0.9362031875, "target": 0.94221, "reward_risk": 12.24, "confirmation_level": 0.93655, "swept_level": 0.93655, "entry_zone_id": "15m-2998-1", "entry_zone_lower": 0.93625, "entry_zone_upper": 0.93637, "entry_zone_distal": 0.93625, "entry_zone_confirmed_at": "2026-08-12T14:00:00+00:00", "destination_zone_id": "4h-1418--1", "destination_type": "supply", "destination_lower": 0.94221, "destination_upper": 0.94448, "destination_origin_time": "2025-08-17T20:00:00+00:00", "destination_confirmed_at": "2025-08-18T16:00:00+00:00", "stop_basis": "15m_zone_distal_plus_buffer", "target_basis": "unmitigated_4h_zone_proximal_edge", "alert_bar_close": "2026-08-12T14:25:00+00:00", "lots": 0.01, "loss_at_sl": 59.62, "est_margin": 60.7, "attach_sl_tp": false, "entry_mode": "market", "dry_run": true}
12th August 2026 21:50:24 IST | signal_found | {"ts_utc": "2026-08-12T16:20:24.038496+00:00", "ts_ist": "12th August 2026 21:50:24 IST", "stream": "trade", "type": "signal_found", "strategy": "s146", "symbol": "GBPCAD", "direction": "short", "model": "aggressive_liquidation", "signal_bar_open": "2026-08-12T16:15:00+00:00", "signal_bar_close": "2026-08-12T16:20:00+00:00", "trigger": 1.8809759365, "stop": 1.8813840645, "target": 1.87583, "reward_risk": 12.61, "confirmation_level": 1.88129, "swept_level": 1.88129, "entry_zone_id": "15m-2995--1", "entry_zone_lower": 1.88077, "entry_zone_upper": 1.88129, "entry_zone_distal": 1.88129, "entry_zone_confirmed_at": "2026-08-12T15:00:00+00:00", "destination_zone_id": "4h-2943-1", "destination_type": "demand", "destination_lower": 1.87448, "destination_upper": 1.87583, "destination_origin_time": "2026-07-30T00:00:00+00:00", "destination_confirmed_at": "2026-07-30T12:00:00+00:00", "stop_basis": "15m_zone_distal_plus_buffer", "target_basis": "unmitigated_4h_zone_proximal_edge", "alert_bar_close": "2026-08-12T15:55:00+00:00", "lots": 0.01, "loss_at_sl": 30.19, "est_margin": 69.63, "attach_sl_tp": false, "entry_mode": "market", "dry_run": true}
12th August 2026 22:20:23 IST | signal_found | {"ts_utc": "2026-08-12T16:50:23.817833+00:00", "ts_ist": "12th August 2026 22:20:23 IST", "stream": "trade", "type": "signal_found", "strategy": "s146", "symbol": "EURCAD", "direction": "short", "model": "aggressive_liquidation", "signal_bar_open": "2026-08-12T16:45:00+00:00", "signal_bar_close": "2026-08-12T16:50:00+00:00", "trigger": 1.606409674, "stop": 1.6074503685, "target": 1.6046399999999998, "reward_risk": 1.7, "confirmation_level": 1.60657, "swept_level": 1.60657, "entry_zone_id": "15m-2995--1", "entry_zone_lower": 1.6069, "entry_zone_upper": 1.60737, "entry_zone_distal": 1.60737, "entry_zone_confirmed_at": "2026-08-12T15:30:00+00:00", "destination_zone_id": "4h-2939-1", "destination_type": "demand", "destination_lower": 1.60312, "destination_upper": 1.60464, "destination_origin_time": "2026-07-29T12:00:00+00:00", "destination_confirmed_at": "2026-07-29T20:00:00+00:00", "stop_basis": "15m_zone_distal_plus_buffer", "target_basis": "unmitigated_4h_zone_proximal_edge", "alert_bar_close": "2026-08-12T16:35:00+00:00", "lots": 0.01, "loss_at_sl": 78.45, "est_margin": 59.43, "attach_sl_tp": false, "entry_mode": "market", "dry_run": true}
12th August 2026 23:10:17 IST | signal_found | {"ts_utc": "2026-08-12T17:40:17.971324+00:00", "ts_ist": "12th August 2026 23:10:17 IST", "stream": "trade", "type": "signal_found", "strategy": "s146", "symbol": "CHFJPY", "direction": "short", "model": "aggressive_liquidation", "signal_bar_open": "2026-08-12T17:35:00+00:00", "signal_bar_close": "2026-08-12T17:40:00+00:00", "trigger": 196.02719815, "stop": 196.1178054, "target": 195.413, "reward_risk": 6.78, "confirmation_level": 196.061, "swept_level": 196.061, "entry_zone_id": "15m-2999--1", "entry_zone_lower": 196.084, "entry_zone_upper": 196.108, "entry_zone_distal": 196.108, "entry_zone_confirmed_at": "2026-08-12T17:15:00+00:00", "destination_zone_id": "4h-2986-1", "destination_type": "demand", "destination_lower": 194.217, "destination_upper": 195.413, "destination_origin_time": "2026-08-07T12:00:00+00:00", "destination_confirmed_at": "2026-08-10T08:00:00+00:00", "stop_basis": "15m_zone_distal_plus_buffer", "target_basis": "unmitigated_4h_zone_proximal_edge", "alert_bar_close": "2026-08-12T17:35:00+00:00", "lots": 0.01, "loss_at_sl": 60.0, "est_margin": 63.39, "attach_sl_tp": false, "entry_mode": "market", "dry_run": true}
12th August 2026 23:20:25 IST | signal_found | {"ts_utc": "2026-08-12T17:50:25.798962+00:00", "ts_ist": "12th August 2026 23:20:25 IST", "stream": "trade", "type": "signal_found", "strategy": "s146", "symbol": "NZDJPY", "direction": "short", "model": "aggressive_liquidation", "signal_bar_open": "2026-08-12T17:45:00+00:00", "signal_bar_close": "2026-08-12T17:50:00+00:00", "trigger": 93.37933045, "stop": 93.45167235000001, "target": 92.948, "reward_risk": 5.96, "confirmation_level": 93.392, "swept_level": 93.392, "entry_zone_id": "15m-2997--1", "entry_zone_lower": 93.399, "entry_zone_upper": 93.447, "entry_zone_distal": 93.447, "entry_zone_confirmed_at": "2026-08-12T17:00:00+00:00", "destination_zone_id": "4h-2985-1", "destination_type": "demand", "destination_lower": 92.426, "destination_upper": 92.948, "destination_origin_time": "2026-08-07T12:00:00+00:00", "destination_confirmed_at": "2026-08-10T04:00:00+00:00", "stop_basis": "15m_zone_distal_plus_buffer", "target_basis": "unmitigated_4h_zone_proximal_edge", "alert_bar_close": "2026-08-12T17:45:00+00:00", "lots": 0.01, "loss_at_sl": 48.13, "est_margin": 30.2, "attach_sl_tp": false, "entry_mode": "market", "dry_run": true}
12th August 2026 23:35:25 IST | signal_found | {"ts_utc": "2026-08-12T18:05:25.524391+00:00", "ts_ist": "12th August 2026 23:35:25 IST", "stream": "trade", "type": "signal_found", "strategy": "s146", "symbol": "NZDCAD", "direction": "long", "model": "aggressive_liquidation", "signal_bar_open": "2026-08-12T18:00:00+00:00", "signal_bar_close": "2026-08-12T18:05:00+00:00", "trigger": 0.8164908215, "stop": 0.8161091925, "target": 0.82148, "reward_risk": 13.07, "confirmation_level": 0.81636, "swept_level": 0.81636, "entry_zone_id": "15m-2997-1", "entry_zone_lower": 0.81615, "entry_zone_upper": 0.81644, "entry_zone_distal": 0.81615, "entry_zone_confirmed_at": "2026-08-12T17:15:00+00:00", "destination_zone_id": "4h-2989--1", "destination_type": "supply", "destination_lower": 0.82148, "destination_upper": 0.82217, "destination_origin_time": "2026-08-10T04:00:00+00:00", "destination_confirmed_at": "2026-08-10T20:00:00+00:00", "stop_basis": "15m_zone_distal_plus_buffer", "target_basis": "unmitigated_4h_zone_proximal_edge", "alert_bar_close": "2026-08-12T18:00:00+00:00", "lots": 0.01, "loss_at_sl": 28.66, "est_margin": 30.79, "attach_sl_tp": false, "entry_mode": "market", "dry_run": true}
13th August 2026 14:45:22 IST | signal_found | {"ts_utc": "2026-08-13T09:15:22.173997+00:00", "ts_ist": "13th August 2026 14:45:22 IST", "stream": "trade", "type": "signal_found", "strategy": "s146", "symbol": "NZDUSD", "direction": "long", "model": "conservative_mss", "signal_bar_open": "2026-08-13T09:10:00+00:00", "signal_bar_close": "2026-08-13T09:15:00+00:00", "trigger": 0.5836691810000001, "stop": 0.583050846, "target": 0.5857, "reward_risk": 3.28, "confirmation_level": 0.58358, "swept_level": null, "event_timeline": [{"stream": "4h", "event": "destination_available", "timestamp": "2026-08-13T04:00:00+00:00", "symbol": "NZDUSD", "zone_id": "4h-1786564800--1-4749ce", "lower": 0.5857, "upper": 0.58596, "origin_time": "2026-08-12T20:00:00+00:00", "confirmed_at": "2026-08-13T04:00:00+00:00"}, {"stream": "15m", "event": "entry_zone_formed", "timestamp": "2026-08-13T08:45:00+00:00", "symbol": "NZDUSD", "zone_id": "15m-1786608900-1-573f92", "lower": 0.58308, "upper": 0.5833, "origin_time": "2026-08-13T08:15:00+00:00", "confirmed_at": "2026-08-13T08:45:00+00:00", "bos_level": 0.58352}, {"stream": "5m", "event": "zone_alert", "timestamp": "2026-08-13T09:00:00+00:00", "symbol": "NZDUSD", "zone_id": "15m-1786608900-1-573f92", "lower": 0.58308, "upper": 0.5833, "alert_bar_close": "2026-08-13T09:00:00+00:00"}, {"stream": "5m", "event": "conservative_mss", "timestamp": "2026-08-13T09:15:00+00:00", "symbol": "NZDUSD", "zone_id": "15m-1786608900-1-573f92", "lower": 0.58308, "upper": 0.5833, "bar_open_time": "2026-08-13T09:10:00+00:00", "bar_close_time": "2026-08-13T09:15:00+00:00", "trigger": 0.58366918, "stop": 0.58305085, "target": 0.5857, "confirmation_level": 0.58358, "swept_level": null}], "entry_zone_id": "15m-1786608900-1-573f92", "entry_zone_lower": 0.58308, "entry_zone_upper": 0.5833, "entry_zone_distal": 0.58308, "entry_zone_confirmed_at": "2026-08-13T08:45:00+00:00", "destination_zone_id": "4h-1786564800--1-4749ce", "destination_type": "supply", "destination_lower": 0.5857, "destination_upper": 0.58596, "destination_origin_time": "2026-08-12T20:00:00+00:00", "destination_confirmed_at": "2026-08-13T04:00:00+00:00", "stop_basis": "15m_zone_distal_plus_buffer", "target_basis": "unmitigated_4h_zone_proximal_edge", "alert_bar_close": "2026-08-13T09:00:00+00:00", "lots": 0.01, "loss_at_sl": 65.24, "est_margin": 30.71, "attach_sl_tp": false, "entry_mode": "market", "dry_run": true}
13th August 2026 14:45:22 IST | paper_trade_opened | {"ts_utc": "2026-08-13T09:15:22.173997+00:00", "ts_ist": "13th August 2026 14:45:22 IST", "stream": "trade", "type": "paper_trade_opened", "strategy": "s146", "symbol": "NZDUSD", "direction": "long", "model": "conservative_mss", "signal_bar_open": "2026-08-13T09:10:00+00:00", "signal_bar_close": "2026-08-13T09:15:00+00:00", "trigger": 0.5836691810000001, "stop": 0.583050846, "target": 0.5857, "reward_risk": 3.28, "confirmation_level": 0.58358, "swept_level": null, "event_timeline": [{"stream": "4h", "event": "destination_available", "timestamp": "2026-08-13T04:00:00+00:00", "symbol": "NZDUSD", "zone_id": "4h-1786564800--1-4749ce", "lower": 0.5857, "upper": 0.58596, "origin_time": "2026-08-12T20:00:00+00:00", "confirmed_at": "2026-08-13T04:00:00+00:00"}, {"stream": "15m", "event": "entry_zone_formed", "timestamp": "2026-08-13T08:45:00+00:00", "symbol": "NZDUSD", "zone_id": "15m-1786608900-1-573f92", "lower": 0.58308, "upper": 0.5833, "origin_time": "2026-08-13T08:15:00+00:00", "confirmed_at": "2026-08-13T08:45:00+00:00", "bos_level": 0.58352}, {"stream": "5m", "event": "zone_alert", "timestamp": "2026-08-13T09:00:00+00:00", "symbol": "NZDUSD", "zone_id": "15m-1786608900-1-573f92", "lower": 0.58308, "upper": 0.5833, "alert_bar_close": "2026-08-13T09:00:00+00:00"}, {"stream": "5m", "event": "conservative_mss", "timestamp": "2026-08-13T09:15:00+00:00", "symbol": "NZDUSD", "zone_id": "15m-1786608900-1-573f92", "lower": 0.58308, "upper": 0.5833, "bar_open_time": "2026-08-13T09:10:00+00:00", "bar_close_time": "2026-08-13T09:15:00+00:00", "trigger": 0.58366918, "stop": 0.58305085, "target": 0.5857, "confirmation_level": 0.58358, "swept_level": null}], "entry_zone_id": "15m-1786608900-1-573f92", "entry_zone_lower": 0.58308, "entry_zone_upper": 0.5833, "entry_zone_distal": 0.58308, "entry_zone_confirmed_at": "2026-08-13T08:45:00+00:00", "destination_zone_id": "4h-1786564800--1-4749ce", "destination_type": "supply", "destination_lower": 0.5857, "destination_upper": 0.58596, "destination_origin_time": "2026-08-12T20:00:00+00:00", "destination_confirmed_at": "2026-08-13T04:00:00+00:00", "stop_basis": "15m_zone_distal_plus_buffer", "target_basis": "unmitigated_4h_zone_proximal_edge", "alert_bar_close": "2026-08-13T09:00:00+00:00", "lots": 0.01, "loss_at_sl": 65.24, "est_margin": 30.71, "attach_sl_tp": false, "entry_mode": "market", "dry_run": true, "entry_price": 0.5836691810000001, "opened_at": "2026-08-13T09:15:17+00:00", "mode": "paper"}
