13th August 2026 14:23:08 IST | change_of_character | {"ts_utc": "2026-08-13T08:53:08.600041+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "15m", "type": "change_of_character", "symbol": "GBPUSD", "poi_zone_id": "4h-1776427200--1-7bad4e", "direction": "bearish", "level": 1.35212, "visit": 8, "confirmation": "15m_close_beyond_confirmed_opposing_swing", "choch_time": 1776852000, "choch_time_utc": "2026-04-22T10:00:00+00:00", "choch_time_ist": "22nd April 2026 15:30:00 IST", "arrival_time": 1776845700, "arrival_time_utc": "2026-04-22T08:15:00+00:00", "arrival_time_ist": "22nd April 2026 13:45:00 IST"}
13th August 2026 14:23:08 IST | refinement_zone_formed | {"ts_utc": "2026-08-13T08:53:08.606308+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "15m", "type": "refinement_zone_formed", "symbol": "GBPUSD", "poi_zone_id": "4h-1776427200--1-7bad4e", "zone_id": "15m-1776848400--1-26eee5", "direction": "supply", "lower": 1.35288, "upper": 1.35357, "proximal": 1.35288, "distal": 1.35357, "bos_level": 1.35212, "origin_time": 1776848400, "origin_time_utc": "2026-04-22T09:00:00+00:00", "origin_time_ist": "22nd April 2026 14:30:00 IST", "confirmed_at": 1776852000, "confirmed_at_utc": "2026-04-22T10:00:00+00:00", "confirmed_at_ist": "22nd April 2026 15:30:00 IST", "choch_time": 1776852000, "choch_time_utc": "2026-04-22T10:00:00+00:00", "choch_time_ist": "22nd April 2026 15:30:00 IST"}
13th August 2026 14:23:08 IST | change_of_character | {"ts_utc": "2026-08-13T08:53:08.607125+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "15m", "type": "change_of_character", "symbol": "GBPUSD", "poi_zone_id": "4h-1771315200--1-133f82", "direction": "bearish", "level": 1.35597, "visit": 6, "confirmation": "15m_close_beyond_confirmed_opposing_swing", "choch_time": 1776439800, "choch_time_utc": "2026-04-17T15:30:00+00:00", "choch_time_ist": "17th April 2026 21:00:00 IST", "arrival_time": 1776430800, "arrival_time_utc": "2026-04-17T13:00:00+00:00", "arrival_time_ist": "17th April 2026 18:30:00 IST"}
13th August 2026 14:23:08 IST | refinement_zone_formed | {"ts_utc": "2026-08-13T08:53:08.607125+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "15m", "type": "refinement_zone_formed", "symbol": "GBPUSD", "poi_zone_id": "4h-1771315200--1-133f82", "zone_id": "15m-1776435300--1-5ebbbe", "direction": "supply", "lower": 1.35733, "upper": 1.35889, "proximal": 1.35733, "distal": 1.35889, "bos_level": 1.35597, "origin_time": 1776435300, "origin_time_utc": "2026-04-17T14:15:00+00:00", "origin_time_ist": "17th April 2026 19:45:00 IST", "confirmed_at": 1776439800, "confirmed_at_utc": "2026-04-17T15:30:00+00:00", "confirmed_at_ist": "17th April 2026 21:00:00 IST", "choch_time": 1776439800, "choch_time_utc": "2026-04-17T15:30:00+00:00", "choch_time_ist": "17th April 2026 21:00:00 IST"}
13th August 2026 14:23:08 IST | change_of_character | {"ts_utc": "2026-08-13T08:53:08.607125+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "15m", "type": "change_of_character", "symbol": "GBPUSD", "poi_zone_id": "4h-1776297600--1-f1da02", "direction": "bearish", "level": 1.35597, "visit": 1, "confirmation": "15m_close_beyond_confirmed_opposing_swing", "choch_time": 1776439800, "choch_time_utc": "2026-04-17T15:30:00+00:00", "choch_time_ist": "17th April 2026 21:00:00 IST", "arrival_time": 1776430800, "arrival_time_utc": "2026-04-17T13:00:00+00:00", "arrival_time_ist": "17th April 2026 18:30:00 IST"}
13th August 2026 14:23:08 IST | change_of_character | {"ts_utc": "2026-08-13T08:53:08.607125+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "15m", "type": "change_of_character", "symbol": "GBPUSD", "poi_zone_id": "4h-1775606400-1-ae6c69", "direction": "bullish", "level": 1.34064, "visit": 6, "confirmation": "15m_close_beyond_confirmed_opposing_swing", "choch_time": 1776053700, "choch_time_utc": "2026-04-13T04:15:00+00:00", "choch_time_ist": "13th April 2026 9:45:00 IST", "arrival_time": 1776049200, "arrival_time_utc": "2026-04-13T03:00:00+00:00", "arrival_time_ist": "13th April 2026 8:30:00 IST"}
13th August 2026 14:23:08 IST | refinement_zone_formed | {"ts_utc": "2026-08-13T08:53:08.607125+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "15m", "type": "refinement_zone_formed", "symbol": "GBPUSD", "poi_zone_id": "4h-1775606400-1-ae6c69", "zone_id": "15m-1776049200-1-01db5e", "direction": "demand", "lower": 1.34, "upper": 1.34044, "proximal": 1.34044, "distal": 1.34, "bos_level": 1.34064, "origin_time": 1776049200, "origin_time_utc": "2026-04-13T03:00:00+00:00", "origin_time_ist": "13th April 2026 8:30:00 IST", "confirmed_at": 1776053700, "confirmed_at_utc": "2026-04-13T04:15:00+00:00", "confirmed_at_ist": "13th April 2026 9:45:00 IST", "choch_time": 1776053700, "choch_time_utc": "2026-04-13T04:15:00+00:00", "choch_time_ist": "13th April 2026 9:45:00 IST"}
13th August 2026 14:23:08 IST | change_of_character | {"ts_utc": "2026-08-13T08:53:08.607125+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "15m", "type": "change_of_character", "symbol": "GBPUSD", "poi_zone_id": "4h-1764662400-1-f1bf13", "direction": "bullish", "level": 1.3221, "visit": 4, "confirmation": "15m_close_beyond_confirmed_opposing_swing", "choch_time": 1775533500, "choch_time_utc": "2026-04-07T03:45:00+00:00", "choch_time_ist": "7th April 2026 9:15:00 IST", "arrival_time": 1775527200, "arrival_time_utc": "2026-04-07T02:00:00+00:00", "arrival_time_ist": "7th April 2026 7:30:00 IST"}
13th August 2026 14:23:08 IST | refinement_zone_formed | {"ts_utc": "2026-08-13T08:53:08.607125+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "15m", "type": "refinement_zone_formed", "symbol": "GBPUSD", "poi_zone_id": "4h-1764662400-1-f1bf13", "zone_id": "15m-1775529900-1-364bcc", "direction": "demand", "lower": 1.32164, "upper": 1.32179, "proximal": 1.32179, "distal": 1.32164, "bos_level": 1.3221, "origin_time": 1775529900, "origin_time_utc": "2026-04-07T02:45:00+00:00", "origin_time_ist": "7th April 2026 8:15:00 IST", "confirmed_at": 1775533500, "confirmed_at_utc": "2026-04-07T03:45:00+00:00", "confirmed_at_ist": "7th April 2026 9:15:00 IST", "choch_time": 1775533500, "choch_time_utc": "2026-04-07T03:45:00+00:00", "choch_time_ist": "7th April 2026 9:15:00 IST"}
13th August 2026 14:23:08 IST | change_of_character | {"ts_utc": "2026-08-13T08:53:08.607125+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "15m", "type": "change_of_character", "symbol": "GBPUSD", "poi_zone_id": "4h-1724716800-1-3f5fef", "direction": "bullish", "level": 1.32006, "visit": 5, "confirmation": "15m_close_beyond_confirmed_opposing_swing", "choch_time": 1775441700, "choch_time_utc": "2026-04-06T02:15:00+00:00", "choch_time_ist": "6th April 2026 7:45:00 IST", "arrival_time": 1775440800, "arrival_time_utc": "2026-04-06T02:00:00+00:00", "arrival_time_ist": "6th April 2026 7:30:00 IST"}
13th August 2026 14:23:08 IST | refinement_zone_formed | {"ts_utc": "2026-08-13T08:53:08.607125+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "15m", "type": "refinement_zone_formed", "symbol": "GBPUSD", "poi_zone_id": "4h-1724716800-1-3f5fef", "zone_id": "15m-1775439900-1-a2cf9f", "direction": "demand", "lower": 1.31904, "upper": 1.31955, "proximal": 1.31955, "distal": 1.31904, "bos_level": 1.32006, "origin_time": 1775439900, "origin_time_utc": "2026-04-06T01:45:00+00:00", "origin_time_ist": "6th April 2026 7:15:00 IST", "confirmed_at": 1775441700, "confirmed_at_utc": "2026-04-06T02:15:00+00:00", "confirmed_at_ist": "6th April 2026 7:45:00 IST", "choch_time": 1775441700, "choch_time_utc": "2026-04-06T02:15:00+00:00", "choch_time_ist": "6th April 2026 7:45:00 IST"}
