13th August 2026 14:23:08 IST | poi_available | {"ts_utc": "2026-08-13T08:53:08.565718+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "poi_available", "symbol": "GBPUSD", "zone_id": "4h-1724716800-1-3f5fef", "direction": "demand", "lower": 1.31799, "upper": 1.31921, "proximal": 1.31921, "distal": 1.31799, "bos_level": 1.32225, "origin_time": 1724716800, "origin_time_utc": "2024-08-27T00:00:00+00:00", "origin_time_ist": "27th August 2024 5:30:00 IST", "confirmed_at": 1724774400, "confirmed_at_utc": "2024-08-27T16:00:00+00:00", "confirmed_at_ist": "27th August 2024 21:30:00 IST"}
13th August 2026 14:23:08 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:08.566845+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1724716800-1-3f5fef", "direction": "demand", "lower": 1.31799, "upper": 1.31921, "visit": 5, "detected_on": "closed_15m_bar", "arrival_time": 1775440800, "arrival_time_utc": "2026-04-06T02:00:00+00:00", "arrival_time_ist": "6th April 2026 7:30:00 IST", "origin_time": 1724716800, "origin_time_utc": "2024-08-27T00:00:00+00:00", "origin_time_ist": "27th August 2024 5:30:00 IST", "confirmed_at": 1724774400, "confirmed_at_utc": "2024-08-27T16:00:00+00:00", "confirmed_at_ist": "27th August 2024 21:30:00 IST"}
13th August 2026 14:23:08 IST | poi_available | {"ts_utc": "2026-08-13T08:53:08.580389+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "poi_available", "symbol": "GBPUSD", "zone_id": "4h-1744660800-1-6bf394", "direction": "demand", "lower": 1.31679, "upper": 1.31906, "proximal": 1.31906, "distal": 1.31679, "bos_level": 1.32015, "origin_time": 1744660800, "origin_time_utc": "2025-04-14T20:00:00+00:00", "origin_time_ist": "15th April 2025 1:30:00 IST", "confirmed_at": 1744704000, "confirmed_at_utc": "2025-04-15T08:00:00+00:00", "confirmed_at_ist": "15th April 2025 13:30:00 IST"}
13th August 2026 14:23:08 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:08.580936+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1744660800-1-6bf394", "direction": "demand", "lower": 1.31679, "upper": 1.31906, "visit": 7, "detected_on": "closed_15m_bar", "arrival_time": 1775440800, "arrival_time_utc": "2026-04-06T02:00:00+00:00", "arrival_time_ist": "6th April 2026 7:30:00 IST", "origin_time": 1744660800, "origin_time_utc": "2025-04-14T20:00:00+00:00", "origin_time_ist": "15th April 2025 1:30:00 IST", "confirmed_at": 1744704000, "confirmed_at_utc": "2025-04-15T08:00:00+00:00", "confirmed_at_ist": "15th April 2025 13:30:00 IST"}
13th August 2026 14:23:08 IST | poi_available | {"ts_utc": "2026-08-13T08:53:08.581973+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "poi_available", "symbol": "GBPUSD", "zone_id": "4h-1747080000-1-69c715", "direction": "demand", "lower": 1.31657, "upper": 1.3179, "proximal": 1.3179, "distal": 1.31657, "bos_level": 1.32996, "origin_time": 1747080000, "origin_time_utc": "2025-05-12T20:00:00+00:00", "origin_time_ist": "13th May 2025 1:30:00 IST", "confirmed_at": 1747166400, "confirmed_at_utc": "2025-05-13T20:00:00+00:00", "confirmed_at_ist": "14th May 2025 1:30:00 IST"}
13th August 2026 14:23:08 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:08.581973+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1747080000-1-69c715", "direction": "demand", "lower": 1.31657, "upper": 1.3179, "visit": 1, "detected_on": "closed_15m_bar", "arrival_time": 1775427300, "arrival_time_utc": "2026-04-05T22:15:00+00:00", "arrival_time_ist": "6th April 2026 3:45:00 IST", "origin_time": 1747080000, "origin_time_utc": "2025-05-12T20:00:00+00:00", "origin_time_ist": "13th May 2025 1:30:00 IST", "confirmed_at": 1747166400, "confirmed_at_utc": "2025-05-13T20:00:00+00:00", "confirmed_at_ist": "14th May 2025 1:30:00 IST"}
13th August 2026 14:23:08 IST | poi_available | {"ts_utc": "2026-08-13T08:53:08.591911+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "poi_available", "symbol": "GBPUSD", "zone_id": "4h-1764144000-1-732cb4", "direction": "demand", "lower": 1.31503, "upper": 1.31795, "proximal": 1.31795, "distal": 1.31503, "bos_level": 1.32142, "origin_time": 1764144000, "origin_time_utc": "2025-11-26T08:00:00+00:00", "origin_time_ist": "26th November 2025 13:30:00 IST", "confirmed_at": 1764172800, "confirmed_at_utc": "2025-11-26T16:00:00+00:00", "confirmed_at_ist": "26th November 2025 21:30:00 IST"}
13th August 2026 14:23:08 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:08.593226+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1764144000-1-732cb4", "direction": "demand", "lower": 1.31503, "upper": 1.31795, "visit": 1, "detected_on": "closed_15m_bar", "arrival_time": 1775427300, "arrival_time_utc": "2026-04-05T22:15:00+00:00", "arrival_time_ist": "6th April 2026 3:45:00 IST", "origin_time": 1764144000, "origin_time_utc": "2025-11-26T08:00:00+00:00", "origin_time_ist": "26th November 2025 13:30:00 IST", "confirmed_at": 1764172800, "confirmed_at_utc": "2025-11-26T16:00:00+00:00", "confirmed_at_ist": "26th November 2025 21:30:00 IST"}
13th August 2026 14:23:08 IST | poi_available | {"ts_utc": "2026-08-13T08:53:08.593800+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "poi_available", "symbol": "GBPUSD", "zone_id": "4h-1764662400-1-f1bf13", "direction": "demand", "lower": 1.31808, "upper": 1.32156, "proximal": 1.32156, "distal": 1.31808, "bos_level": 1.32217, "origin_time": 1764662400, "origin_time_utc": "2025-12-02T08:00:00+00:00", "origin_time_ist": "2nd December 2025 13:30:00 IST", "confirmed_at": 1764734400, "confirmed_at_utc": "2025-12-03T04:00:00+00:00", "confirmed_at_ist": "3rd December 2025 9:30:00 IST"}
13th August 2026 14:23:08 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:08.593800+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1764662400-1-f1bf13", "direction": "demand", "lower": 1.31808, "upper": 1.32156, "visit": 4, "detected_on": "closed_15m_bar", "arrival_time": 1775527200, "arrival_time_utc": "2026-04-07T02:00:00+00:00", "arrival_time_ist": "7th April 2026 7:30:00 IST", "origin_time": 1764662400, "origin_time_utc": "2025-12-02T08:00:00+00:00", "origin_time_ist": "2nd December 2025 13:30:00 IST", "confirmed_at": 1764734400, "confirmed_at_utc": "2025-12-03T04:00:00+00:00", "confirmed_at_ist": "3rd December 2025 9:30:00 IST"}
13th August 2026 14:23:08 IST | poi_available | {"ts_utc": "2026-08-13T08:53:08.593800+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "poi_available", "symbol": "GBPUSD", "zone_id": "4h-1771315200--1-133f82", "direction": "supply", "lower": 1.3563, "upper": 1.36064, "proximal": 1.3563, "distal": 1.36064, "bos_level": 1.36097, "origin_time": 1771315200, "origin_time_utc": "2026-02-17T08:00:00+00:00", "origin_time_ist": "17th February 2026 13:30:00 IST", "confirmed_at": 1771344000, "confirmed_at_utc": "2026-02-17T16:00:00+00:00", "confirmed_at_ist": "17th February 2026 21:30:00 IST"}
