pair,trade_number,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,outcome,pnl_R,exit_reason
GBPUSD,1,long,2021-05-13T12:00:00+00:00,2021-05-14T04:00:00+00:00,1.40284,1.407523,1.393622,1.408837,win,0.508,Exit at 1.40752 via mean_revert -> WIN (+0.51R)
GBPUSD,2,long,2021-06-03T16:00:00+00:00,2021-06-04T12:00:00+00:00,1.40991,1.413431,1.40152,1.41578,win,0.42,Exit at 1.41343 via mean_revert -> WIN (+0.42R)
GBPUSD,3,long,2021-06-10T08:00:00+00:00,2021-06-10T12:00:00+00:00,1.40879,1.41312,1.401943,1.413353,win,0.632,Exit at 1.41312 via mean_revert -> WIN (+0.63R)
GBPUSD,4,short,2021-06-23T08:00:00+00:00,2021-06-24T08:00:00+00:00,1.39781,1.394035,1.407657,1.390421,win,0.383,Exit at 1.39404 via mean_revert -> WIN (+0.38R)
GBPUSD,5,short,2021-07-06T04:00:00+00:00,2021-07-06T12:00:00+00:00,1.3884,1.383199,1.395527,1.382709,win,0.73,Exit at 1.38320 via mean_revert -> WIN (+0.73R)
GBPUSD,6,short,2021-07-09T20:00:00+00:00,2021-07-13T08:00:00+00:00,1.38915,1.385669,1.398538,1.381836,win,0.371,Exit at 1.38567 via mean_revert -> WIN (+0.37R)
GBPUSD,7,short,2021-07-22T12:00:00+00:00,2021-07-26T04:00:00+00:00,1.37732,1.373877,1.386914,1.369283,win,0.359,Exit at 1.37388 via mean_revert -> WIN (+0.36R)
GBPUSD,8,short,2021-07-26T16:00:00+00:00,2021-07-27T04:00:00+00:00,1.38295,1.378325,1.391535,1.376751,win,0.539,Exit at 1.37833 via mean_revert -> WIN (+0.54R)
GBPUSD,9,short,2021-08-23T20:00:00+00:00,2021-08-25T12:00:00+00:00,1.37284,1.369968,1.379591,1.367949,win,0.425,Exit at 1.36997 via mean_revert -> WIN (+0.43R)
GBPUSD,10,short,2021-08-25T20:00:00+00:00,2021-08-26T12:00:00+00:00,1.37602,1.373552,1.383003,1.371308,win,0.353,Exit at 1.37355 via mean_revert -> WIN (+0.35R)
