ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
1109972897,2026-04-16T14:44:53,2026-04-16T15:18:26,buy,0.14,0.14,GBPCHFm,1.05892,1.06066,1.06066,1.06172,,,2999.4,,,sl
1109518654,2026-04-16T13:58:08,2026-04-16T14:23:39,buy,0.1,0.1,BTCUSDm,73741.3,73437.48,73437.5,75215,,,-3030.89,,,sl
1107625702,2026-04-16T07:37:06,2026-04-16T13:59:57,buy,0.15,0.15,CHFJPYm,203.126,203.291,203.291,203.648,,,1499.2,,,sl
1108097633,2026-04-16T09:36:10,2026-04-16T13:53:50,sell,0.17,0.17,EURGBPm,0.86991,0.86946,0.86946,0.86739,,,998.95,,,sl
1107825857,2026-04-16T08:24:08,2026-04-16T13:51:53,sell,0.2,0.2,USDJPYm,158.971,159.16,159.16,158.668,,,-2370.37,,,sl
1107638691,2026-04-16T07:40:22,2026-04-16T08:26:22,sell,0.2,0.2,USDCHFm,0.78186,0.78303,0.78303,0.77901,,,-2982.99,,,sl
1102178641,2026-04-15T08:21:41,2026-04-15T13:12:35,buy,0.15,0.15,CADJPYm,115.304,115.48700000000001,115.466,115.642,,,3000,,,user
1102902409,2026-04-15T10:39:43,2026-04-15T10:45:25,buy,2.74,2.74,ETHUSDm,2317.63,2322.96,2310.28,2322.96,,,1414.51,,,tp
1083671633,2026-04-10T14:36:51,2026-04-13T00:59:43,buy,0.16,0.16,EURGBPm,0.87103,0.87199,0.87199,0.87445,,,2004.21,,,sl
1075704758,2026-04-09T11:03:40,2026-04-10T11:55:31,buy,0.06,0.06,GBPCADm,1.85645,1.85881,1.85881,1.86134,,,1000.6,,,sl
1076946507,2026-04-09T13:57:04,2026-04-09T14:50:07,buy,0.1,0.1,EURCHFm,0.922,0.92281,0.92281,0.92516,,,1002.36,,,sl
1074951684,2026-04-09T08:27:55,2026-04-09T12:20:12,sell,0.15,0.15,GBPAUDm,1.90649,1.90552,1.90552,1.9015900000000001,,,1002.34,,,sl
1059860509,2026-04-07T09:01:59,2026-04-07T10:01:22,buy,0.19,0.19,USDJPYm,159.489,159.618,159.618,159.86,,,1500.7,,,sl
1059481827,2026-04-07T08:11:08,2026-04-07T08:14:52,sell,0.17,0.17,EURUSDm,1.15573,1.15675,1.15675,1.14954,,,-1752.73,,,sl
1059483729,2026-04-07T08:11:17,2026-04-07T08:14:40,sell,0.15,0.15,GBPUSDm,1.3249,1.32605,1.32605,1.31764,,,-1743.63,,,sl
1055091016,2026-04-06T14:43:08,2026-04-07T06:18:35,buy,0.28,0.28,AUDCHFm,0.55207,0.55265,0.55265,0.55513,,,1985.07,,,sl
